Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-205100000,-176800000,-337700000,-212700000,-263000000,-579800000,-407500000,-793800000,-486500000,-328400000,-466400000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1877652994.15051,-1956521857.76781,-3205300950.54898,-4149500356.09605,-7442378553.20737,-8671425447.58479,-6261263543.711,-7044964161.23314,-6191463867.40496,-6803560118.47488,-6378166942.37589,-5855061056.02892,-5506547001.36988,..,..,..,..
Afghanistan,AFG,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-135600000,-68600000,-206500000,-121300000,-162100000,-417000000,-293400000,-641800000,-365800000,-278000000,-371200000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-2415619185.69979,-2807137619.65958,-4252374204.21784,-5189770431.0797,-7515862139.77005,-8020277289.75686,-6106244879.7013,-6668317650.70879,-5594976211.59902,-5932251865.45208,-5745536582.88077,-5294355637.28527,-5100906449.09748,..,..,..,..
Albania,ALB,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6700000,27400000,-86700000,-50900000,-37800000,-43500000,-9000000,-2100000,-34300000,-49800000,-131400000,-232200000,-539300000,-574200000,-513100000,-532500000,-738500000,-586432500,-646330000,-556700000,-795800000,-936900000,-1160330000,-1419161205.65833,-1642928988.60121,-2039576837.24939,-2203548908.04487,-2879743004.28052,-3446126996.47815,-2967394172.50194,-2456390642.37229,-2932716632.8208,-2296761241.42573,-2308765606.46251,-2506992157.87102,-1966180769.23214,-2001510213.2648,-1978658722.18737,-2069586882.26658,-2103429046.38418,-2210461795.58811,-2392168078.17823,-1959879935.13069,-1275078200.87066,..
Albania,ALB,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13300000,34800000,-77800000,-41800000,-34100000,-40600000,-5300000,-4400000,-37700000,-62100000,-133800000,-208000000,-470500000,-489900000,-459700000,-474800000,-678300000,-479700000,-553540000,-691400000,-825800000,-1041500000,-1152120000,-1362600020.61233,-1688894464.01388,-1923340854.61311,-2276141812.44961,-3059861588.00838,-3810604330.09339,-3392763361.1821,-3036521620.00288,-3498287686.25403,-2858472277.77108,-2611536009.43326,-2930554140.34548,-2548030268.07578,-2881304258.43747,-3204589713.43558,-3381296740.55192,-3517361630.15175,-3419884648.54334,-4513572351.53609,-4466603019.87041,-4911624603.56604,..
Algeria,DZA,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1435820349.97679,-2589071838.06679,-246803577.980623,1816831490.13455,1781126363.37677,1477290255.70084,1468635148.98694,1572829658.7464,2180476550.37989,-1300848163.49388,1522761521.66181,68472692.639326,424784809.211557,3355174104.4059,4698239987.00797,..,..,..,..,..,..,..,..,..,..,..,..,..,24200999999.9989,31947000000.0015,30125606755.2431,32476308401.8163,-909806577.24988,9943077524.8936,17000013500.8074,12805677994.9307,2923291764.88608,-7677836862.53171,-25384908362.1845,-27449490180.5443,-22402635934.4411,-15701394555.1328,-15707643325.1665,-17445134687.8103,-2441125782.8098,22612781485.8998,8294855820.68271,..
Algeria,DZA,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-188822192.480992,-953125394.224041,1679094794.46334,4055557728.19335,4028909224.19607,3620493483.38476,3226277982.63162,3557428449.89235,4223119455.82561,185440509.819628,2412912027.96026,945599431.930253,1161586678.15957,4186990243.75268,5477869579.04495,..,..,..,..,..,..,..,..,..,..,..,..,..,26516999999.9988,34220000000.0016,34081918031.5377,40082572964.2803,7789876282.06141,18301308526.0974,25978556382.497,19930067045.5444,9945201742.96609,576139212.271396,-17812024818.5781,-19999945988.0067,-14241146081.1526,-7160573448.09523,-9007461227.5069,-12992250331.4333,1233332596.8278,26996788717.4036,12697502628.694,..
American Samoa,ASM,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,302799704.869729,114551911.225631,302952018.272698,296200061.152847,452742525.188009,..
Andorra,AND,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1343788985.80286,-1052957014.06084,-1327089216.6844,-1585730790.16408,-1646363358.42966,..
