time,E_gtco2
2020,24.2263
2021,24.59103
2022,24.95112
2023,25.30796
2024,25.66306
2025,26.01797
2026,26.30245
2027,26.58549
2028,26.86846
2029,25.15267
2030,31.4284532054559
2031,30.8542998486064
2032,30.2801464917568
2033,29.7059931349072
2034,29.1318397780577
2035,28.5576864212081
2036,27.9835330643586
2037,27.409379707509
2038,26.8352263506594
2039,26.2610729938099
2040,25.6869196369603
2041,24.8885658871933
2042,24.0902121374263
2043,23.2918583876594
2044,22.4935046378924
2045,21.6951508881254
2046,20.8967971383584
2047,20.0984433885914
2048,19.3000896388245
2049,18.5017358890575
2050,17.7033821392905
2051,17.1340341831417
2052,16.5646862269929
2053,15.9953382708441
2054,15.4259903146953
2055,14.8566423585465
2056,14.2872944023977
2057,13.7179464462489
2058,13.1485984901001
2059,12.5792505339513
2060,12.0099025778025
2061,11.2696871628769
2062,10.5294717479512
2063,9.78925633302551
2064,9.04904091809983
2065,8.30882550317415
2066,7.56861008824847
2067,6.8283946733228
2068,6.08817925839712
2069,5.34796384347144
2070,4.60774842854577
2071,4.090979004253
2072,3.57420957996024
2073,3.05744015566747
2074,2.54067073137471
2075,2.02390130708195
2076,1.50713188278918
2077,0.990362458496419
2078,0.473593034203655
2079,0
2080,0
2081,0
2082,0
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,0
2107,0
2108,0
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,0
2122,0
2123,0
2124,0
2125,0
2126,0
2127,0
2128,0
2129,0
2130,0
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,0
2142,0
2143,0
2144,0
2145,0
2146,0
2147,0
2148,0
2149,0
2150,0
2151,0
2152,0
2153,0
2154,0
2155,0
2156,0
2157,0
2158,0
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,0
2166,0
2167,0
2168,0
2169,0
2170,0
2171,0
2172,0
2173,0
2174,0
2175,0
2176,0
2177,0
2178,0
2179,0
2180,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,0
2193,0
2194,0
2195,0
2196,0
2197,0
2198,0
2199,0
2200,0
2201,0
2202,0
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,0
2213,0
2214,0
2215,0
2216,0
2217,0
2218,0
2219,0
2220,0
2221,0
2222,0
2223,0
2224,0
2225,0
2226,0
2227,0
2228,0
2229,0
2230,0
2231,0
2232,0
2233,0
2234,0
2235,0
2236,0
2237,0
2238,0
2239,0
2240,0
2241,0
2242,0
2243,0
2244,0
2245,0
2246,0
2247,0
2248,0
2249,0
2250,0
2251,0
2252,0
2253,0
2254,0
2255,0
2256,0
2257,0
2258,0
2259,0
2260,0
2261,0
2262,0
2263,0
2264,0
2265,0
2266,0
2267,0
2268,0
2269,0
2270,0
2271,0
2272,0
2273,0
2274,0
2275,0
2276,0
2277,0
2278,0
2279,0
2280,0
2281,0
2282,0
2283,0
2284,0
2285,0
2286,0
2287,0
2288,0
2289,0
2290,0
2291,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2298,0
2299,0
2300,0
