code,rights_proposed_2030,rights_proposed_2031,rights_proposed_2032,rights_proposed_2033,rights_proposed_2034,rights_proposed_2035,rights_proposed_2036,rights_proposed_2037,rights_proposed_2038,rights_proposed_2039,rights_proposed_2040,rights_proposed_2041,rights_proposed_2042,rights_proposed_2043,rights_proposed_2044,rights_proposed_2045,rights_proposed_2046,rights_proposed_2047,rights_proposed_2048,rights_proposed_2049,rights_proposed_2050,rights_proposed_2051,rights_proposed_2052,rights_proposed_2053,rights_proposed_2054,rights_proposed_2055,rights_proposed_2056,rights_proposed_2057,rights_proposed_2058,rights_proposed_2059,rights_proposed_2060,rights_proposed_2061,rights_proposed_2062,rights_proposed_2063,rights_proposed_2064,rights_proposed_2065,rights_proposed_2066,rights_proposed_2067,rights_proposed_2068,rights_proposed_2069,rights_proposed_2070,rights_proposed_2071,rights_proposed_2072,rights_proposed_2073,rights_proposed_2074,rights_proposed_2075,rights_proposed_2076,rights_proposed_2077,rights_proposed_2078,rights_proposed_2079,rights_proposed_2080
AFG,123484431.348071,123155404.837605,122826378.327138,122497351.816671,122168325.306204,121839298.795737,121510272.28527,121181245.774803,120852219.264337,120523192.75387,120194166.243403,121520254.271055,122846342.298707,124172430.326358,125498518.35401,126824606.381662,128150694.409314,129476782.436965,130802870.464617,132128958.492269,133455046.519921,129060564.036901,124666081.553881,120271599.070861,115877116.587841,111482634.104821,107088151.621801,102693669.138781,98299186.6557613,93904704.1727413,89510221.6897214,83918365.2043527,78326508.718984,72734652.2336153,67142795.7482467,61550939.262878,55959082.7775093,50367226.2921406,44775369.8067719,39183513.3214032,33591656.8360346,30232491.1524311,26873325.4688276,23514159.7852242,20154994.1016207,16795828.4180173,13436662.7344138,10077497.0508104,6718331.36720691,3359165.68360345,0
AGO,51996171.5749082,53243825.0640015,54491478.5530949,55739132.0421882,56986785.5312816,58234439.0203749,59482092.5094683,60729745.9985616,61977399.487655,63225052.9767483,64472706.4658417,67862668.6210523,71252630.7762629,74642592.9314735,78032555.0866841,81422517.2418947,84812479.3971053,88202441.5523159,91592403.7075265,94982365.8627371,98372328.0179477,98900713.2491511,99429098.4803544,99957483.7115577,100485868.942761,101014254.173964,101542639.405168,102071024.636371,102599409.867574,103127795.098778,103656180.329981,101474367.913924,99292555.4978672,97110743.0818102,94928930.6657533,92747118.2496963,90565305.8336393,88383493.4175823,86201681.0015254,84019868.5854684,81838056.1694114,73654250.5524703,65470444.9355292,57286639.318588,49102833.7016469,40919028.0847057,32735222.4677646,24551416.8508234,16367611.2338823,8183805.61694114,0
ALB,13644987.4215048,13242046.398072,12839105.3746391,12436164.3512063,12033223.3277735,11630282.3043406,11227341.2809078,10824400.257475,10421459.2340421,10018518.2106093,9615577.18717645,9256778.61744247,8897980.04770849,8539181.47797451,8180382.90824054,7821584.33850655,7462785.76877257,7103987.19903859,6745188.62930461,6386390.05957063,6027591.48983665,5802119.87826201,5576648.26668737,5351176.65511272,5125705.04353808,4900233.43196344,4674761.8203888,4449290.20881415,4223818.59723951,3998346.98566487,3772875.37409022,3551292.28845566,3329709.2028211,3108126.11718654,2886543.03155198,2664959.94591742,2443376.86028286,2221793.7746483,2000210.68901374,1778627.60337918,1557044.51774462,1417762.58419625,1278480.65064788,1139198.7170995,999916.783551129,860634.850002755,721352.916454381,582070.982906008,442789.049357634,303507.11580926,164225.182260886
ARE,44886481.2930663,44229615.7106218,43572750.1281772,42915884.5457327,42259018.9632881,41602153.3808436,40945287.798399,40288422.2159545,39631556.63351,38974691.0510654,38317825.4686209,37225762.3212491,36133699.1738773,35041636.0265055,33949572.8791337,32857509.731762,31765446.5843902,30673383.4370184,29581320.2896466,28489257.1422748,27397193.9949031,26569736.0672371,25742278.1395711,24914820.2119051,24087362.2842391,23259904.3565731,22432446.4289071,21604988.5012411,20777530.5735751,19950072.6459091,19122614.7182431,17960062.0062622,16797509.2942814,15634956.5823005,14472403.8703196,13309851.1583387,12147298.4463579,10984745.734377,9822193.02239612,8659640.31041525,7497087.59843438,6654748.84797666,5812410.09751894,4970071.34706122,4127732.59660351,3285393.84614579,2443055.09568807,1600716.34523035,758377.594772634,0,0
ARG,155752490.312785,153207813.328621,150663136.344457,148118459.360293,145573782.37613,143029105.391966,140484428.407802,137939751.423639,135395074.439475,132850397.455311,130305720.471147,127966085.347214,125626450.223281,123286815.099348,120947179.975415,118607544.851482,116267909.727548,113928274.603615,111588639.479682,109249004.355749,106909369.231816,103423685.963076,99938002.6943353,96452319.4255951,92966636.1568548,89480952.8881146,85995269.6193743,82509586.3506341,79023903.0818938,75538219.8131536,72052536.5444133,69105771.3162109,66159006.0880085,63212240.8598061,60265475.6316037,57318710.4034013,54371945.1751989,51425179.9469965,48478414.7187941,45531649.4905917,42584884.2623892,38326395.8361503,34067907.4099114,29809418.9836725,25550930.5574335,21292442.1311946,17033953.7049557,12775465.2787168,8516976.85247785,4258488.42623892,0
ARM,11844434.0051241,11563460.5317428,11282487.0583615,11001513.5849802,10720540.1115989,10439566.6382177,10158593.1648364,9877619.69145509,9596646.2180738,9315672.74469252,9034699.27131124,8723312.14214306,8411925.01297488,8100537.8838067,7789150.75463852,7477763.62547034,7166376.49630216,6854989.36713399,6543602.23796581,6232215.10879763,5920827.97962945,5714986.72578521,5509145.47194097,5303304.21809674,5097462.9642525,4891621.71040826,4685780.45656402,4479939.20271979,4274097.94887555,4068256.69503131,3862415.44118707,3619843.21606131,3377270.99093556,3134698.7658098,2892126.54068404,2649554.31555828,2406982.09043252,2164409.86530677,1921837.64018101,1679265.41505525,1436693.18992949,1275996.00788784,1115298.82584619,954601.643804535,793904.461762883,633207.279721231,472510.097679579,311812.915637927,151115.733596275,0,0
AUS,75761624.0851469,74660358.4665422,73559092.8479376,72457827.229333,71356561.6107283,70255295.9921237,69154030.3735191,68052764.7549144,66951499.1363098,65850233.5177052,64748967.8991005,62955501.4083677,61162034.9176349,59368568.4269021,57575101.9361692,55781635.4454364,53988168.9547036,52194702.4639708,50401235.9732379,48607769.4825051,46814302.9917722,45493386.7864376,44172470.5811029,42851554.3757682,41530638.1704335,40209721.9650988,38888805.7597641,37567889.5544294,36246973.3490947,34926057.14376,33605140.9384253,31608342.9695411,29611545.000657,27614747.0317728,25617949.0628887,23621151.0940045,21624353.1251204,19627555.1562362,17630757.1873521,15633959.218468,13637161.2495838,12099404.8984948,10561648.5474059,9023892.19631688,7486135.84522791,5948379.49413893,4410623.14304995,2872866.79196098,1335110.440872,0,0
AUT,30097717.6934219,28245445.1737502,26393172.6540785,24540900.1344068,22688627.6147352,20836355.0950635,18984082.5753918,17131810.0557201,15279537.5360484,13427265.0163768,11574992.4967051,10417493.2470346,9259993.99736406,8102494.74769355,6944995.49802305,5787496.24835254,4629996.99868203,3472497.74901152,2314998.49934101,1157499.24967051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,45000358.5857761,43932860.8016034,42865363.0174308,41797865.2332582,40730367.4490856,39662869.664913,38595371.8807403,37527874.0965677,36460376.3123951,35392878.5282225,34325380.7440499,33142332.8697908,31959284.9955318,30776237.1212728,29593189.2470137,28410141.3727547,27227093.4984957,26044045.6242366,24860997.7499776,23677949.8757186,22494902.0014596,21712852.7933058,20930803.5851521,20148754.3769984,19366705.1688446,18584655.9606909,17802606.7525371,17020557.5443834,16238508.3362297,15456459.1280759,14674409.9199222,13752809.3513441,12831208.7827659,11909608.2141878,10988007.6456096,10066407.0770315,9144806.50845331,8223205.93987517,7301605.37129701,6380004.80271886,5458404.23414072,4847870.13749501,4237336.04084931,3626801.94420361,3016267.84755791,2405733.7509122,1795199.6542665,1184665.5576208,574131.460975094,0,0
BDI,17801644.9480597,18228797.2509759,18655949.5538921,19083101.8568083,19510254.1597245,19937406.4626407,20364558.7655569,20791711.0684731,21218863.3713893,21646015.6743055,22073167.9772216,23233770.7840548,24394373.590888,25554976.3977212,26715579.2045544,27876182.0113876,29036784.8182208,30197387.625054,31357990.4318871,32518593.2387203,33679196.0455535,33860096.4079606,34040996.7703676,34221897.1327747,34402797.4951817,34583697.8575888,34764598.2199959,34945498.5824029,35126398.94481,35307299.307217,35488199.6696241,34741224.482846,33994249.2960678,33247274.1092897,32500298.9225116,31753323.7357335,31006348.5489553,30259373.3621772,29512398.1753991,28765422.9886209,28018447.8018428,25216603.0216585,22414758.2414743,19612913.46129,16811068.6811057,14009223.9009214,11207379.1207371,8405534.34055285,5603689.56036856,2801844.78018428,0
