time,consumption_ede
2020,4.9884192756417916
2021,5.021727658587829
2022,5.0505418901548405
2023,5.080877449244587
2024,5.115992042386444
2025,5.156186077967904
2026,5.198622465621266
2027,5.242962668570366
2028,5.290769909233205
2029,5.3420478050536815
2030,5.619452895394604
2031,5.699936388704743
2032,5.7814356838538385
2033,5.866721430412794
2034,5.951723162129308
2035,6.038775191073935
2036,6.1220876984793104
2037,6.206350985237723
2038,6.293199741394033
2039,6.38327558508638
2040,6.475888433402933
2041,6.572173252502113
2042,6.668354778103148
2043,6.7656938055559355
2044,6.864075348386915
2045,6.9627456141677495
2046,7.0621153526247795
2047,7.161952431704153
2048,7.264324186406687
2049,7.370534220727436
2050,7.481270828148615
2051,7.596998344184506
2052,7.7143447211496055
2053,7.83445792879281
2054,7.956680705058173
2055,8.080256768568603
2056,8.2022637564539
2057,8.325802899125598
2058,8.452542564121938
2059,8.58185766358453
2060,8.715323832028304
2061,8.848292560144017
2062,8.982865578423453
2063,9.119064391993847
2064,9.256858732587157
2065,9.39571245242017
2066,9.531284299812059
2067,9.665221044381784
2068,9.800628592824397
2069,9.938613092293014
2070,10.079984761049412
2071,10.229583110787685
2072,10.38007611057251
2073,10.532660572676363
2074,10.687764635775642
2075,10.845370928841035
2076,10.999205994253584
2077,11.153592267108507
2078,11.307684143592054
2079,11.463080647791063
2080,11.639747755274938
2081,11.811666313379657
2082,11.984181772895461
2083,12.159664975761027
2084,12.337952658647243
2085,12.519204611946572
2086,12.697341338061214
2087,12.874883018474593
2088,13.052986632968794
2089,13.231082618599576
2090,13.40818352839332
2091,13.578320641517086
2092,13.747211480251531
2093,13.920434679108185
2094,14.1014767456995
2095,14.286075610866899
2096,14.464595750200743
2097,14.64263619963901
2098,14.82106729435879
2099,14.999934808899996
2100,15.177230246371394
