time,co2_emissions
2020,0.4734474670297311
2021,0.47147815360360756
2022,0.46963489191354213
2023,0.46792614924555903
2024,0.4663619460369519
2025,0.4649536320762252
2026,0.46274633668430654
2027,0.4607074148239643
2028,0.4588440997304785
2029,0.45716243179047006
2030,0.21867804698409585
2031,0.19337546968269773
2032,0.16823650830142622
2033,0.1436479197020808
2034,0.11993805219428967
2035,0.09608364138556438
2036,0.07445905570768659
2037,0.05337159953480944
2038,0.032743938769877995
2039,0.011720739227240151
2040,-0.008166762517277994
2041,-0.03375368871278142
2042,-0.05841611692259627
2043,-0.08297613744180307
2044,-0.10748029206211182
2045,-0.13162882953548116
2046,-0.15424022527391223
2047,-0.17656664214396114
2048,-0.1992992832888221
2049,-0.22116756467751553
2050,-0.2434984813876594
2051,-0.2580410385647061
2052,-0.27262751975626537
2053,-0.2869654871316294
2054,-0.3016651706849591
2055,-0.31613839348536105
2056,-0.32937505583772103
2057,-0.34239001054447477
2058,-0.35575266191358706
2059,-0.3694532304460265
2060,-0.38240958755940363
2061,-0.3994115130081302
2062,-0.41603669416617145
2063,-0.43281733132971456
2064,-0.44924880956244184
2065,-0.4658437946806892
2066,-0.48150603761732036
2067,-0.49727937261982796
2068,-0.5126913929335006
2069,-0.5282199575841892
2070,-0.5438608916428491
2071,-0.5527730654117257
2072,-0.5619651081422247
2073,-0.5709962159889814
2074,-0.5798765180021958
2075,-0.5886160895926069
2076,-0.5974539041130571
2077,-0.6056992302191742
2078,-0.6141872074494538
2079,-0.6214431739728924
2080,-0.6172152948189028
2081,-0.6126589913838356
2082,-0.6082549908786454
2083,-0.603998157282297
2084,-0.5998839058634796
2085,-0.5959075933114808
2086,-0.5916760280805465
2087,-0.5875672334074743
2088,-0.5835768070881132
2089,-0.579700412737414
2090,-0.5759336542439152
2091,-0.5719649276198793
2092,-0.568092034963711
2093,-0.5643126144017687
2094,-0.5606260081835437
2095,-0.5570330897667376
2096,-0.553286254139066
2097,-0.5496270803182789
2098,-0.5460542979181078
2099,-0.5425662106627387
2100,-0.539160847389119
