time,gross_output
2020,3.089203000000001e6
2021,3.15213224276394e6
2022,3.21672312127636e6
2023,3.283094465790634e6
2024,3.3513839270445253e6
2025,3.421747984895083e6
2026,3.487072381926331e6
2027,3.5543900461501437e6
2028,3.6238421112799635e6
2029,3.69556820313529e6
2030,3.769709029275567e6
2031,3.8391446025907854e6
2032,3.910864241585256e6
2033,3.9849897911140453e6
2034,4.0616378798466334e6
2035,4.1409203071870394e6
2036,4.215454113417225e6
2037,4.292419324462519e6
2038,4.37191978172633e6
2039,4.45405985496482e6
2040,4.538941762749862e6
2041,4.619096479294147e6
2042,4.701734178723241e6
2043,4.7869289924952695e6
2044,4.874749384536151e6
2045,4.965260826615734e6
2046,5.050956693397416e6
2047,5.13898923793317e6
2048,5.229408560940653e6
2049,5.322272233414757e6
2050,5.417652712525755e6
2051,5.507719237266997e6
2052,5.59994686537331e6
2053,5.694373389223041e6
2054,5.79103660299123e6
2055,5.889967224255964e6
2056,5.982855572655652e6
2057,6.077538751581716e6
2058,6.174047978279621e6
2059,6.272422842982255e6
2060,6.372695818574233e6
2061,6.466266861663846e6
2062,6.5613048738675965e6
2063,6.657843771810196e6
2064,6.755909285719835e6
2065,6.855523154421056e6
2066,6.9479279738690555e6
2067,7.041395543966509e6
2068,7.135934539340802e6
2069,7.231572111205903e6
2070,7.328352442706976e6
2071,7.417806271901859e6
2072,7.508028140499943e6
2073,7.599055911413726e6
2074,7.690915616524461e6
2075,7.783637013835008e6
2076,7.869347861330413e6
2077,7.955546485677042e6
2078,8.042258264861773e6
2079,8.129496854687372e6
2080,8.217277501923579e6
2081,8.298923440049685e6
2082,8.380835382365144e6
2083,8.46305915669528e6
2084,8.545642167857457e6
2085,8.628625052748917e6
2086,8.706325243271403e6
2087,8.78421672256685e6
2088,8.862322293329302e6
2089,8.940660084637303e6
2090,9.01924172209093e6
2091,9.093189232585516e6
2092,9.167159976576846e6
2093,9.241178489324464e6
2094,9.315293831666784e6
2095,9.389578702277597e6
2096,9.459857017074198e6
2097,9.530195167176656e6
2098,9.600621363479087e6
2099,9.671154032870842e6
2100,9.741804099032426e6
