time,consumption_ede
2020,4.9884192756417916
2021,5.021727658587829
2022,5.0505418901548405
2023,5.080877449244587
2024,5.115992042386444
2025,5.156186077967904
2026,5.198622465621266
2027,5.242962668570366
2028,5.290769909233205
2029,5.3420478050536815
2030,5.397020794394146
2031,5.453366980837812
2032,5.511887914935734
2033,5.5761143213784345
2034,5.6423048948443375
2035,5.711749230017123
2036,5.7823575228037685
2037,5.855732112094235
2038,5.933449530861964
2039,6.015396740808693
2040,6.1021208185399205
2041,6.1901944758984575
2042,6.280640067462979
2043,6.374130483553096
2044,6.470493324952307
2045,6.569048069535727
2046,6.666867951698191
2047,6.766616263798214
2048,6.870221908008742
2049,6.97917002621674
2050,7.0938964759481165
2051,7.209865948064935
2052,7.328064504908813
2053,7.4496466481137285
2054,7.574033032642575
2055,7.700403263705348
2056,7.825343610982941
2057,7.952354660391979
2058,8.083290902196277
2059,8.217576038876377
2060,8.356268859582112
2061,8.496433396223122
2062,8.639062700263368
2063,8.78453754056331
2064,8.932500848593252
2065,9.082819804789052
2066,9.2309452263095
2067,9.378870283967935
2068,9.529154749323014
2069,9.683323742037366
2070,9.842157853151335
2071,10.001623673840156
2072,10.163049431590643
2073,10.32705712130317
2074,10.49402847875894
2075,10.663934124363147
2076,10.83198622435993
2077,11.000391910811409
2078,11.16980162027961
2079,11.340326761426473
2080,11.513307412269349
2081,11.684940414827926
2082,11.859114524186168
2083,12.03759961114717
2084,12.220056362574187
2085,12.406536693822975
2086,12.590929359238757
2087,12.775861811561159
2088,12.962424637597078
2089,13.150055109563043
2090,13.337814349152216
2091,13.519628191788206
2092,13.70113882621469
2093,13.886161250937244
2094,14.077256483643971
2095,14.272904697698145
2096,14.464595550999478
2097,14.657027534009558
2098,14.850739208501915
2099,15.045097333548386
2100,15.238740475898316
