country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.00638,0.000231,38.6,1580.0,290.0,10900.0,7760.0,323000.0,0.0474,1.24,0.677,69100.0,2.86e6,107.0,0.0,0.0,41.24258480166104,109.08805144197845,198.3290392274734,480.9448597174765,0.18645518060377506,0.3646481848423351,0.5641697447300891,1.0000000000000002,40402.41395695238,46069.46840827788,54378.721478052576,86882.61781002185,0.0004926878776289491,0.002036968077028369,0.004640548186577806,0.011472697233419557,0.04131879158514314,0.04642538612053315,0.04873897451289704,0.04889831841774502,22.199963609245952,24.558420289676093,28.958186634952103,49.484575559722856,4640.449027110236,5358.995983976918,6228.478311320123,9738.443885061975,0.0006288779744902452,0.0004533191200060041,0.0002927155988169592,-1.3411377428220332e-19,-0.0,-0.0,-0.0,0.0,1.0919783151685885,1.2170931464439019,1.2731271672920872,1.2769716737563994,110.244,110.937,108.709,105.636
AFG,0.00707,0.00802,5.89,208.0,290.0,10900.0,652000.0,2.26e7,0.0225,1.94,0.677,8620.0,308000.0,67400.0,0.0,0.0,41.24258480166104,109.08805144197845,198.3290392274734,480.9448597174765,0.18645518060377506,0.3646481848423351,0.5641697447300891,1.0000000000000002,2031.357948415598,2803.4553190913193,3902.5021725959214,11700.716650020076,0.00047115676972470295,0.0020685459972456448,0.004937206622555788,0.012948181852723051,0.019399237911862547,0.022029327431766627,0.023235656674603342,0.02331907221988015,1.2666178106501715,1.763736484443149,2.515882111168602,8.089939370510699,99637.42646770453,163403.06347440873,259572.28758091768,932484.7818397098,0.012912859877965066,0.01403659468291083,0.012978791354755758,-1.449335163728344e-17,-0.0,-0.0,-0.0,0.0,1.7112107740448892,1.9072749671676903,1.9950844216747305,2.0011090476139377,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.00138,0.00676,5.7,217.0,290.0,10900.0,1.58e6,5.45e7,0.0582,1.89,0.677,11600.0,457000.0,106000.0,0.0,0.0,41.24258480166104,109.08805144197845,198.3290392274734,480.9448597174765,0.18645518060377506,0.3646481848423351,0.5641697447300891,1.0000000000000002,6596.844055533179,6737.980419115274,7263.157917418224,13560.19594546788,0.00020264779269023507,0.0007410088321366409,0.0014692638624095632,0.002175083598778069,0.050473345162112805,0.05694610654003395,0.05989524148739223,0.06009873716504474,2.6288066884109753,2.82535636396626,3.1622104929527857,6.8684624910313445,310758.9236307176,426065.3038350173,596873.2972013772,2.0473917689843576e6,0.017322077897870766,0.013111003590217949,0.008881300614897942,-5.345584421335948e-18,-0.0,-0.0,-0.0,0.0,1.6621545251882848,1.8525980349939941,1.9378902061145595,1.943742120688326,44834.707,59782.166,77420.355,142116.013
ALB,0.00609,0.00193,20.3,827.0,290.0,10900.0,57000.0,2.5e6,0.0285,1.9,0.677,29600.0,1.19e6,2070.0,0.0,0.0,41.24258480166104,109.08805144197845,198.3290392274734,480.9448597174765,0.18645518060377506,0.3646481848423351,0.5641697447300891,1.0000000000000002,14986.976136635525,18002.24728810471,21691.134560604365,37996.82859840367,0.00042442760025608757,0.001955942498100912,0.004758139007956718,0.011062366402386727,0.02463861690510201,0.027887755824095792,0.029372905886771793,0.02947548819138995,11.375166477516961,13.083678375954685,15.266725978193987,25.4832454184966,42815.56768622723,48842.95688015605,54383.64330872908,65649.53262420945,0.004998501489461439,0.0039672942533268505,0.0026205958440654554,-8.717620586823774e-19,-0.0,-0.0,-0.0,0.0,1.6755867297520524,1.867569251811308,1.9535506860977332,1.9594498911685343,2786.972,2634.385,2424.052,1659.729
ARE,0.00836,0.0656,48.5,2010.0,290.0,10900.0,1.16e6,4.94e7,0.0746,1.75,0.677,94700.0,4.13e6,11200.0,0.0,0.0,41.24258480166104,109.08805144197845,198.3290392274734,480.9448597174765,0.18645518060377506,0.3646481848423351,0.5641697447300891,1.0000000000000002,74456.74633625247,81409.60754718391,86955.37737219599,103556.92615960412,0.0008451914734949977,0.003499044368305692,0.0077216438632229534,0.014216562172080756,0.06469783402341805,0.07296990426841345,0.07673799335795885,0.07699798181732283,27.516634179595776,33.71729381017555,39.83040047186249,59.244810610761576,845860.3763847509,933396.8511913816,983695.8925643011,1.3124441924392814e6,0.1966474366178523,0.13562887625932324,0.07692460036650599,-2.239719958816067e-17,-0.0,-0.0,-0.0,0.0,1.540023654231996,1.716473861147946,1.7954989812892848,1.8009209121203695,10661.076,10648.314,10425.284,11600.276
ARG,0.00521,0.0596,29.0,1170.0,290.0,10900.0,2.83e6,1.14e8,0.031,1.45,0.677,48600.0,1.99e6,55200.0,0.0,0.0,41.24258480166104,109.08805144197845,198.3290392274734,480.9448597174765,0.18645518060377506,0.3646481848423351,0.5641697447300891,1.0000000000000002,26170.582984416775,31645.203123187224,38044.19790660183,61485.4068410483,0.00040172905282841203,0.0016609080380958748,0.003783821588162754,0.00935463607334749,0.02696945965800472,0.03035638660680171,0.03189413290169584,0.03200011526889559,14.711025647259124,17.5186094961315,21.286904389936492,37.85495074575541,1.3189823891867516e6,1.7080176084634187e6,2.1621367705091005e6,3.710803414107567e6,0.14574938769804308,0.11780787250511235,0.08285303788009081,-4.166900499790621e-17,-0.0,-0.0,-0.0,0.0,1.278046809123701,1.4244806793427973,1.490062660736208,1.4945622548683597,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.00484,0.00206,25.2,1020.0,290.0,10900.0,92000.0,3.78e6,0.00858,1.83,0.677,36800.0,1.46e6,2600.0,0.0,0.0,41.24258480166104,109.08805144197845,198.3290392274734,480.9448597174765,0.18645518060377506,0.3646481848423351,0.5641697447300891,1.0000000000000002,16080.884584371948,19960.504692007464,25737.833032766874,49547.28338917604,0.000384930352169842,0.0016642033642196685,0.0038630914379532678,0.00864684592199707,0.007207198443046226,0.008350748262667991,0.008884509479578367,0.008921622707775,12.794938870593668,14.963299042292986,18.461367525481258,32.89484119427595,48074.52161304226,58569.91744123401,73408.20977677846,118536.32259674407,0.00509016229333847,0.004047784565234214,0.002871932605438339,-1.2303465511630521e-18,-0.0,-0.0,-0.0,0.0,1.6141165140105156,1.7990560064013918,1.8818831442127335,1.8875659323103235,2967.01,2905.147,2816.114,2350.729
AUS,0.00706,0.113,42.1,1810.0,290.0,10900.0,2.73e6,1.13e8,0.0385,1.81,0.677,72200.0,3.11e6,35200.0,0.0,0.0,41.24258480166104,109.08805144197845,198.3290392274734,480.9448597174765,0.18645518060377506,0.3646481848423351,0.5641697447300891,1.0000000000000002,54275.03690687387,58668.34360469043,62952.608115559815,81766.89810266349,0.0007105267365484292,0.0029954593599336617,0.006670535907750031,0.011944048776246068,0.033355359788515816,0.03764140794233867,0.03959403981121289,0.03972876817078676,31.50210415652831,34.05321372526919,36.732838041028415,47.77231015720634,1.5814689209271397e6,1.8667441394993446e6,2.16194562826737e6,3.34705453244238e6,0.3090833334562216,0.23221197431234977,0.14604951438189226,-4.798799915441841e-17,-0.0,-0.0,-0.0,0.0,1.5949299778056585,1.7776711479343772,1.8595137435118914,1.8651289819508088,28177.48,30572.49,32814.106,38899.744
AUT,6.37e-5,0.00708,59.3,2500.0,290.0,10900.0,822000.0,3.5e7,0.00651,1.81,0.677,91900.0,3.88e6,8940.0,0.0,0.0,41.24258480166104,109.08805144197845,198.3290392274734,480.9448597174765,0.18645518060377506,0.3646481848423351,0.5641697447300891,1.0000000000000002,62259.33028009845,69186.23188838876,76749.9052308711,108285.71814653941,0.00022072700903805976,0.00022672825976155684,0.0,0.0,0.005399547920100086,0.0063225866970087145,0.006756593186407184,0.006786839257250318,40.010492495871326,44.38061224382184,49.226888713927444,70.00084397524691,574483.6679603256,641503.9149699733,705515.0929580281,951685.5022524556,0.03487929243389278,0.006040061329035563,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.589879689204122,1.7720422159683198,1.8536256599007355,1.8592231178884246,9175.689,9211.788,9130.698,8729.407
AZE,0.00693,0.0115,22.7,935.0,290.0,10900.0,322000.0,1.34e7,0.0231,1.81,0.677,30500.0,1.25e6,10400.0,0.0,0.0,41.24258480166104,109.08805144197845,198.3290392274734,480.9448597174765,0.18645518060377506,0.3646481848423351,0.5641697447300891,1.0000000000000002,18808.572083139166,21030.759521739434,23191.65123706859,35365.69931445092,0.0005507213823279432,0.002380982357071906,0.0055269402497783796,0.012371076772968625,0.01989951604002376,0.022542230695459464,0.02375109796833877,0.023834616434428076,14.272961148098789,15.819727694746692,17.34573554820568,26.289910128100534,206132.30448239937,238304.7577155047,264170.45932331675,367123.42666780006,0.031225722685923118,0.023562711887057407,0.014786440646327224,-5.4517745313053255e-18,-0.0,-0.0,-0.0,0.0,1.5939609689688876,1.7765911136537555,1.8583839852938915,1.8639958121625562,10739.736,11055.063,11064.995,10013.683
