time,co2_emissions
2020,0.4485508973015932
2021,0.4466851416140666
2022,0.4449388072221107
2023,0.4433199120265588
2024,0.441837948169354
2025,0.44050367177821825
2026,0.4384124300543323
2027,0.436480714577077
2028,0.4347153834917681
2029,0.433122164499276
2030,0.20717869849862883
2031,0.1832075771132952
2032,0.15939142541837498
2033,0.13609660488215725
2034,0.11363413707157015
2035,0.09103446096078532
2036,0.07054710160395725
2037,0.05056823774679311
2038,0.031024525650126093
2039,0.011105460034608675
2040,-0.007738192674711871
2041,-0.03198303039034905
2042,-0.05535296886383373
2043,-0.07862712621612164
2044,-0.10184978129484448
2045,-0.12473706041705909
2046,-0.14616941182933474
2047,-0.16733349229092281
2048,-0.18888449522006096
2049,-0.2096184008740429
2050,-0.23079296338013652
2051,-0.24458759429376642
2052,-0.2584252827211873
2053,-0.2720288524927732
2054,-0.2859767736925507
2055,-0.2997115412109633
2056,-0.3122754697955764
2057,-0.3246305189282517
2058,-0.337316545895165
2059,-0.3503243862107047
2060,-0.3626280018369436
2061,-0.37876944395154155
2062,-0.3945560111617205
2063,-0.41049243856350043
2064,-0.4261002616726739
2065,-0.4418657350407781
2066,-0.4567491265857025
2067,-0.471740490563318
2068,-0.4863917955122
2069,-0.5011563673412185
2070,-0.5160303964049116
2071,-0.5245225399590773
2072,-0.5332807332765996
2073,-0.5418868102876424
2074,-0.5503503381670749
2075,-0.5586808373645425
2076,-0.5671051022072303
2077,-0.5749676864852526
2078,-0.5830611488255962
2079,-0.5899856426055178
2080,-0.5860071108279669
2081,-0.5817117456753459
2082,-0.577556409910879
2083,-0.5735366652500561
2084,-0.5696485543488844
2085,-0.5658880293053054
2086,-0.5618820290180295
2087,-0.5579898259532183
2088,-0.5542075251499073
2089,-0.5505312696495861
2090,-0.546957123352749
2091,-0.5431893773353951
2092,-0.5395110508053169
2093,-0.5359200856031514
2094,-0.5324160241541884
2095,-0.5289998461977364
2096,-0.5254365459653825
2097,-0.5219556734214083
2098,-0.518556135169373
2099,-0.5152364224941821
2100,-0.5119947557228476
