time,consumption_ede
2020,4.9884192756417916
2021,5.021727658587829
2022,5.0505418901548405
2023,5.080877449244587
2024,5.115992042386444
2025,5.156186077967904
2026,5.198622465621266
2027,5.242962668570366
2028,5.290769909233205
2029,5.3420478050536815
2030,5.383291194220675
2031,5.43751237010098
2032,5.493862285663068
2033,5.5559006900331305
2034,5.61995158934867
2035,5.687226093741907
2036,5.75589749286094
2037,5.82741788094128
2038,5.903365927061403
2039,5.983553492114164
2040,6.068717139621704
2041,6.154710263216839
2042,6.24331436152262
2043,6.335120411719081
2044,6.429972238370217
2045,6.527231793666265
2046,6.624260539052044
2047,6.723463290118424
2048,6.826724746278591
2049,6.935738303391189
2050,7.050826835346848
2051,7.167824971339175
2052,7.287212197600948
2053,7.410184352151114
2054,7.536082155666423
2055,7.664129154995265
2056,7.791003853731846
2057,7.920139277643283
2058,8.053373311627274
2059,8.190128620390299
2060,8.331639157072729
2061,8.474545746369046
2062,8.620366561644495
2063,8.769418278529985
2064,8.921393777520935
2065,9.076111678538366
2066,9.229032994880493
2067,9.382065621226566
2068,9.53793409742741
2069,9.698244473227179
2070,9.863878418063177
2071,10.031167091159407
2072,10.20062279079258
2073,10.372881046899641
2074,10.54835634596349
2075,10.727016340812135
2076,10.90401734823273
2077,11.08158257126506
2078,11.260275752705239
2079,11.440231609404368
2080,11.622806480238363
2081,11.803378620191339
2082,11.985901110117911
2083,12.172259044884578
2084,12.362112393550607
2085,12.555545027895453
2086,12.746412443525552
2087,12.937224751402141
2088,13.129118960193814
2089,13.321514383840006
2090,13.5134217400331
2091,13.698795053337662
2092,13.883373284112213
2093,14.07123572875256
2094,14.265161769351563
2095,14.463513172055588
2096,14.657623490179853
2097,14.85215938251819
2098,15.047998902258342
2099,15.244437925932772
2100,15.439724583083079
