time,co2_emissions
2020,0.4485508973015932
2021,0.4466851416140666
2022,0.4449388072221107
2023,0.4433199120265588
2024,0.441837948169354
2025,0.44050367177821825
2026,0.4384124300543323
2027,0.436480714577077
2028,0.4347153834917681
2029,0.433122164499276
2030,0.3495928449544998
2031,0.33962355644120795
2032,0.329824416686595
2033,0.32032922188535323
2034,0.3112507775061282
2035,0.3022320671963421
2036,0.2936201152988023
2037,0.28529430067079353
2038,0.2772264302540819
2039,0.26911748194439783
2040,0.26149903720459067
2041,0.2515559408365378
2042,0.24201744329502267
2043,0.2325940111390952
2044,0.22326621964052099
2045,0.2141356488804102
2046,0.20522437729189147
2047,0.1964739817605712
2048,0.18763999572464118
2049,0.17916555359724598
2050,0.17058463559824621
2051,0.16442870375503482
2052,0.15831135145838154
2053,0.15233400114698617
2054,0.14628065154726916
2055,0.1403565031537892
2056,0.13456722134776603
2057,0.1288961177914282
2058,0.123141641248414
2059,0.11730632896680636
2060,0.11177214218941277
2061,0.10451390417464149
2062,0.0974136710831075
2063,0.0902828273070253
2064,0.08329958230586841
2065,0.0762815437924319
2066,0.06931354677352551
2067,0.062321788203605344
2068,0.05547371472450907
2069,0.04859960231272632
2070,0.04170100382088016
2071,0.03695491376420743
2072,0.03213621641296947
2073,0.027402545589873345
2074,0.022750879143228733
2075,0.018178253768847914
2076,0.013370519124107265
2077,0.008799095628821564
2078,0.004165578184692112
2079,0.0
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,0.0
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
