country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.0066,0.000225,38.4,1570.0,296.0,11100.0,7760.0,323000.0,0.0474,1.24,0.686,68900.0,2.85e6,107.0,-1.29e7,-6.79e8,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,40274.446923767,45815.60365822534,54047.111024168895,86804.54207002463,0.0005188752357518758,0.002153601520456506,0.004930248869971114,0.01147269723341955,0.04131879158514314,0.046424411102798324,0.048735697700926235,0.04889193343170536,22.204694317592377,24.518435916701705,28.80454091982336,48.9673196764429,4640.449027110236,5356.4968916189,6221.186947666822,9729.633353113191,0.0006259783341152399,0.00044747862540843653,0.00028345451497935933,0.0,-1.3990898377102887e7,-2.5187370022233695e7,-2.742871911644425e7,0.0,1.0919783151685885,1.2170694472552577,1.2730480874837873,1.2768176588977858,110.244,110.937,108.709,105.636
AFG,0.0073,0.00765,5.87,207.0,296.0,11100.0,652000.0,2.26e7,0.0225,1.94,0.686,8610.0,307000.0,67400.0,-5.96e8,-2.94e10,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,2025.3337497111327,2786.9034448528337,3876.5096711165525,11689.883869679661,0.0004961997058736502,0.002186987540473074,0.005245427133387972,0.012948181852723043,0.019399237911862547,0.02202882096036855,0.023233941730188053,0.023315728901643438,1.2656613232183929,1.7586962684949727,2.503082288229003,8.050855055623503,99637.42646770453,163239.2167848011,259134.4566268961,931618.423227766,0.012853321062204688,0.013848313931556035,0.012561667890522907,0.0,-2.872775286124777e8,-7.631783751291944e8,-1.1778616139546564e9,0.0,1.7112107740448892,1.907237828786478,1.9949604977670001,2.0008676949407556,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.00144,0.00657,5.69,217.0,296.0,11100.0,1.58e6,5.45e7,0.0582,1.89,0.686,11600.0,457000.0,106000.0,-3.92e8,-2.04e10,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,6588.1776098036025,6723.615865320217,7248.22159973197,13557.282622456089,0.0002134189331240909,0.0007834377796873761,0.0015609872381642362,0.002175083598778068,0.050473345162112805,0.056944865860137577,0.05989105723374467,0.060090582056156104,2.6317368927045437,2.828139179194288,3.1623599149512662,6.8569083663586765,310758.9236307176,425941.02667042695,596571.89345397,2.0469361529541896e6,0.017242208990882302,0.012944344806114252,0.008606041292530868,0.0,-3.853711552639679e8,-7.246240462081697e8,-8.230128127177267e8,0.0,1.6621545251882848,1.8525619612797994,1.9377698348037093,1.94350768700898,44834.707,59782.166,77420.355,142116.013
ALB,0.00631,0.00188,20.2,823.0,296.0,11100.0,57000.0,2.5e6,0.0285,1.9,0.686,29500.0,1.19e6,2070.0,-1.1e8,-5.81e9,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,14946.736654899656,17909.287881413213,21561.69451194995,37961.33890769938,0.00044698678644643897,0.002067936550081219,0.005055180664861041,0.01106236640238672,0.02463861690510201,0.02788713163768589,0.02937079674060816,0.02947137694140744,11.354027272446897,13.028913825144816,15.171915067855382,25.318852671765544,42815.56768622723,48823.019910252646,54328.70319384412,65587.95290380571,0.004975454320819358,0.003916408072698615,0.00253809167489011,0.0,-1.1120365033222704e8,-2.2024199276685098e8,-2.450811474188915e8,0.0,1.6755867297520524,1.8675328865781833,1.9534293420421431,1.9592135629835392,2786.972,2634.385,2424.052,1659.729
ARE,0.00868,0.0642,48.1,1990.0,296.0,11100.0,1.16e6,4.94e7,0.0746,1.75,0.686,94300.0,4.11e6,11200.0,-3.34e9,-1.8e11,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,74043.03727190755,80589.0578667484,86034.0801038077,103396.68988861586,0.0008901151113676684,0.0036993938966000616,0.008203691546849119,0.014216562172080748,0.06469783402341805,0.0729683189602913,0.07673264748537216,0.07698756279339389,27.43636403373536,33.4649466365976,39.35896832308611,58.60782263351311,845860.3763847509,932289.6514846821,981572.4829787512,1.3104007369764207e6,0.19574073154947932,0.133785032405338,0.07441714125078018,0.0,-4.37489372094527e9,-7.536377317616485e9,-7.212983116908526e9,0.0,1.540023654231996,1.7164404380381724,1.7953874545550423,1.8007037040292622,10661.076,10648.314,10425.284,11600.276
ARG,0.00538,0.0579,28.9,1170.0,296.0,11100.0,2.83e6,1.14e8,0.031,1.45,0.686,48500.0,1.99e6,55200.0,-3.59e9,-1.87e11,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,26103.925327393677,31498.02360060464,37850.37069740861,61438.8513659351,0.000423081765270679,0.001756008901916577,0.0040200384435548926,0.009354636073347484,0.02696945965800472,0.030355738975058263,0.03189195353582675,0.03199586832545935,14.702224588909115,17.47605730882649,21.181317514256907,37.59624893533592,1.3189823891867516e6,1.7069854647909289e6,2.159661068456145e6,3.7079784113699645e6,0.14507736414761724,0.11627400323251265,0.08023374989190948,0.0,-3.2425445865888267e9,-6.540432772118419e9,-7.754683384061819e9,0.0,1.278046809123701,1.4244529419124794,1.489970106062493,1.494381996528176,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.00502,0.002,25.1,1010.0,296.0,11100.0,92000.0,3.78e6,0.00858,1.83,0.686,36700.0,1.45e6,2600.0,-1.22e8,-6.38e9,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,16042.38811052916,19870.812298802433,25607.216103843693,49510.96707067226,0.00040539017966380683,0.0017594929129968859,0.004104256960772937,0.008646845921997064,0.007207198443046226,0.008350525346985462,0.008883746740279794,0.00892013469838812,12.775072350858284,14.909907444395714,18.362766872855186,32.71067276896014,48074.52161304226,58539.1509040959,73325.22052619873,118449.26517948917,0.0050666924936320044,0.00399539783218328,0.0027811806929484138,0.0,-1.132428646857693e8,-2.2458946183029118e8,-2.6841844168932542e8,0.0,1.6141165140105156,1.7990209752554176,1.8817662517591667,1.8873382740104854,2967.01,2905.147,2816.114,2350.729
AUS,0.00733,0.11,41.7,1800.0,296.0,11100.0,2.73e6,1.12e8,0.0385,1.81,0.686,72000.0,3.1e6,35200.0,-6.2e9,-3.3e11,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,54028.9504003906,58178.5518371803,62391.29350198848,81664.87744272196,0.0007482926710290034,0.003166974438514464,0.0070869649013469895,0.01194404877624606,0.033355359788515816,0.03764058644987735,0.03959126953270009,0.03972336893759436,31.394399652866323,33.79833015314105,36.348822543574656,47.31484989517488,1.5814689209271397e6,1.8649058317235992e6,2.157893803936962e6,3.3428610490447604e6,0.30765820720075465,0.22910130027055955,0.14132911340681875,0.0,-6.876299828988966e9,-1.2901001381204813e10,-1.3688636423854988e10,0.0,1.5949299778056585,1.7776365331935042,1.859398240525115,1.8649040297593429,28177.48,30572.49,32814.106,38899.744
AUT,6.73e-5,0.00706,59.3,2500.0,296.0,11100.0,822000.0,3.5e7,0.00651,1.81,0.686,91900.0,3.88e6,8940.0,-1.19e8,-7.67e9,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,62174.031270455926,69137.15306519608,76738.27982132923,108283.25008036084,0.00023245909642145455,0.00023971034718682345,0.0,0.0,0.005399547920100086,0.006322405840035603,0.006755971670416103,0.006785626410198513,39.96259175650588,44.34991884870218,49.21943508494907,69.99925627596295,574483.6679603256,641394.8826529372,705407.7921746896,951662.6648355656,0.03471847044823664,0.0059640099654576445,0.0,0.0,-7.759734888209496e8,-3.3562118894731593e8,0.0,0.0,1.589879689204122,1.772007710833783,1.8535105226500264,1.858998878000009,9175.689,9211.788,9130.698,8729.407
AZE,0.00718,0.0112,22.7,931.0,296.0,11100.0,321000.0,1.34e7,0.0231,1.81,0.686,30400.0,1.25e6,10400.0,-6.3e8,-3.35e10,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,18743.337031110714,20887.443744198707,23017.16651034949,35326.47900983905,0.0005799933387121359,0.0025173134926349456,0.005871976720268207,0.012371076772968616,0.01989951604002376,0.022541722740664304,0.023749380810677224,0.023831269169352767,14.22799965706711,15.717260156682261,17.213172500407637,26.2129998400953,206132.30448239937,238052.54899215463,263696.2385955435,366715.09052354493,0.031081746636655028,0.023245357441112408,0.014309667570858851,0.0,-6.946910697651142e8,-1.306680343496515e9,-1.381569577870534e9,0.0,1.5939609689688876,1.7765565199432665,1.858268552481616,1.8637709966420815,10739.736,11055.063,11064.995,10013.683
