time,co2_emissions
2020,10.090158455349359
2021,10.388624673284022
2022,10.687339509317162
2023,10.986176860827854
2024,11.285095301491056
2025,11.584119248581592
2026,11.56044557280436
2027,11.537369618819818
2028,11.514849675116949
2029,11.492836097698028
2030,10.953870171494916
2031,10.570165258596264
2032,10.189949451987955
2033,9.814003762935506
2034,9.442895779639281
2035,9.074551667703739
2036,8.611838694423053
2037,8.153732501458949
2038,7.700041884302658
2039,7.24937793600709
2040,6.804164178493313
2041,6.220823012676621
2042,5.644769170443283
2043,5.074814383168256
2044,4.510931088249575
2045,3.953418757136564
2046,3.645722608647608
2047,3.3412590603593384
2048,3.0395180114099483
2049,2.7414381535352352
2050,2.4461133924661507
2051,2.2466186107040897
2052,2.048553269126521
2053,1.8520642611849367
2054,1.65687642544472
2055,1.4632572891881994
2056,1.30206993589909
2057,1.142101625009862
2058,0.9831939281060732
2059,0.8253978736253818
2060,0.6689479301663941
2061,0.5990315386349827
2062,0.5298198525051617
2063,0.46123635365662974
2064,0.39334964341962303
2065,0.32610304504122145
2066,0.2595464312740619
2067,0.1936423870415132
2068,0.1284232434174524
2069,0.06387058822026016
2070,0.0
2071,0.0
2072,0.0
2073,0.0
2074,0.0
2075,0.0
2076,0.0
2077,0.0
2078,0.0
2079,0.0
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,0.0
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
