country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.00414,0.000372,38.4,1580.0,172.0,7710.0,7760.0,323000.0,0.0485,1.27,0.425,69100.0,2.85e6,107.0,-1.49e7,-7.82e8,57.089586888273026,137.76068829007772,222.54151727263593,0.0,0.2284711379582882,0.4219069027131579,0.6062828068454582,0.0,40230.919666012305,45736.59993178912,53963.51950163691,87794.79113449572,0.0008356795820686101,0.002976287752752636,0.0055957652092513575,0.0,0.04131940214535011,0.04647182782945289,0.04883218025508779,0.049236809054103076,22.20804643478128,24.489367535339973,28.74343748214698,49.57844567608697,4640.449027110236,5355.691464108523,6219.157763966002,9730.927029515597,0.0005963992351173062,0.0004122110826284662,0.00026403560111025145,0.0006035285358010728,-1.7375125353872478e7,-2.874197358333944e7,-3.0101448967044864e7,0.0,1.0919933939661972,1.2182218950336554,1.2753761810562463,1.285132204476358,110.244,110.937,108.709,105.636
AFG,0.00452,0.0303,6.06,216.0,172.0,7710.0,658000.0,2.29e7,0.0231,1.98,0.425,8850.0,318000.0,67400.0,6.91e9,3.59e11,57.089586888273026,137.76068829007772,222.54151727263593,0.0,0.2284711379582882,0.4219069027131579,0.6062828068454582,0.0,2167.391923993086,3073.2910701811174,4213.485875142133,11934.705358026893,0.0007991592858082555,0.0030224273944387185,0.005953488238586112,0.0,0.019399549645033584,0.02205345338042411,0.023284444140360877,0.02349641092862122,1.3945371487287397,1.9986534626488122,2.7721415106454192,8.21267295161724,99637.42646770453,166394.07296594064,265753.99699857703,938979.6942676044,0.012245968322611009,0.013005376407930074,0.012003910152871675,0.06572688518967972,6.574449607178051e9,1.2595538911432072e10,1.4380100554161749e10,0.0,1.7112344036358524,1.9090437996812517,1.998608792562636,2.0138972027411404,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.00109,0.0141,5.83,224.0,172.0,7710.0,1.59e6,5.48e7,0.0596,1.93,0.425,11800.0,465000.0,106000.0,9.55e9,4.76e11,57.089586888273026,137.76068829007772,222.54151727263593,0.0,0.2284711379582882,0.4219069027131579,0.6062828068454582,0.0,6726.228507367542,6992.826668717649,7567.477764149999,13651.441762957797,0.00034372394855235514,0.001082714813570985,0.0017716992204200785,0.0,0.050474116043329686,0.057005204303493665,0.06001426718799611,0.06053118063369083,2.7823566948967,3.091894935871705,3.454461428578387,6.9021038219864215,310758.9236307176,428111.8564542495,602381.0257564641,2.0575243209820432e6,0.0164274699194331,0.011986724710843655,0.008097159771675263,0.024193516194222966,5.842865213360185e9,1.3461435576737259e10,1.8607291915659626e10,0.0,1.662177477376375,1.854316159383643,1.9413135418652612,1.9561636705265415,44834.707,59782.166,77420.355,142116.013
ALB,0.00418,0.00262,20.3,829.0,172.0,7710.0,57100.0,2.51e6,0.0292,1.94,0.425,29700.0,1.19e6,2070.0,6.24e7,3.54e9,57.089586888273026,137.76068829007772,222.54151727263593,0.0,0.2284711379582882,0.4219069027131579,0.6062828068454582,0.0,15036.674710306419,18055.495120847692,21725.326037677773,38426.91815328582,0.0007198989374516527,0.002857898347959758,0.005737561092139207,0.0,0.02463900296257861,0.027917488525357994,0.02943290521523889,0.029693527007600647,11.451710154980804,13.17708262077881,15.323148107992962,25.630674753619218,42815.56768622723,48859.441730801685,54410.321629710204,65672.07223543228,0.004740351206390929,0.003610974942010902,0.0023685363103034267,0.003927415228718158,1.508708364312e8,1.6851347371112654e8,1.1192128521869905e8,0.0,1.6756098674213844,1.869301260709237,1.9570016865122173,1.9719718220458755,2786.972,2634.385,2424.052,1659.729
ARE,0.00619,0.0849,47.9,1980.0,172.0,7710.0,1.16e6,4.93e7,0.0763,1.79,0.425,94000.0,4.09e6,11200.0,-6.11e9,-3.32e11,57.089586888273026,137.76068829007772,222.54151727263593,0.0,0.2284711379582882,0.4219069027131579,0.6062828068454582,0.0,73565.41491707167,79729.41927220763,85215.5459122906,104743.9689665824,0.001433583591983939,0.00511258031835188,0.009311077991394929,0.0,0.06469881937267087,0.07304541773271213,0.07689006223023581,0.07755047004383189,27.17222150668327,32.92897782797862,38.798374148549804,59.40645746131752,845860.3763847509,931066.6785299005,979447.1538487829,1.309287342000676e6,0.18649147456902268,0.12309775283155162,0.06919144554996552,0.10062539968713574,-9.034363505731056e9,-1.4266172385537088e10,-1.2649697361181343e10,0.0,1.5400449199519033,1.7180657421438916,1.7986707790689533,1.8124297581892428,10661.076,10648.314,10425.284,11600.276
ARG,0.00337,0.105,29.0,1170.0,172.0,7710.0,2.83e6,1.14e8,0.0317,1.48,0.425,48700.0,1.99e6,55200.0,-1.01e9,-5.06e10,57.089586888273026,137.76068829007772,222.54151727263593,0.0,0.2284711379582882,0.4219069027131579,0.6062828068454582,0.0,26153.631138841087,31583.73433339634,37953.93196343438,62043.85949615475,0.0006813984719658547,0.002426812824403588,0.004562688792306187,0.0,0.02696986400046947,0.030387234794083444,0.031956124507500856,0.03222528215253912,14.782696322496818,17.591835937791462,21.29059267538562,37.98380061496611,1.3189823891867516e6,1.7076536265046194e6,2.1610889559103283e6,3.7102883247280093e6,0.1382220826105223,0.10716803382961507,0.07481090745573742,0.1876344665915856,-4.718953213263401e8,-1.5430845122929823e9,-2.18464710582217e9,0.0,1.278064457284751,1.4258017619260304,1.4926948969491722,1.5041133055646263,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.00333,0.00323,25.2,1020.0,172.0,7710.0,92100.0,3.78e6,0.00884,1.87,0.425,37000.0,1.46e6,2600.0,8.52e7,4.79e9,57.089586888273026,137.76068829007772,222.54151727263593,0.0,0.2284711379582882,0.4219069027131579,0.6062828068454582,0.0,16134.92547201745,20034.010376582162,25794.65249236392,49993.05005599763,0.0006529051158613597,0.002431627744624567,0.004658275660444596,0.0,0.007207332260288464,0.008361368097872465,0.008906212827188863,0.009000610536876157,12.885845035541577,15.085314804071922,18.542438875552797,33.03911818366123,48074.52161304226,58602.234148330164,73463.81644058086,118577.8653285334,0.004827278139023306,0.00368502518407466,0.002596391042643911,0.00554293018710999,1.7313676573522973e8,2.267600048315061e8,1.645679728411821e8,0.0,1.6141388028562682,1.800724475192007,1.885207541965454,1.8996284863145592,2967.01,2905.147,2816.114,2350.729
AUS,0.00531,0.155,41.7,1790.0,172.0,7710.0,2.73e6,1.12e8,0.0394,1.85,0.425,71900.0,3.09e6,35200.0,-9.64e9,-5.18e11,57.089586888273026,137.76068829007772,222.54151727263593,0.0,0.2284711379582882,0.4219069027131579,0.6062828068454582,0.0,53805.49885207655,57779.84094920316,62025.59348315602,82605.08882900012,0.0012051700746218564,0.0043767740434327105,0.008043608483069398,0.0,0.033355870254847056,0.03768053836666546,0.039672843261283036,0.040015072676224436,31.240291725350843,33.511645972977036,36.07399710751747,47.893413021718175,1.5814689209271397e6,1.8633188351082364e6,2.154825999027913e6,3.3418979141710405e6,0.29312055937436426,0.2108970461862149,0.13150266716566877,0.21578577315580136,-1.2472631411111422e10,-2.1324697279946976e10,-2.061447893217457e10,0.0,1.5949520017103476,1.779319784118994,1.86279862510993,1.877048151864047,28177.48,30572.49,32814.106,38899.744
AUT,9.56e-5,0.00686,59.4,2510.0,172.0,7710.0,823000.0,3.5e7,0.00672,1.84,0.425,92000.0,3.89e6,8940.0,9.05e8,4.44e10,57.089586888273026,137.76068829007772,222.54151727263593,0.0,0.2284711379582882,0.4219069027131579,0.6062828068454582,0.0,62195.187103117605,69352.93224654514,77052.37088213583,108339.86343815115,0.00037438926963633874,0.0003312808631324672,0.0,0.0,0.005399655343718071,0.006331203225075752,0.006774279646937947,0.006851240704098105,39.98908554140587,44.527608377281155,49.47018926500527,70.03543307653106,574483.6679603256,641540.2979934413,705884.6144974346,952222.2735845525,0.03307793271956795,0.005496034970975462,0.0,0.0,-5.006944482717685e8,1.5715721609952407e9,2.4069983001656137e9,0.0,1.5899016433709063,1.7736856318055565,1.8569001400389467,1.8711045461773972,9175.689,9211.788,9130.698,8729.407
AZE,0.00476,0.0172,22.8,937.0,172.0,7710.0,322000.0,1.34e7,0.0236,1.85,0.425,30600.0,1.25e6,10400.0,-6.05e6,-8.91e8,57.089586888273026,137.76068829007772,222.54151727263593,0.0,0.2284711379582882,0.4219069027131579,0.6062828068454582,0.0,18795.173927983276,20986.656870676336,23147.467291468853,35806.990031195935,0.0009341139401174115,0.0034789394634064876,0.0066646134723424705,0.0,0.019899829869671794,0.022566426895086148,0.023799946754932026,0.024012143214504313,14.271019965268401,15.796979490438071,17.314427788343618,26.557082551076896,206132.30448239937,238234.72060831098,264037.640204007,367169.63776225277,0.029613053535489233,0.02143290924279116,0.01335095218048495,0.024555700269534676,-6.63428914829058e7,-1.5792874788595894e8,-5.4231171361429125e7,0.0,1.5939829794928273,1.7782387482000221,1.861666871143314,1.8759077405158928,10739.736,11055.063,11064.995,10013.683
BDI,0.000899,0.00203,5.37,188.0,172.0,7710.0,341000.0,1.11e7,0.0541,1.92,0.425,7930.0,276000.0,32100.0,3.26e9,1.65e11,57.089586888273026,137.76068829007772,222.54151727263593,0.0,0.2284711379582882,0.4219069027131579,0.6062828068454582,0.0,1109.4250086899901,1863.0011637470532,3158.3715987417254,11902.086258684029,0.00028274163761923284,0.0008906233061530015,0.0014573704889055484,0.0,0.04581084902836272,0.051739180209020845,0.054470323881278974,0.054939479161077026,0.8399620552661762,1.3492537763881896,2.1862670730979445,8.007805950137028,15851.309956628513,34444.285945224074,77616.69331418844,520158.469860251,0.0006892744927034773,0.0007933054512170251,0.0008582158650771141,0.005031177803471028,2.346097341665698e9,5.010591606856711e9,6.48502650720082e9,0.0,1.6583160457708717,1.8500083672724534,1.9368036447160217,1.9516192748012242,15772.827,20252.945,25324.77,41427.148
BEL,0.000202,0.0173,60.5,2540.0,172.0,7710.0,1.11e6,4.66e7,0.00967,1.29,0.425,90000.0,3.78e6,12200.0,8.56e8,3.61e10,57.089586888273026,137.76068829007772,222.54151727263593,0.0,0.2284711379582882,0.4219069027131579,0.6062828068454582,0.0,57843.29751624261,65881.39990358846,74722.30567738562,107997.27079978256,0.0008116490327963489,0.0006944389625446421,0.0,0.0,0.008132692881545313,0.009230989041607279,0.009739280409734829,0.009826731184593977,38.86627219222017,44.110616626255506,49.98227630098454,72.69152804100477,697917.51908917,805404.6443708091,918804.6309418917,1.3425445422389444e6,0.08711835283388898,0.014463633421168262,0.0,0.0,-3.1732535984636197e9,1.0716556518308493e9,3.221590530068635e9,0.0,1.1129717291499632,1.2416252117418238,1.2998774913749946,1.3098209382085617,11903.751,12121.106,12220.769,12310.312
BEN,0.00209,0.0116,9.65,343.0,172.0,7710.0,797000.0,2.64e7,0.0922,2.05,0.425,19300.0,686000.0,30400.0,2.56e9,1.3e11,57.089586888273026,137.76068829007772,222.54151727263593,0.0,0.2284711379582882,0.4219069027131579,0.6062828068454582,0.0,3906.425353026002,5720.293332972198,8605.735384344573,27898.7353999871,0.0006565449739126736,0.0020680868238151075,0.0033841116493360346,0.0,0.07790623702267957,0.08814186434884347,0.09287088982281573,0.09368411579059374,2.0127238258476097,2.919602597364568,4.256740021386528,13.78359979570728,63876.27324247813,118848.26343741563,223513.88205872045,1.1807636609413554e6,0.006449726977463549,0.006356101223709617,0.005738793735372678,0.02651988777502037,2.002033518553207e9,4.123436382897016e9,5.123604779875284e9,0.0,1.7707446164913792,1.9754330696890154,2.068112791785433,2.083932874621998,15672.31,19775.009,24280.484,38697.8249999999
BFA,0.00158,0.0116,8.3,294.0,172.0,7710.0,1.06e6,3.52e7,0.116,2.4,0.425,14100.0,505000.0,54100.0,5.07e9,2.57e11,57.089586888273026,137.76068829007772,222.54151727263593,0.0,0.2284711379582882,0.4219069027131579,0.6062828068454582,0.0,2754.667626117501,4218.7377002880185,6509.025923329144,20716.757297068856,0.0004973702619193007,0.001566693716506295,0.002563657577581723,0.0,0.09752727440412338,0.1106693403019836,0.11676723076513129,0.11781751575576743,1.5923748983863086,2.4135685840074883,3.6126209173692256,12.07490864076472,78718.95433588479,155602.74478540974,305182.67461175326,1.6042551969139634e6,0.006021385209145454,0.00630420826564415,0.005935964879935654,0.027295904614508086,3.8007678649191985e9,7.992306253924154e9,1.0128418378717583e10,0.0,2.0718557639339465,2.311351029156633,2.419790729967771,2.4383009823811284,27404.036,35051.003,43432.1740000001,69275.6750000001
BGD,0.00436,0.222,17.5,636.0,172.0,7710.0,5.05e6,1.88e8,0.0769,1.93,0.425,26800.0,983000.0,180000.0,1.04e10,5.86e11,57.089586888273026,137.76068829007772,222.54151727263593,0.0,0.2284711379582882,0.4219069027131579,0.6062828068454582,0.0,6448.662262622081,9518.42272179815,13979.131378475087,39167.756467222884,0.0007709016167647846,0.002915556643467477,0.005742977388887335,0.0,0.06509962289537896,0.07355367443001538,0.07745181159429261,0.07812165920923979,3.982109228044941,5.858161851258621,8.699566848419124,25.786440880091536,1.2102384452959604e6,1.9009479676805625e6,2.8925617543107765e6,7.440452510102766e6,0.14348522443669962,0.14332465657866775,0.1260350032858351,0.5024025167779211,1.887912786024276e10,2.788662605497728e10,2.2715931327812428e10,0.0,1.663473911972834,1.8557624547729854,1.9428276918718064,1.9576894030631236,178993.87,188416.728,192567.779,176198.774
BGR,0.000212,0.00439,25.3,1080.0,172.0,7710.0,284000.0,1.22e7,0.0181,1.93,0.425,60800.0,2.47e6,4920.0,4.84e8,2.35e10,57.089586888273026,137.76068829007772,222.54151727263593,0.0,0.2284711379582882,0.4219069027131579,0.6062828068454582,0.0,29599.411758255275,38219.057992112044,47871.3148537027,78585.96304469994,0.0008626124377069121,0.0007239671665702078,0.0,0.0,0.015098486780590547,0.017214955264582842,0.0181995079819628,0.018369212300529746,16.685176978495196,19.90410004550777,23.09703021650939,29.93674014455874,193468.8373474654,227587.5361705968,261054.74231767617,329887.7854633726,0.025666344402443125,0.004260852905566324,0.0,0.0,-4.948261146522255e8,8.977711322209005e8,1.4196893330211012e9,0.0,1.6686967550706062,1.8615890301453162,1.9489276277515455,1.9638360005617546,6416.748,5873.293,5385.444,4122.076
BHR,0.00394,0.00848,43.4,1760.0,172.0,7710.0,201000.0,8.36e6,0.0768,1.87,0.425,80300.0,3.37e6,2290.0,-5.03e8,-2.68e10,57.089586888273026,137.76068829007772,222.54151727263593,0.0,0.2284711379582882,0.4219069027131579,0.6062828068454582,0.0,50257.168834819124,58995.514405489375,67769.5666183211,97241.62597963985,0.000913069037303894,0.0032562724737635568,0.005930353183032029,0.0,0.06504839844258917,0.07347379319670662,0.07735715396918073,0.07802436436958661,21.296601381309603,26.812056018761933,33.015233966339274,56.546088833535,108471.78917121193,140924.5428205598,171305.37609776744,251296.95807712013,0.015232026949953369,0.011866880512902779,0.007707667693609986,0.012301001598937678,-5.650850554813342e8,-1.0787111823297534e9,-1.1047289623776436e9,0.0,1.6147782431038944,1.8014378312567307,1.8859543659531606,1.9003810231518727,2013.419,2199.706,2316.047,2397.212
BHS,0.00341,0.00102,30.1,1260.0,172.0,7710.0,25100.0,1.07e6,0.0425,1.13,0.425,52000.0,2.23e6,458.0,-2.23e7,-1.22e9,57.089586888273026,137.76068829007772,222.54151727263593,0.0,0.2284711379582882,0.4219069027131579,0.6062828068454582,0.0,38033.41674850983,40786.18662451654,44330.857728981784,60488.70898316821,0.0006881199596049848,0.002450751522643769,0.004607696313720501,0.0,0.03629967083597446,0.04078769855874928,0.0428409221183747,0.043192726981333134,20.030376224871798,21.613453701483692,24.09108017292324,36.60175869457628,16872.653854859214,19225.213873349876,21566.68560439821,29577.76285089873,0.0017856026924723282,0.0012184274029285475,0.0007539432997214331,0.0015105436501514841,-3.738951241085417e7,-5.397659060406647e7,-4.564273722279334e7,0.0,0.9717593364239177,1.084089433943625,1.1349507407665256,1.1436325761120951,426.81,450.46,463.329,468.734
BIH,0.0119,0.00877,19.5,815.0,172.0,7710.0,67600.0,2.95e6,0.0116,2.02,0.425,29300.0,1.2e6,2400.0,-4.67e8,-2.43e10,57.089586888273026,137.76068829007772,222.54151727263593,0.0,0.2284711379582882,0.4219069027131579,0.6062828068454582,0.0,15678.889853551731,18274.166982462026,22399.518440389755,38374.346422264454,0.002040766349926058,0.0081015577001282,0.01626481301518667,0.0,0.009557290471302854,0.011041211506344056,0.011739625284292232,0.011860500877142022,12.217836112371389,13.434555897052364,15.731182719181223,24.51708991897964,50020.315192238784,55322.013870708935,62904.35450790241,77753.13228540572,0.01569918071079711,0.011590327496029153,0.007762492902691464,0.013181527653348358,-4.233932674528772e8,-8.577469849549544e8,-1.0196581710144418e9,0.0,1.740760467151145,1.9419829156568904,2.033093285175714,2.048645485381476,3126.642,2923.078,2685.037,2002.425
