country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.00665,0.000223,38.6,1580.0,297.0,11200.0,7760.0,323000.0,0.0474,1.24,0.689,69100.0,2.86e6,107.0,0.0,0.0,45.41574912576244,117.73302301665528,209.09134315117697,480.9448597174765,0.19803289366854998,0.382450075086221,0.5831138843169787,1.0000000000000002,40399.03701674103,46056.14553938986,54352.065394085,86864.69784273815,0.0005762293322919119,0.002305717142590206,0.005056646817768321,0.011472697233419557,0.04131879158514314,0.04642538547354189,0.048738779368899095,0.04889833021654943,22.199709316596223,24.55698123063038,28.954109063928378,49.47436896676425,4640.449027110236,5358.88934416803,6228.027550361969,9736.435392631794,0.0006199282908737869,0.00044060882665953433,0.00027997192979208464,-1.340861141648778e-19,-0.0,-0.0,-0.0,0.0,1.0919783151685885,1.2170931307178856,1.2731224578743012,1.2769719583573764,110.244,110.937,108.709,105.636
AFG,0.00735,0.00758,5.89,208.0,297.0,11200.0,652000.0,2.26e7,0.0225,1.94,0.689,8620.0,308000.0,67400.0,0.0,0.0,45.41574912576244,117.73302301665528,209.09134315117697,480.9448597174765,0.19803289366854998,0.382450075086221,0.5831138843169787,1.0000000000000002,2031.1955855458903,2802.566016445191,3900.343913915469,11697.895655982004,0.0005510473530013383,0.002341461321791353,0.0053799053803215615,0.012948181852723051,0.019399237911862547,0.022029327095687518,0.02323555454400703,0.023319078398055165,1.2665744349529908,1.7634427558039296,2.51505852760488,8.087988917795501,99637.42646770453,163395.91493526052,259544.17655704255,932259.9692720403,0.01272909448121203,0.01364270718355296,0.012413300559013307,-1.448985743806521e-17,-0.0,-0.0,-0.0,0.0,1.7112107740448892,1.90727494252386,1.9950770416687882,2.0011094936047154,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.00146,0.00651,5.7,217.0,297.0,11200.0,1.58e6,5.45e7,0.0582,1.89,0.689,11600.0,457000.0,106000.0,0.0,0.0,45.41574912576244,117.73302301665528,209.09134315117697,480.9448597174765,0.19803289366854998,0.382450075086221,0.5831138843169787,1.0000000000000002,6596.617332172971,6737.240064752716,7261.9844280068455,13559.55381888897,0.00023700928635444617,0.0008387744443991136,0.0016010066344757138,0.002175083598778069,0.050473345162112805,0.056946105716756984,0.05989499230193699,0.0600987522349287,2.6287957298054647,2.825286491248558,3.1620589679025826,6.868137211079374,310758.9236307176,426060.17331401276,596855.4687349244,2.0472948463418265e6,0.017075564069983486,0.012743493592148243,0.008495005287605195,-5.345331363677009e-18,-0.0,-0.0,-0.0,0.0,1.6621545251882848,1.8525980110566425,1.9378830376754292,1.9437425538936337,44834.707,59782.166,77420.355,142116.013
ALB,0.00636,0.00186,20.3,827.0,297.0,11200.0,57000.0,2.5e6,0.0285,1.9,0.689,29500.0,1.19e6,2070.0,0.0,0.0,45.41574912576244,117.73302301665528,209.09134315117697,480.9448597174765,0.19803289366854998,0.382450075086221,0.5831138843169787,1.0000000000000002,14985.89711002334,17997.277314842053,21680.48111379359,37989.20925065578,0.0004963946624357815,0.00221400138698844,0.005184781518415173,0.011062366402386727,0.02463861690510201,0.027887755409904746,0.029372780280332134,0.029475495788617783,11.374748313792143,13.081744750866168,15.262495568843189,25.478135349431263,42815.56768622723,48842.10137314248,54380.238377895424,65636.36867784332,0.0049273668517388555,0.0038560672951258347,0.0025065300281063305,-8.715872542545954e-19,-0.0,-0.0,-0.0,0.0,1.6755867297520524,1.8675692276805138,1.9535434597290062,1.9594503278746611,2786.972,2634.385,2424.052,1659.729
ARE,0.00877,0.0637,48.5,2010.0,297.0,11200.0,1.16e6,4.94e7,0.0746,1.75,0.689,94700.0,4.13e6,11200.0,0.0,0.0,45.41574912576244,117.73302301665528,209.09134315117697,480.9448597174765,0.19803289366854998,0.382450075086221,0.5831138843169787,1.0000000000000002,74446.06669818122,81368.0175415284,86884.17783079509,103528.1906606966,0.0009885043666481785,0.003960693676876798,0.008414011513088288,0.014216562172080756,0.06469783402341805,0.07296990321645185,0.07673767499446896,0.0769980010707086,27.51573306343042,33.7120244167231,39.81828782609652,59.22837090312553,845860.3763847509,933352.3970795188,983576.4421820098,1.3120800322519022e6,0.19384890906066782,0.13182241916781848,0.07357200042728788,-2.2390985100378424e-17,-0.0,-0.0,-0.0,0.0,1.540023654231996,1.7164738389694498,1.7954923395687603,1.8009213134948572,10661.076,10648.314,10425.284,11600.276
ARG,0.00542,0.0573,29.0,1170.0,297.0,11200.0,2.83e6,1.14e8,0.031,1.45,0.689,48600.0,1.99e6,55200.0,0.0,0.0,45.41574912576244,117.73302301665528,209.09134315117697,480.9448597174765,0.19803289366854998,0.382450075086221,0.5831138843169787,1.0000000000000002,26168.79957400343,31637.444986260994,38028.58513176031,61475.02940833821,0.0004698472895002205,0.0018800413118355366,0.004123101112951984,0.00935463607334749,0.02696945965800472,0.030356386177053427,0.0318940031137998,0.032000123116828726,14.710781456902746,17.517204846789088,21.28345644258596,37.848561585443235,1.3189823891867516e6,1.7079737667638098e6,2.1619854932482294e6,3.710177137403268e6,0.14367520008120482,0.11450408052148088,0.07924613780772648,-4.166197247038877e-17,-0.0,-0.0,-0.0,0.0,1.278046809123701,1.4244806609371343,1.490057148853517,1.4945625879641415,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.00506,0.00198,25.2,1020.0,297.0,11200.0,92000.0,3.78e6,0.00858,1.83,0.689,36800.0,1.46e6,2600.0,0.0,0.0,45.41574912576244,117.73302301665528,209.09134315117697,480.9448597174765,0.19803289366854998,0.382450075086221,0.5831138843169787,1.0000000000000002,16079.834583998278,19955.651102053016,25727.016257372394,49538.98924186913,0.000450200156896829,0.001883771409533062,0.004209478760068666,0.00864684592199707,0.007207198443046226,0.008350748114747552,0.008884464055628576,0.008921625457531708,12.794539470618481,14.961395351758764,18.456997251949602,32.88933463174368,48074.52161304226,58568.55681070644,73402.87981656665,118516.48010187183,0.005017723213056272,0.00393427849619748,0.0027468994720822597,-1.2301405961899457e-18,-0.0,-0.0,-0.0,0.0,1.6141165140105156,1.7990559831558548,1.8818761829490216,1.8875663529955429,2967.01,2905.147,2816.114,2350.729
AUS,0.00741,0.109,42.1,1810.0,297.0,11200.0,2.73e6,1.13e8,0.0385,1.81,0.689,72200.0,3.11e6,35200.0,0.0,0.0,45.41574912576244,117.73302301665528,209.09134315117697,480.9448597174765,0.19803289366854998,0.382450075086221,0.5831138843169787,1.0000000000000002,54268.493266910926,58642.67306182284,62907.707646554365,81746.83806920593,0.000831005522090799,0.003390667764517519,0.007268655084391713,0.011944048776246068,0.033355359788515816,0.03764140739722158,0.03959387483243227,0.039728778148066864,31.500662386153742,34.04678224830623,36.720487262714194,47.76058999634442,1.5814689209271397e6,1.8666672770206495e6,2.1617049339530994e6,3.346233425100909e6,0.3046847089888984,0.22569634545281153,0.13968565842710196,-4.797622662486257e-17,-0.0,-0.0,-0.0,0.0,1.5949299778056585,1.7776711249651531,1.8595068649947077,1.8651293976354646,28177.48,30572.49,32814.106,38899.744
AUT,7.25e-5,0.00702,59.3,2500.0,297.0,11200.0,822000.0,3.5e7,0.00651,1.81,0.689,91900.0,3.88e6,8940.0,0.0,0.0,45.41574912576244,117.73302301665528,209.09134315117697,480.9448597174765,0.19803289366854998,0.382450075086221,0.5831138843169787,1.0000000000000002,62256.999582382494,69183.68652656265,76749.34640119063,108285.60787013354,0.0002581540622612604,0.0002566418399666389,0.0,0.0,0.005399547920100086,0.006322586576997111,0.0067565561727247645,0.006786841498535643,40.0096522295915,44.37957980610229,49.2265304529486,70.00077267316928,574483.6679603256,641499.5078599283,705509.9300391644,951684.5351901093,0.03438291850331857,0.005870784825020372,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.589879689204122,1.7720421930718269,1.85361880316413,1.85922353225683,9175.689,9211.788,9130.698,8729.407
AZE,0.00724,0.0111,22.7,935.0,297.0,11200.0,322000.0,1.34e7,0.0231,1.81,0.689,30500.0,1.25e6,10400.0,0.0,0.0,45.41574912576244,117.73302301665528,209.09134315117697,480.9448597174765,0.19803289366854998,0.382450075086221,0.5831138843169787,1.0000000000000002,18806.814737604946,21023.189163351202,23177.560207050836,35357.33736774619,0.000644103150954131,0.0026951192307905136,0.006022517966061186,0.012371076772968625,0.01989951604002376,0.02254223035839614,0.0237509957060462,0.023834622619882766,14.271879306823593,15.814989069295532,17.33685973981195,26.28369408458263,206132.30448239937,238294.011620756,264141.5556363081,367036.62538389605,0.030781343410339806,0.022901476695437274,0.014142174116674872,-5.4504855342147076e-18,-0.0,-0.0,-0.0,0.0,1.5939609689688876,1.7765910906984865,1.8583771109557905,1.8639962275946604,10739.736,11055.063,11064.995,10013.683
BDI,0.0012,0.000508,5.2,179.0,297.0,11200.0,338000.0,1.1e7,0.0528,1.88,0.689,7740.0,266000.0,32100.0,0.0,0.0,45.41574912576244,117.73302301665528,209.09134315117697,480.9448597174765,0.19803289366854998,0.382450075086221,0.5831138843169787,1.0000000000000002,960.767022509292,1557.159897043215,2777.438319367955,11792.025106481113,0.00019495992070687692,0.0006899619913054866,0.0013169615896053,0.0017891878097739604,0.04581014926110647,0.051685538529424695,0.05436206824649161,0.0545470035951451,0.6641982300476278,1.036627626118203,1.8344282901858626,7.9415557108952,15851.309956628513,33189.984219088845,74259.50196828303,516080.08856122335,0.0007164676495946832,0.0008165909981055481,0.0008694137116445562,-1.108386736073415e-18,-0.0,-0.0,-0.0,0.0,1.6582931469033841,1.8482942104038518,1.93338110998642,1.9392270138669374,15772.827,20252.945,25324.77,41427.148
BEL,0.000153,0.0177,60.5,2540.0,297.0,11200.0,1.11e6,4.66e7,0.00943,1.26,0.689,89900.0,3.78e6,12200.0,0.0,0.0,45.41574912576244,117.73302301665528,209.09134315117697,480.9448597174765,0.19803289366854998,0.382450075086221,0.5831138843169787,1.0000000000000002,58124.53588169395,65828.48357856131,74446.12428350995,107949.66911110927,0.0005596594559195751,0.0005379788358638641,0.0,0.0,0.008132563674834056,0.009221019769548653,0.009719107073854897,0.009753570869501276,39.04303593748646,44.045276967753345,49.75509197906824,72.65982371262629,697917.51908917,805705.0605654363,918631.2234293341,1.3418555699057365e6,0.09055533340083782,0.015456588947240887,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.1129563606728816,1.2404747626830046,1.297580471813618,1.301503925227059,11903.751,12121.106,12220.769,12310.312
BEN,0.00278,0.00372,9.54,336.0,297.0,11200.0,795000.0,2.63e7,0.09,2.01,0.689,19200.0,679000.0,30400.0,0.0,0.0,45.41574912576244,117.73302301665528,209.09134315117697,480.9448597174765,0.19803289366854998,0.382450075086221,0.5831138843169787,1.0000000000000002,3779.4569560918308,5466.837368139646,8303.662097950037,27725.28211123303,0.00045270996211350554,0.001602137843568829,0.003058072803751029,0.00415461363874131,0.07790503116521118,0.08804906930513726,0.09268327791296628,0.09300378753312233,1.8190990786631083,2.597020239640069,3.9189488366248,13.750905462542903,63876.27324247813,117814.21220565791,220979.22365649077,1.1775850444928743e6,0.006704180666756039,0.006730850394185447,0.006007594463644957,-5.872745894477254e-18,-0.0,-0.0,-0.0,0.0,1.7707201651532698,1.9736026984189317,2.0644582200512613,2.0707004576822317,15672.31,19775.009,24280.484,38697.8249999999
BFA,0.00211,0.00371,8.18,287.0,297.0,11200.0,1.05e6,3.51e7,0.113,2.35,0.689,14000.0,497000.0,54100.0,0.0,0.0,45.41574912576244,117.73302301665528,209.09134315117697,480.9448597174765,0.19803289366854998,0.382450075086221,0.5831138843169787,1.0000000000000002,2616.3817309597275,3934.904241887964,6168.366862958138,20588.14013008613,0.0003429536153296634,0.0012137107898912058,0.0023166645573502566,0.003147356777951837,0.0975257306729369,0.11054984967949187,0.11652499844456332,0.11693883538243398,1.4075298610700424,2.0964820051631095,3.2726943369580592,12.030142878329833,78718.95433588479,153355.76392974195,299817.8579222362,1.5980718749983937e6,0.0062589400213835435,0.006637242597069481,0.00617478720913418,-6.037547641807687e-18,-0.0,-0.0,-0.0,0.0,2.071827154700675,2.3092094073605005,2.415514706513211,2.422818422642077,27404.036,35051.003,43432.1740000001,69275.6750000001
BGD,0.00709,0.0814,17.4,632.0,297.0,11200.0,5.04e6,1.88e8,0.0751,1.89,0.689,26700.0,976000.0,180000.0,0.0,0.0,45.41574912576244,117.73302301665528,209.09134315117697,480.9448597174765,0.19803289366854998,0.382450075086221,0.5831138843169787,1.0000000000000002,6344.713946488156,9345.927453755077,13813.69575510952,38654.66464395451,0.000531562734596831,0.002258669017072838,0.005189675987480857,0.012490343917274589,0.06509862556915437,0.07347713431945599,0.07729725657845525,0.07756128828211446,3.8516174235820397,5.655690002198445,8.528298801271166,25.611030550655276,1.2102384452959604e6,1.894596358931784e6,2.880638615279535e6,7.431995224906771e6,0.14914598261211579,0.15259547944467666,0.13290164807040833,-1.1142896706509303e-16,-0.0,-0.0,-0.0,0.0,1.6634509418829186,1.8540429663562752,1.9393945120204548,1.945258598436275,178993.87,188416.728,192567.779,176198.774
BGR,0.00016,0.00451,25.1,1080.0,297.0,11200.0,284000.0,1.22e7,0.0176,1.9,0.689,60700.0,2.47e6,4920.0,0.0,0.0,45.41574912576244,117.73302301665528,209.09134315117697,480.9448597174765,0.19803289366854998,0.382450075086221,0.5831138843169787,1.0000000000000002,29684.488385061486,38073.14492793548,47562.63836080037,78530.47022426703,0.0005948004470518978,0.0005608542067511985,0.0,0.0,0.01509823869507072,0.017195676323726566,0.018160373183221935,0.01822723337474733,16.661863648130655,19.68799835196019,22.769539153781864,29.918533561096243,193468.8373474654,227587.58566252902,260797.6309786835,329608.8781686273,0.02667892928342698,0.00455167165368237,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.6686737128610292,1.859864143015621,1.9454836686751271,1.9513661666831226,6416.748,5873.293,5385.444,4122.076
