time,gross_output
2020,2.0056858000000004e7
2021,2.099758926276408e7
2022,2.1953172925843537e7
2023,2.292469694448375e7
2024,2.3913382248187676e7
2025,2.492057177387779e7
2026,2.5864672716012202e7
2027,2.682097992023699e7
2028,2.7790614566070672e7
2029,2.8774664014748394e7
2030,2.9774214378443398e7
2031,3.0702481569895383e7
2032,3.1640106650418166e7
2033,3.2588060218841154e7
2034,3.3547294362906866e7
2035,3.451875518068647e7
2036,3.541200409138948e7
2037,3.631216394640146e7
2038,3.7220240056918226e7
2039,3.813724580375137e7
2040,3.906416300466582e7
2041,3.990783004337752e7
2042,4.075656360733397e7
2043,4.161135403542244e7
2044,4.247314230524511e7
2045,4.334286404899924e7
2046,4.41233768513783e7
2047,4.4906872773238085e7
2048,4.569423642365628e7
2049,4.648636614538808e7
2050,4.728426084023849e7
2051,4.79919625596615e7
2052,4.870145619950724e7
2053,4.941354629283388e7
2054,5.0129026575928956e7
2055,5.084862937634205e7
2056,5.148378188498095e7
2057,5.211950100772055e7
2058,5.275655148718469e7
2059,5.3395704724533394e7
2060,5.403767874382108e7
2061,5.46070892398213e7
2062,5.517659261632348e7
2063,5.5746906898740955e7
2064,5.631868405705602e7
2065,5.689253752039986e7
2066,5.740408407123099e7
2067,5.791576575158451e7
2068,5.8428121547809504e7
2069,5.894174583307907e7
2070,5.945728039525894e7
2071,5.991415569776425e7
2072,6.037094859206472e7
2073,6.0828222105187766e7
2074,6.128646458136236e7
2075,6.17461567697977e7
2076,6.214933098601904e7
2077,6.255236994065661e7
2078,6.295571024740385e7
2079,6.335972223858206e7
2080,6.3764758556471005e7
2081,6.4121933193954386e7
2082,6.447893681655219e7
2083,6.483622497741921e7
2084,6.519423984664879e7
2085,6.555337833156826e7
2086,6.587802357613131e7
2087,6.620311387924328e7
2088,6.652894578124184e7
2089,6.685578221698027e7
2090,6.718384642597234e7
2091,6.748400713665351e7
2092,6.778465033868721e7
2093,6.808602466089474e7
2094,6.838846099974811e7
2095,6.869236923309529e7
2096,6.895784929465713e7
2097,6.922386717902449e7
2098,6.94906631980887e7
2099,6.975842882818413e7
2100,7.002731636872791e7
