time,temp,e_gtco2_club,total_tax_revenue
2020,1.1730635369796556,35.91529312414241,0.0
2021,1.2119102787255247,36.661854023122295,0.0
2022,1.2632866578706956,37.11433935699451,0.0
2023,1.315423890428984,37.36863953215092,0.0
2024,1.359139122874682,37.76795406629869,0.0
2025,1.394657378669077,38.17074193578465,0.0
2026,1.4239407981424814,38.20791466933767,0.0
2027,1.4493359541093394,38.24842783104569,0.0
2028,1.4732899732236007,38.29305975914251,0.0
2029,1.4964528572671343,38.34254831948523,0.0
2030,1.5182372263530057,31.094153764073255,1.3306964190997338e9
2031,1.5384237402982848,30.073098791766395,1.427920308868782e9
2032,1.557375243797508,29.065020061800567,1.5085074580389943e9
2033,1.5773068005552924,28.0827990166541,1.5706799537091038e9
2034,1.5998830024639206,27.13723604648228,1.6144600892509964e9
2035,1.621884088255356,26.198150539537306,1.6437924195998654e9
2036,1.6417482121760707,25.232011309516786,1.6523083942451243e9
2037,1.6587033021238637,24.295438433813157,1.6521749201626003e9
2038,1.6726072932569869,23.386657512113583,1.6455615849462907e9
2039,1.6840920341225816,22.481283001863677,1.6341009866441145e9
2040,1.692174787858916,21.62443129852796,1.6202068402957194e9
2041,1.698302810093997,20.57486218364379,1.611940329457717e9
2042,1.7038815822850968,19.570331755838154,1.6074045665410116e9
2043,1.7100990633442867,18.587728377204524,1.608816275639184e9
2044,1.717421691746633,17.626192982404305,1.6191054241417408e9
2045,1.7274903874593743,16.694256790128097,1.6419947410052812e9
2046,1.7395497086669953,15.932566015915315,1.6263184913103354e9
2047,1.7518356691032535,15.185912008173203,1.6129529278429203e9
2048,1.7626087736026637,14.435992178816011,1.6011198151707423e9
2049,1.7688630723461363,13.717339066012922,1.5966892259117274e9
2050,1.770093211518384,12.994649959427068,1.5964101563459728e9
2051,1.7691526027905773,12.521682691708145,1.612768076120832e9
2052,1.7682260305582918,12.049850903055914,1.6327363142007158e9
2053,1.7673072957994087,11.587199405929804,1.65806991509857e9
2054,1.7676257791049192,11.11764984355091,1.6866931209301612e9
2055,1.770782282298917,10.657077413510638,1.7216582624242308e9
2056,1.7768110601576426,10.218112165267701,1.7448106323741677e9
2057,1.7826412891146017,9.786449983476825,1.7729953929288836e9
2058,1.786889934007666,9.347090354460073,1.8040414715117977e9
2059,1.7907433773757164,8.900491926664309,1.8383778345373104e9
2060,1.792403850622411,8.475846535381704,1.8815446601866512e9
2061,1.7912869973100902,7.948004071290321,1.8380663702008765e9
2062,1.789095532263867,7.428139407357835,1.7922169008659806e9
2063,1.7870110121042801,6.902182391275761,1.741417828710353e9
2064,1.7856556460121569,6.383984372422489,1.6888404693828065e9
2065,1.7853036847142163,5.859837614310384,1.631589674027083e9
2066,1.787647338141107,5.335943880712275,1.5706010451720212e9
2067,1.792646982765018,4.807269302466666,1.5054756792246413e9
2068,1.7978081364027452,4.286959422486224,1.4400801175221672e9
2069,1.8007790970446582,3.7621531291829275,1.3710575535400603e9
2070,1.8005343937530665,3.233160544308153,1.298568621741267e9
2071,1.7974672539030565,2.877489661804392,1.179995565219629e9
2072,1.7932778680916326,2.512750714358131,1.0524106702870269e9
2073,1.7893832278901316,2.1513594783935033,9.198742519724718e8
2074,1.7852418065539626,1.7932626065164547,7.824509107339371e8
2075,1.7810201814779785,1.438399502956918,6.402001537769972e8
2076,1.7771152718261136,1.0618130351010473,4.8254425196740574e8
2077,1.7740681882185034,0.7012331683443113,3.250325302958434e8
2078,1.7730798650735933,0.33310273542875685,1.575211607461144e8
2079,1.774004372106968,0.0,0.0
2080,1.775556630515041,-6.266179780594281e-15,-3.013686955542404e-6
2081,1.7762482010568355,0.0,0.0
2082,1.7756744584338178,0.0,0.0
2083,1.7734479331722064,-6.192317883662829e-15,-2.969237897028795e-6
2084,1.770110545289529,0.0,0.0
2085,1.7656806602560997,0.0,0.0
2086,1.7602733246227056,0.0,0.0
2087,1.755940584467787,0.0,0.0
2088,1.7530510288566084,0.0,0.0
2089,1.752184732358601,0.0,0.0
2090,1.754356652787441,0.0,0.0
2091,1.7584321786119255,0.0,0.0
2092,1.7637007937989513,0.0,0.0
2093,1.7674854959568533,2.9408924058053236e-15,1.3961297136837593e-6
2094,1.767127462639161,0.0,0.0
2095,1.7645302557053373,0.0,0.0
2096,1.7609482500816482,0.0,0.0
2097,1.7575650959141464,0.0,0.0
2098,1.755191475092892,0.0,0.0
2099,1.754452157447474,-5.647519647195705e-15,-2.665000618566601e-6
2100,1.756656617954473,-5.6073861619603135e-15,-2.6434160189223586e-6
2101,1.762984835518711,25.05888018362241,0.0
2102,1.7722833993619687,24.86016386483346,0.0
2103,1.782224995553185,24.648088586462553,0.0
2104,1.7916932692889669,24.42356496477609,0.0
2105,1.799400217576092,24.187538279200574,0.0
2106,1.806222728839444,23.940982739796798,0.0
2107,1.8134121827135858,23.684833282628997,0.0
2108,1.8214853639014983,23.419973788836508,0.0
2109,1.831134344996625,23.147256302484784,0.0
2110,1.843156609423205,22.867494346060038,0.0
2111,1.859181709780916,22.58145918816071,0.0
2112,1.875707309794245,22.289858622656794,0.0
2113,1.889572095259425,21.99346741972934,0.0
2114,1.900354694518875,21.693104257237867,0.0
2115,1.908971200895939,21.389553312907196,0.0
2116,1.9167103152015739,21.083530886567583,0.0
2117,1.9234860342240334,20.7756802159095,0.0
