time,co2_emissions
2020,10.090158455349359
2021,10.388624673284022
2022,10.687339509317162
2023,10.986176860827854
2024,11.285095301491056
2025,11.584119248581592
2026,11.56044557280436
2027,11.537369618819818
2028,11.514849675116949
2029,11.492836097698028
2030,5.693378217612507
2031,4.941798321599401
2032,4.2239235933298955
2033,3.5492573302824804
2034,2.924936428291259
2035,2.3286438770018743
2036,1.791449762271608
2037,1.3030683250894486
2038,0.8615049596268075
2039,0.4514360754008536
2040,0.09980995474705269
2041,-0.29596520439650514
2042,-0.6134144627474651
2043,-0.865531441346451
2044,-1.052481570036168
2045,-1.170854508005573
2046,-1.2998695099160595
2047,-1.3939760739578233
2048,-1.4588136434631256
2049,-1.4840767776198027
2050,-1.4798438051614373
2051,-1.457423046088117
2052,-1.4199499948264476
2053,-1.3657473867868226
2054,-1.2977888687272192
2055,-1.21305789444786
2056,-1.1366567614925838
2057,-1.047133270425778
2058,-0.9462092089779126
2059,-0.833301082006101
2060,-0.7057900898413528
2061,-0.6683237105235151
2062,-0.6231638271216886
2063,-0.5711458963976749
2064,-0.5114999393314524
2065,-0.4448375209739032
2066,-0.37059448006941326
2067,-0.28916927819619603
2068,-0.20019381506662623
2069,-0.10386457712283038
2070,0.0
2071,0.0
2072,0.0
2073,0.0
2074,0.0
2075,0.0
2076,0.0
2077,0.0
2078,0.0
2079,0.0
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,0.0
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
