country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.0066,0.000225,38.5,1580.0,296.0,11100.0,7760.0,323000.0,0.0474,1.24,0.686,69100.0,2.86e6,107.0,3.29e6,2.01e8,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,40498.37312305846,46193.00038595978,54430.29172211119,86871.3414628783,0.0005188752357518758,0.002153601520456506,0.004930248869971114,0.01147269723341955,0.04131879158514314,0.046424977165854864,0.04873860252246477,0.04889952776052879,22.43113761827793,24.841006083829694,29.07665467205419,49.00489706326896,4640.449027110236,5360.502416829166,6230.97623230544,9737.191175624326,0.0006259783341152399,0.0004478132446477257,0.0002839005419116114,0.0,1.0695621537583811e7,1.2863078629055398e7,4.954499961908656e6,0.0,1.0919783151685885,1.2170832062292642,1.2731181900298891,1.277000844466427,110.244,110.937,108.709,105.636
AFG,0.0073,0.00766,5.88,208.0,296.0,11100.0,652000.0,2.26e7,0.0225,1.94,0.686,8620.0,308000.0,67400.0,1.34e8,7.7e9,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,2035.8734644066092,2812.622937182911,3908.521545305375,11699.08911514307,0.0004961997058736502,0.002186987540473074,0.005245427133387972,0.012948181852723043,0.019399237911862547,0.022029115000717706,0.023235461989681887,0.023319705465878516,1.2743878197209055,1.7785065138345613,2.5265484522492265,8.0571898462111,99637.42646770453,163508.72449803364,259749.98436415143,932355.6529366899,0.012853321062204688,0.013871177478032981,0.012591505894752268,0.0,2.1961504111272925e8,4.37493470362795e8,2.9474091997722393e8,0.0,1.7112107740448892,1.9072593901162525,1.9950703536409782,2.001154760273788,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.00144,0.00657,5.7,217.0,296.0,11100.0,1.58e6,5.45e7,0.0582,1.89,0.686,11600.0,457000.0,106000.0,1.04e8,6.22e9,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,6603.3438921955785,6745.320204160453,7266.163462225724,13559.93917738265,0.0002134189331240909,0.0007834377796873761,0.0015609872381642362,0.002175083598778068,0.050473345162112805,0.056945586157637125,0.059894766481274564,0.060100281785264824,2.6433379486711805,2.8429813135749744,3.1732431256320814,6.858230657050459,310758.9236307176,426142.7731101693,596992.3200911991,2.04735598385144e6,0.017242208990882302,0.012950475878999727,0.00861210629331313,0.0,2.946046720595473e8,3.824554556989509e8,1.7197019846196547e8,0.0,1.6621545251882848,1.852582904498716,1.937876541377102,1.9437865228774553,44834.707,59782.166,77420.355,142116.013
ALB,0.00631,0.00188,20.2,826.0,296.0,11100.0,57000.0,2.5e6,0.0285,1.9,0.686,29600.0,1.19e6,2070.0,2.88e7,1.75e9,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,15017.141201687999,18047.64798888088,21711.293045035534,37992.98492468307,0.00044698678644643897,0.002067936550081219,0.005055180664861041,0.01106236640238672,0.02463861690510201,0.027887494019500404,0.029372666451356423,0.029476266885999258,11.420361064319136,13.151224801292617,15.296370201974478,25.33992985639589,42815.56768622723,48855.09727672712,54403.31455456311,65642.94131738639,0.004975454320819358,0.003918981204332882,0.002541577318065089,0.0,8.501185023956947e7,1.1312596490990417e8,4.5532907023864724e7,0.0,1.6755867297520524,1.8675539990434586,1.9535369109327874,1.9594946521806722,2786.972,2634.385,2424.052,1659.729
ARE,0.00868,0.0643,48.4,2010.0,296.0,11100.0,1.16e6,4.95e7,0.0746,1.75,0.686,94800.0,4.14e6,11200.0,9.5e8,5.85e10,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,74767.10757714241,81810.7744777999,87106.82291973982,103551.93778330408,0.0008901151113676684,0.0036993938966000616,0.008203691546849119,0.014216562172080748,0.06469783402341805,0.07296923933749185,0.07673738648222507,0.0769999552345148,27.85412031957333,34.177142994787765,39.975346066180656,58.695710655999896,845860.3763847509,934077.9179569596,984525.8510464474,1.3123833762229725e6,0.19574073154947932,0.13404165145882854,0.07464104851435009,0.0,3.344474832506913e9,3.8131008071501822e9,1.2542604006522782e9,0.0,1.540023654231996,1.7164598424028323,1.7954863206018488,1.8009620517500022,10661.076,10648.314,10425.284,11600.276
ARG,0.00538,0.0579,29.0,1170.0,296.0,11100.0,2.83e6,1.14e8,0.031,1.45,0.686,48600.0,1.99e6,55200.0,8.58e8,5.2e10,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,26220.554355984303,31717.94596893985,38076.997539057294,61479.82890150353,0.000423081765270679,0.001756008901916577,0.0040200384435548926,0.009354636073347484,0.02696945965800472,0.030356114968590024,0.03189388549540255,0.03200091965924863,14.807900779750945,17.653515417328546,21.344572625587475,37.62129227251125,1.3189823891867516e6,1.7086484842486193e6,2.1630408929129546e6,3.710469663137153e6,0.14507736414761724,0.1163872824219303,0.08035931403440712,0.0,2.478827933855431e9,3.3502157935311217e9,1.4214170288588095e9,0.0,1.278046809123701,1.4244690453575586,1.4900521537864384,1.4945963961442006,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.00502,0.002,25.1,1020.0,296.0,11100.0,92100.0,3.78e6,0.00858,1.83,0.686,36800.0,1.46e6,2600.0,2.99e7,1.81e9,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,16109.733226670593,20004.710097364878,25759.420623262642,49542.40087094067,0.00040539017966380683,0.0017594929129968859,0.004104256960772937,0.008646845921997064,0.007207198443046226,0.00835065476425027,0.008884422890887355,0.008921904551039283,12.843874920565069,15.034713110425171,18.493352793643272,32.731432712770214,48074.52161304226,58588.49589244436,73436.82583357475,118524.67482904151,0.0050666924936320044,0.003998765712592061,0.002785413813883848,0.0,8.65707683570216e7,1.1556052913077511e8,5.008687869714213e7,0.0,1.6141165140105156,1.7990413131933156,1.8818698744005375,1.8876090512295611,2967.01,2905.147,2816.114,2350.729
AUS,0.00733,0.11,42.0,1810.0,296.0,11100.0,2.73e6,1.13e8,0.0385,1.81,0.686,72300.0,3.11e6,35200.0,1.64e9,1.0e11,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,54459.54335943149,58907.8700935735,63044.08342246226,81759.77837002685,0.0007482926710290034,0.003166974438514464,0.0070869649013469895,0.01194404877624606,0.033355359788515816,0.03764106338109169,0.039593725322831876,0.03972979081357723,31.739057602455688,34.35596330642477,36.82590727395921,47.36977460182572,1.5814689209271397e6,1.8678691334446932e6,2.163466283676945e6,3.3467663843470654e6,0.30765820720075465,0.22946533810338093,0.14169407743780693,0.0,5.256724662526465e9,6.550135300199581e9,2.4146901628993783e9,0.0,1.5949299778056585,1.777656629380216,1.8595006314341151,1.8651715883279232,28177.48,30572.49,32814.106,38899.744
AUT,6.73e-5,0.00706,59.3,2500.0,296.0,11100.0,822000.0,3.5e7,0.00651,1.81,0.686,91900.0,3.89e6,8940.0,7.23e7,4.74e9,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,62323.24970098534,69211.53040993339,76756.24569301994,108287.14768135741,0.00023245909642145455,0.00023971034718682345,0.0,0.0,0.005399547920100086,0.006322510839402471,0.00675652262966761,0.006787068983703863,40.078157852292414,44.40530829014557,49.230955766677596,70.00176661988863,574483.6679603256,641573.6944288171,705573.3275126409,951698.2830930261,0.03471847044823664,0.00596567264665784,0.0,0.0,5.9320842278507e8,1.7194788361999503e8,0.0,0.0,1.589879689204122,1.77202774338664,1.8536125893418836,1.8592655893539731,9175.689,9211.788,9130.698,8729.407
AZE,0.00718,0.0112,22.7,935.0,296.0,11100.0,322000.0,1.34e7,0.0231,1.81,0.686,30500.0,1.25e6,10400.0,1.7e8,1.03e10,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,18857.470332415272,21102.131231357947,23222.059835877317,35361.93491980573,0.0005799933387121359,0.0025173134926349456,0.005871976720268207,0.012371076772968616,0.01989951604002376,0.02254201764226741,0.02375090303236128,0.023835250426307762,14.316571911008566,15.881782133637167,17.368768331654255,26.23930535892872,206132.30448239937,238459.25110138167,264347.1537550357,367084.57663829287,0.031081746636655028,0.023285071092325398,0.014344989953911317,0.0,5.310704550543282e8,6.700352215074105e8,2.5387427363540158e8,0.0,1.5939609689688876,1.7765766039204252,1.8583708811824333,1.8640383926539221,10739.736,11055.063,11064.995,10013.683
