time,co2_emissions
2020,10.090158455349359
2021,10.388624673284022
2022,10.687339509317162
2023,10.986176860827854
2024,11.285095301491056
2025,11.584119248581592
2026,11.56044557280436
2027,11.537369618819818
2028,11.514849675116949
2029,11.492836097698028
2030,9.28937253117882
2031,8.785988572577967
2032,8.295940664919602
2033,7.82276485173975
2034,7.3691028990226926
2035,6.9264658125130705
2036,6.4384600075196925
2037,5.969386802500883
2038,5.51846112335547
2039,5.079853656613846
2040,4.663741275268852
2041,4.139811020235969
2042,3.6459421721508787
2043,3.1771962072437727
2044,2.7334957379664493
2045,2.3161254524821917
2046,2.065416348296548
2047,1.8280755590881277
2048,1.6019646507152
2049,1.3910103500508275
2050,1.1913892776495556
2051,1.0627911266078836
2052,0.9399998207722747
2053,0.8236489757719919
2054,0.7125996328745599
2055,0.6079924274342753
2056,0.5228020723970308
2057,0.4426358971297962
2058,0.3668310639935864
2059,0.2956020056813619
2060,0.22993685745928005
2061,0.19440487667989578
2062,0.1617931136926929
2063,0.13178208204549977
2064,0.10466311979498907
2065,0.08020080587079344
2066,0.05860688337451111
2067,0.03972579969193467
2068,0.023693478425307734
2069,0.010430428687690051
2070,0.0
2071,0.0
2072,0.0
2073,0.0
2074,0.0
2075,0.0
2076,0.0
2077,0.0
2078,0.0
2079,0.0
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,0.0
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
