country,quantile,conso_npv,tax_npv,conso_2030,conso_2040,conso_2050,conso_2080,tax_2030,tax_2040,tax_2050,tax_2080
ABW,First,506.0,1.24,6.326291224157551,7.3025883815310895,8.799465830988147,16.717720928945095,0.021266581985368415,0.023532416856518787,0.025727985576711444,0.032565684218051956
ABW,Second,858.0,1.96,11.276912265368164,12.676927665170686,15.15451236848399,27.816714406989693,0.03617532352692973,0.038916947651193405,0.041532943872724874,0.049333807877320134
ABW,Third,1060.0,2.37,14.410713620554759,15.98947022585781,18.965681350874345,33.81003659943583,0.04526864879156815,0.04803207619939291,0.05059466180993213,0.057887807582507986
ABW,Fourth,1350.0,2.91,19.030350217848195,21.048383662738473,24.707215426579815,42.20431027417711,0.05733513182046428,0.06005520920730805,0.0625502933696019,0.06945439592456501
ABW,Fifth,1620.0,3.4,23.591852380776448,26.064030352578094,30.2810239616311,49.53342767689375,0.06856779663226986,0.07107001970032369,0.07331078855321374,0.07923881540588831
ABW,Sixth,1990.0,4.07,29.471411610741807,32.20318540198902,37.235912157141065,60.01815362242937,0.08420941143484993,0.08630719039205602,0.08815812982013602,0.09282980234611547
ABW,Seventh,2360.0,4.71,36.0708434861203,39.29171243896209,45.01009280092717,69.84146660593397,0.10002964193384237,0.1014696970683618,0.10265489006962149,0.10520802278493784
ABW,Eighth,3010.0,5.81,47.27264020167772,51.145670533808314,58.07799244646807,87.15954640092633,0.1269051529091378,0.12706547831876136,0.12709221333991266,0.12636141504487886
ABW,Ninth,3740.0,7.0,61.15104059854546,65.87994970060095,73.81889030740315,104.85226307617258,0.15798364479970564,0.15600386750831538,0.15396425765801022,0.14726608855001727
ABW,Tenth,7160.0,12.4,127.04920228117365,133.8339095073066,146.0139860057457,188.64178638840548,0.3022586661658638,0.2875470970977686,0.27441383593013546,0.2398541602657171
AFG,First,107.0,1.34,0.541193758483521,0.7832173682627714,1.1678035589615388,4.305230970492993,0.01715350026223753,0.020168587646893794,0.02484966844767861,0.04297665517378039
AFG,Second,148.0,2.12,0.8085512511559237,1.1478977372025612,1.6786366722815422,5.862639354081694,0.03238446469935305,0.03633470702412965,0.04213064450227867,0.06126144577004979
AFG,Third,162.0,2.46,0.9276172323008522,1.3031653132623544,1.8837503442113577,6.373870223721261,0.04037685917518918,0.04439492679036238,0.05005546822804956,0.06743934967093627
AFG,Fourth,187.0,3.01,1.11293205144862,1.5568353372046706,2.2262495587790165,7.272245875239875,0.05319611292816825,0.057289797277833225,0.06287335186143955,0.0784787857459994
AFG,Fifth,204.0,3.45,1.263782511959019,1.7627377114500777,2.4958684732126457,7.881066268041004,0.06429265668694759,0.06814525135192818,0.07319391086664047,0.08608245612282704
AFG,Sixth,230.0,4.14,1.4668440394211517,2.0278490429969906,2.8489357530078285,8.835891494660808,0.08169053176645924,0.08503913186021861,0.08921948154869852,0.09818948810388689
