time,co2_emissions
2020,0.3355069878286841
2021,0.34010642472348757
2022,0.34189027437078756
2023,0.3417928147636615
2024,0.34296945410889523
2025,0.34411556435021207
2026,0.34183834493103826
2027,0.33958029864616346
2028,0.3373478233300361
2029,0.33514675074190564
2030,0.26964724742682705
2031,0.2587105994222888
2032,0.24802422133519206
2033,0.2376942109563721
2034,0.2278056232373618
2035,0.21809927139503074
2036,0.2083075864382459
2037,0.19888858205027146
2038,0.1898219119333631
2039,0.18090568186131872
2040,0.17249987388918092
2041,0.16270333831491127
2042,0.15340295354590308
2043,0.14441045550241202
2044,0.13571561523130043
2045,0.12738026510238373
2046,0.12047239935790108
2047,0.11378286396596672
2048,0.10717282144782184
2049,0.10089778858115542
2050,0.09469390141575738
2051,0.09040992263336826
2052,0.08619999788455872
2053,0.08212096529650639
2054,0.07805779071819706
2055,0.07412232220540353
2056,0.07042297660905297
2057,0.06683185195231223
2058,0.06324568336987471
2059,0.05966876139695842
2060,0.05629628051716645
2061,0.052325827575375856
2062,0.048470703212629924
2063,0.04463819140716761
2064,0.04091796436190924
2065,0.03722126035571354
2066,0.03361289231898737
2067,0.030030918873546114
2068,0.026557316130697034
2069,0.023111460337685855
2070,0.0
2071,0.0
2072,0.0
2073,0.0
2074,0.0
2075,0.0
2076,0.0
2077,0.0
2078,0.0
2079,0.0
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,0.0
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
