country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.00398,0.000388,38.5,1580.0,165.0,7180.0,7760.0,323000.0,0.0479,1.25,0.404,69200.0,2.86e6,107.0,-1.07e7,-5.16e8,4.331330420551052,91.9815496220311,220.4683474346141,0.0,0.04559021122636653,0.3277753328126113,0.602746578584769,0.0,40564.79510412344,45984.697799117246,54051.75861738454,87876.40318427277,1.2651571263487122e-5,0.001543867309605238,0.00551130171629988,0.0,0.04089782774151907,0.0459038207103175,0.048215749688781444,0.048543335865757986,22.42163219953982,24.649934694013307,28.803377939845756,49.63415556884966,4640.890690476766,5359.780030233187,6224.30332153069,9733.535228538803,0.0007378381698609678,0.0004796978163421961,0.00026662749306082136,0.0006036903007113201,1.3535828756540524e7,-1.5227850923951047e7,-2.9359555016571254e7,0.0,1.0815750334395808,1.2044055151270148,1.2604899632006172,1.2684043879569653,110.244,110.937,108.709,105.636
AFG,0.00439,0.0307,6.07,217.0,165.0,7210.0,659000.0,2.29e7,0.0228,1.96,0.406,8870.0,319000.0,67400.0,6.9e9,3.61e11,6.597846041441237,93.47659898780597,220.8722142644467,0.0,0.05930750345626512,0.3310950059189278,0.6034364333057392,0.0,2212.223155904216,3112.514928856444,4238.480984206144,11939.065251559188,2.3974906655221726e-5,0.0016094203006504426,0.005881089863785471,0.0,0.01918446431806902,0.021758632942527615,0.022962051239717323,0.02313329925197526,1.4210274355782424,2.02413060671428,2.7897442723409185,8.215813375717437,101099.97298344613,167564.57769891215,266856.12748877134,938989.4661172924,0.015150158355842769,0.015154232460176258,0.012140834586565386,0.06572756920153477,7.199167752083576e9,1.3407169785108318e10,1.482563421037766e10,0.0,1.6949080622301829,1.8873925106161473,1.9752809883146194,1.9876834771967724,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.00102,0.0145,5.85,225.0,165.0,7190.0,1.59e6,5.48e7,0.0588,1.91,0.405,11800.0,466000.0,106000.0,9.43e9,4.75e11,4.676809991912359,92.25372987266337,220.56305296884355,0.0,0.04783016298313436,0.3283811916869216,0.602908389907688,0.0,6767.290149225649,7027.252356776901,7591.558516486235,13665.102951519057,5.894855090485346e-6,0.0005643315779972725,0.001746175090968096,0.0,0.0499420169906615,0.0562826928851417,0.05922738296121311,0.05964546122025008,2.79791644452689,3.1109777745832257,3.470078199823968,6.910934613760036,311519.6215681284,428902.83850014134,603320.1042308272,2.0578632206984344e6,0.020323323081419722,0.013951704274077473,0.008179288999067905,0.024197501165721537,6.709481726088099e9,1.4284222393073517e10,1.915067951694019e10,0.0,1.6463191724505255,1.833285560090105,1.9186544889994979,1.9307014287054345,44834.707,59782.166,77420.355,142116.013
ALB,0.00405,0.00275,20.3,831.0,165.0,7180.0,57100.0,2.51e6,0.0288,1.92,0.405,29700.0,1.2e6,2070.0,9.54e7,5.7e9,4.387019831131381,92.03256065240005,220.48970827278825,0.0,0.045955688877227785,0.3278889318125291,0.6027830774132501,0.0,15146.777513789208,18153.43623310133,21763.434484047877,38450.76304796178,1.1127360683522402e-5,0.001483792273374422,0.0056518470412780285,0.0,0.024372580802605195,0.027554066394688628,0.02903633130090293,0.02924700960569083,11.531775831647163,13.248445883969683,15.352120758210615,25.647769969766518,42836.04619200024,48905.74688354388,54462.89851702554,65684.32767251335,0.00586454819636676,0.0042022233700541355,0.0023918991624260052,0.003928148145901801,3.9724877285713404e8,2.9943064275248086e8,1.2870899846941404e8,0.0,1.6596234083482697,1.8481007089187869,1.9341595212891478,1.9463038147344902,2786.972,2634.385,2424.052,1659.729
ARE,0.00591,0.09,48.1,1990.0,165.0,7190.0,1.16e6,4.94e7,0.0753,1.77,0.405,94400.0,4.11e6,11200.0,-4.86e9,-2.52e11,4.361143336013757,92.2597015167175,220.62576892715376,0.0,0.04578608471788814,0.32839447673101874,0.6030155303638628,0.0,74645.4524300659,80524.94369834402,85474.71995767648,104921.94780068363,2.194667056718765e-5,0.0026650545222909913,0.009181177861395771,0.0,0.06401867313397464,0.07212219895285071,0.075884715132799,0.07641886839540828,27.622858643496517,33.29558280794225,38.929603235803775,59.51753796360046,846114.5307782793,932984.0773769146,981283.6255458175,1.3101347575590187e6,0.23071882086437645,0.1433045725637718,0.06989644443589613,0.10069052788819893,6.118257060683895e8,-1.0447695969637018e10,-1.2599231227685377e10,0.0,1.5253518427850463,1.698580417594386,1.7776766555581949,1.788838416890913,10661.076,10648.314,10425.284,11600.276
ARG,0.00325,0.109,29.1,1170.0,165.0,7180.0,2.83e6,1.14e8,0.0313,1.46,0.405,48800.0,2.0e6,55200.0,-1.37e7,1.35e10,4.411207666284233,92.10486421800265,220.50773038592448,0.0,0.04611388601975719,0.3280499077739545,0.602813870399066,0.0,26341.193846921957,31743.295828146725,38018.78186216295,62084.38345636925,1.0626790906411972e-5,0.001261585919321487,0.0044951232750911575,0.0,0.02669071239718607,0.030010000795314087,0.03154619291115174,0.0317640230637661,14.891193185821594,17.68858377389875,21.33277770177798,38.011549321756206,1.3198321040321803e6,1.709850884380996e6,2.163381496171312e6,3.711052641956697e6,0.1710021114424462,0.12472771026466624,0.07555010688803114,0.18767311918215543,6.6908912988583355e9,2.1335932207489924e9,-1.8089174517021236e9,0.0,1.2658708521166055,1.4096311292238628,1.4752721304289693,1.484535139744625,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.00321,0.00336,25.3,1020.0,165.0,7180.0,92100.0,3.78e6,0.00869,1.85,0.404,37000.0,1.47e6,2600.0,1.19e8,6.97e9,4.376921416537483,92.01531536532944,220.4531915814002,0.0,0.04588954487072516,0.32785053006780207,0.6027206812832759,0.0,16237.924693169365,20126.071693949074,25829.44111543805,50003.30131169805,1.0054126058673068e-5,0.0012620924370885778,0.004587450299483112,0.0,0.007115103663431081,0.008231750223652145,0.008762960579474033,0.00883900429410624,12.96429639071817,15.155095375647395,18.569619198862817,33.0465897707242,48094.18107899671,58659.48956699655,73527.59551136597,118583.18427040754,0.005972090267363021,0.0042887688832279666,0.002622156190168643,0.005543178821401019,4.241615253017234e8,3.620643353010638e8,1.8415163157115197e8,0.0,1.5987388195953087,1.7803016823019222,1.8632033595213922,1.8749021300195434,2967.01,2905.147,2816.114,2350.729
AUS,0.00506,0.163,41.8,1800.0,165.0,7180.0,2.73e6,1.13e8,0.0389,1.83,0.405,72100.0,3.1e6,35200.0,-7.56e9,-3.86e11,4.365191830572803,92.18224949415654,220.5629179214925,0.0,0.04581264490664683,0.328222145114784,0.6029081591879765,0.0,54444.55145979469,58247.898702474726,62164.46959897805,82680.50390189377,1.847773751583583e-5,0.0022783863641556113,0.007927719693027175,0.0,0.03300352203184349,0.03720213779645509,0.03915186411973314,0.03942866650208733,31.63515752497387,33.80066539701826,36.16072295694777,47.94253622202184,1.5819881365625863e6,1.8664974166567007e6,2.1580596606768947e6,3.3430629013861353e6,0.3626355037743545,0.24549271886141338,0.13282884140093568,0.2158609961797782,2.6935015880930943e9,-1.4666927016867435e10,-2.041559361612744e10,0.0,1.5797350735967866,1.7591397510617892,1.8410560000190437,1.8526157106155292,28177.48,30572.49,32814.106,38899.744
AUT,3.77e-5,0.00747,59.4,2510.0,25.4,1470.0,823000.0,3.5e7,0.0066,1.82,0.0842,92100.0,3.89e6,8940.0,4.42e8,2.65e10,4.353744500667396,91.93031403881237,0.0,0.0,0.04573752068309356,0.3276612099612056,0.0,0.0,62425.19105540915,69427.98882640476,77094.3802412766,108361.75224805276,5.715716841190938e-6,0.0001716873070061758,0.0,0.0,0.0053256524847247865,0.00622608941808519,0.006657596333690631,0.006719519898017816,40.13923937494091,44.57788519749877,49.49897942155739,70.05042756988178,574627.0369708427,641825.2726037002,706124.1715454642,952290.0598571415,0.04092252287310491,0.0063948850805486636,0.0,0.0,1.2144212679780552e9,1.8114888033777444e9,0.0,0.0,1.5747328991147382,1.753569498099637,1.8352263621910063,1.8467494693782671,9175.689,9211.788,9130.698,8729.407
AZE,0.00459,0.018,22.8,939.0,165.0,7190.0,322000.0,1.34e7,0.0233,1.83,0.405,30600.0,1.26e6,10400.0,1.92e8,1.21e10,4.541209229579016,92.32090169512594,220.5825443327064,0.0,0.04695863637200248,0.3285306094444279,0.6029416890933862,0.0,18987.738303942482,21142.468456074177,23202.937640588545,35827.001856829156,1.5272094295905088e-5,0.001815435459008585,0.006569542469398723,0.0,0.01968326317293661,0.022270692612473802,0.023477089674375427,0.023648601568968076,14.411492362916333,15.911080230612205,17.355908783511588,26.57178166763044,206447.9268994258,238781.44947722965,264485.127177256,367244.41739587736,0.03663593099733371,0.024951984321977923,0.013487068506886128,0.024560701408192935,1.4635902957351274e9,5.758963778066144e8,1.9858980693308853e7,0.0,1.5787752965110373,1.7580709756374038,1.8399374559087478,1.8514901433368973,10739.736,11055.063,11064.995,10013.683
