time,consumption_ede
2020,4.46072924906113
2021,4.863334182019463
2022,5.139724696452585
2023,5.422264806601884
2024,5.713929825930083
2025,6.0145710355115
2026,6.312894783911578
2027,6.616797695619683
2028,6.928112732728243
2029,7.247019046646972
2030,7.546011480975649
2031,7.863060733362227
2032,8.18459598874672
2033,8.525526891024217
2034,8.874563084992813
2035,9.232671268611472
2036,9.586533620375894
2037,9.947785338035994
2038,10.318531958717202
2039,10.698978979497113
2040,11.090159075911368
2041,11.475240882488961
2042,11.867681953312903
2043,12.269123482708764
2044,12.679787075761782
2045,13.099617196310598
2046,13.513468454994504
2047,13.93455858026426
2048,14.365412068393894
2049,14.807807003464259
2050,15.262656841759606
2051,15.714416642189041
2052,16.174250940162157
2053,16.64424422207224
2054,17.12414253832831
2055,17.6137875745423
2056,18.093331284716616
2057,18.581075589567547
2058,19.079513035671326
2059,19.588563575168937
2060,20.109768496176997
2061,20.61921902948082
2062,21.137421833810524
2063,21.6657926062881
2064,22.204525628088092
2065,22.75369476380783
2066,23.28632620134312
2067,23.825341767293008
2068,24.374335225939735
2069,24.934795900566076
2070,25.50773425273911
2071,26.069053043420976
2072,26.639315793459154
2073,27.2196974816845
2074,27.810808475914165
2075,28.41290421446018
2076,28.99919138926534
2077,29.59389414312064
2078,30.197038628007505
2079,30.80842358523067
2080,31.43228241580749
2081,32.037328462857246
2082,32.65070933664477
2083,33.27398721239374
2084,33.90718411945051
2085,34.55057967359959
2086,35.17395649129063
2087,35.804481195908494
2088,36.442327081584786
2089,37.087078907790264
2090,37.737999887783054
2091,38.36313169369221
2092,38.99372438755583
2093,39.63358070473491
2094,40.28553968440023
2095,40.946024075384514
2096,41.58228333661762
2097,42.22283174764062
2098,42.86788933791592
2099,43.51687388162837
2100,44.168488388201126
