time,consumption_ede
2020,0.5312057884437134
2021,0.554470945418897
2022,0.5787472837154214
2023,0.604653646664537
2024,0.6327521758738218
2025,0.6633478126447258
2026,0.6934984885668931
2027,0.7262094765993523
2028,0.7618262508187735
2029,0.8006885661877103
2030,1.0432839301383305
2031,1.1099958489723076
2032,1.180937624377465
2033,1.2558772537612848
2034,1.3343599951083724
2035,1.4180679479849598
2036,1.4997112719894303
2037,1.5863083245916707
2038,1.6786568993157909
2039,1.777984243617932
2040,1.8831265572460036
2041,1.9910089276373881
2042,2.104432226502798
2043,2.2245630174696633
2044,2.351932585320546
2045,2.4859025253607516
2046,2.618653138875645
2047,2.7582014640305434
2048,2.908994155333243
2049,3.0765541494423663
2050,3.2556792328355626
2051,3.441209677797137
2052,3.637836883579137
2053,3.8465080365848388
2054,4.0677915564694835
2055,4.302161525755281
2056,4.539059053825902
2057,4.7889540351096915
2058,5.053201987519256
2059,5.3324240833248515
2060,5.628403541703477
2061,5.912799269877457
2062,6.204060951968432
2063,6.508375151359739
2064,6.826505882943635
2065,7.169036140738551
2066,7.520828478751182
2067,7.892575235449903
2068,8.280791561791812
2069,8.685845913499262
2070,9.103733076118349
2071,9.519011749923106
2072,9.951246535659589
2073,10.401481588101893
2074,10.870990967497763
2075,11.36074365177802
2076,11.848064139353822
2077,12.35352210268889
2078,12.876539746027895
2079,13.406472580454926
2080,13.981604840746744
2081,14.552461802739026
2082,15.142090407071908
2083,15.752606830542819
2084,16.384853650901338
2085,17.039996058890438
2086,17.69138294967962
2087,18.36139278060151
2088,19.050822532677863
2089,19.744120702189342
2090,20.444477693540257
2091,21.13171172340852
2092,21.832909253517073
2093,22.56590321691932
2094,23.29865084997119
2095,24.06405028505644
2096,24.815330557351054
2097,25.581215538369506
2098,26.36200917503251
2099,27.157641526824126
2100,27.966899357273018
