country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.0066,0.000225,38.6,1580.0,296.0,11100.0,7760.0,323000.0,0.0474,1.24,0.686,69100.0,2.86e6,107.0,0.0,0.0,42.58008856507906,112.90064029582007,205.893752257273,480.9448597174765,0.19021176801135212,0.37256201082141044,0.5775243896946911,1.0000000000000002,40401.35383111283,46063.723959364426,54360.657369754066,86865.45114510991,0.0005189141206830815,0.002153912002621879,0.004931586837103042,0.011472697233419557,0.04131879158514314,0.04642535669055585,0.048738737988312186,0.048898456096331956,22.19988378605163,24.557822759280292,28.95564539308749,49.47479635247623,4640.449027110236,5358.955591085079,6228.228970464844,9736.520996805908,0.0006259740962729077,0.0004476692856893542,0.0002837348925358078,-1.3408729306974395e-19,-0.0,-0.0,-0.0,0.0,1.0919783151685885,1.2170924311076199,1.2731214592346036,1.2769749947244728,110.244,110.937,108.709,105.636
AFG,0.0073,0.00765,5.89,208.0,296.0,11100.0,652000.0,2.26e7,0.0225,1.94,0.686,8620.0,308000.0,67400.0,0.0,0.0,42.58008856507906,112.90064029582007,205.893752257273,480.9448597174765,0.19021176801135212,0.37256201082141044,0.5775243896946911,1.0000000000000002,2031.3069776957193,2803.0755137270535,3901.055359663103,11697.987200476522,0.0004962368914822468,0.002187302835861176,0.005246850633353692,0.012948181852723051,0.019399237911862547,0.022029312144388403,0.023235532887064154,0.02331914431214884,1.2666041942025223,1.7636131967431148,2.5153465933826866,8.088052190432657,99637.42646770453,163400.36871206414,259556.79138761706,932267.3249298556,0.012853234045857413,0.013861528826144966,0.012580346108786005,-1.4489971765009002e-17,-0.0,-0.0,-0.0,0.0,1.7112107740448892,1.9072738461828356,1.9950754767265306,2.0011142518165013,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.00144,0.00657,5.7,217.0,296.0,11100.0,1.58e6,5.45e7,0.0582,1.89,0.686,11600.0,457000.0,106000.0,0.0,0.0,42.58008856507906,112.90064029582007,205.893752257273,480.9448597174765,0.19021176801135212,0.37256201082141044,0.5775243896946911,1.0000000000000002,6596.772880067359,6737.6634226914975,7262.3732443906965,13559.585432434615,0.0002134349269121168,0.0007835507269786748,0.001561410857675767,0.002175083598778069,0.050473345162112805,0.05694606909127163,0.05989493946178482,0.06009891301341489,2.6288032483103683,2.8253281770292693,3.162120424360301,6.868152879594194,310758.9236307176,426063.3829679277,596863.7242392119,2.0472999300271121e6,0.017242092261981028,0.01294763695479447,0.008609023062465557,-5.3453446367932136e-18,-0.0,-0.0,-0.0,0.0,1.6621545251882848,1.8525969461450476,1.937881517596258,1.9437471756990663,44834.707,59782.166,77420.355,142116.013
ALB,0.00631,0.00188,20.3,827.0,296.0,11100.0,57000.0,2.5e6,0.0285,1.9,0.686,29500.0,1.19e6,2070.0,0.0,0.0,42.58008856507906,112.90064029582007,205.893752257273,480.9448597174765,0.19021176801135212,0.37256201082141044,0.5775243896946911,1.0000000000000002,14986.637396852895,18000.103310612343,21683.891019333347,37989.60725332563,0.0004470202839989202,0.0020682346820298757,0.005056552535887012,0.011062366402386727,0.02463861690510201,0.027887736983605207,0.02937275364529943,0.02947557684238444,11.37503520677514,13.082850638875309,15.263913758534262,25.478402077658043,42815.56768622723,48842.634428222125,54381.78022922514,65637.06150013134,0.004975420637239921,0.003917852496790075,0.002540208915686804,-8.715964542619674e-19,-0.0,-0.0,-0.0,0.0,1.6755867297520524,1.8675681541631544,1.95354192736577,1.9594549870298315,2786.972,2634.385,2424.052,1659.729
ARE,0.00869,0.0643,48.5,2010.0,296.0,11100.0,1.16e6,4.94e7,0.0746,1.75,0.686,94700.0,4.13e6,11200.0,0.0,0.0,42.58008856507906,112.90064029582007,205.893752257273,480.9448597174765,0.19021176801135212,0.37256201082141044,0.5775243896946911,1.0000000000000002,74453.39366798836,81391.75453225567,86907.41187521344,103530.32341495865,0.0008901818173163931,0.0036999272338106245,0.008205917858327434,0.014216562172080756,0.06469783402341805,0.07296985641737178,0.07673760748500964,0.0769982064823902,27.516351326834712,33.71510330984833,39.82277252246438,59.22958936009027,845860.3763847509,933380.2754079205,983632.9779545881,1.312107312285644e6,0.1957394063944171,0.13393712921571718,0.07456271922026231,-2.2391450641209803e-17,-0.0,-0.0,-0.0,0.0,1.540023654231996,1.7164728523048403,1.7954909311811258,1.800925595701826,10661.076,10648.314,10425.284,11600.276
ARG,0.00538,0.0579,29.0,1170.0,296.0,11100.0,2.83e6,1.14e8,0.031,1.45,0.686,48600.0,1.99e6,55200.0,0.0,0.0,42.58008856507906,112.90064029582007,205.893752257273,480.9448597174765,0.19021176801135212,0.37256201082141044,0.5775243896946911,1.0000000000000002,26170.023116801898,31641.8760782032,38033.696227917644,61475.52517569274,0.0004231134713614757,0.0017562620636278328,0.004021129398484029,0.00935463607334749,0.02696945965800472,0.030356367058652016,0.031893975592077295,0.03200020684532524,14.71094899216318,17.518025498622908,21.284727638249894,37.84886631021913,1.3189823891867516e6,1.7080011379350373e6,2.162054628321952e6,3.7102073592637456e6,0.14507638198104414,0.1163393573177794,0.08031121635047798,-4.1662311834864537e-17,-0.0,-0.0,-0.0,0.0,1.278046809123701,1.4244798421162335,1.4900559800498319,1.4945661417153697,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.00502,0.002,25.2,1020.0,296.0,11100.0,92000.0,3.78e6,0.00858,1.83,0.686,36800.0,1.46e6,2600.0,0.0,0.0,42.58008856507906,112.90064029582007,205.893752257273,480.9448597174765,0.19021176801135212,0.37256201082141044,0.5775243896946911,1.0000000000000002,16080.554956822156,19958.418914395686,25730.540446789168,49539.37191025144,0.0004054205599328224,0.001759746576993868,0.0041053707708582545,0.00864684592199707,0.007207198443046226,0.00835074153414625,0.008884454423418368,0.008921654794314058,12.794813490046302,14.962490400556733,18.458506965117103,32.88958856869393,48074.52161304226,58569.40201030446,73405.25975611866,118517.39903926577,0.005066658192374654,0.003997330923296489,0.0027838194030750853,-1.2301501342912518e-18,-0.0,-0.0,-0.0,0.0,1.6141165140105156,1.7990549490213232,1.8818747068017345,1.887570841225945,2967.01,2905.147,2816.114,2350.729
AUS,0.00734,0.11,42.1,1810.0,296.0,11100.0,2.73e6,1.13e8,0.0385,1.81,0.686,72200.0,3.11e6,35200.0,0.0,0.0,42.58008856507906,112.90064029582007,205.893752257273,480.9448597174765,0.19021176801135212,0.37256201082141044,0.5775243896946911,1.0000000000000002,54272.982656169,58657.321328807,62922.35740147669,81748.1207252153,0.0007483487486889682,0.0031674310174460863,0.007088888156410417,0.011944048776246068,0.033355359788515816,0.037641383146357406,0.039593839848432455,0.03972888459427392,31.50165157039554,34.0505017114299,36.72487508226771,47.76133846707035,1.5814689209271397e6,1.8667153682241244e6,2.1618168038214147e6,3.34628627206191e6,0.30765612436992285,0.22931605004283945,0.14156585115871292,-4.7976984311926e-17,-0.0,-0.0,-0.0,0.0,1.5949299778056585,1.7776701031230795,1.8595054063939567,1.8651338325155702,28177.48,30572.49,32814.106,38899.744
AUT,6.73e-5,0.00706,59.3,2500.0,296.0,11100.0,822000.0,3.5e7,0.00651,1.81,0.686,91900.0,3.88e6,8940.0,0.0,0.0,42.58008856507906,112.90064029582007,205.893752257273,480.9448597174765,0.19021176801135212,0.37256201082141044,0.5775243896946911,1.0000000000000002,62258.598602094615,69185.15873940673,76749.66299413342,108285.67692882195,0.00023247651709476798,0.0002397449059419831,0.0,0.0,0.005399547920100086,0.006322581237988631,0.0067565483239248525,0.006786865410508589,40.01022871368612,44.380185107077494,49.22673354937863,70.00081716264005,574483.6679603256,641502.3132126972,705512.834784723,951685.1647261609,0.03471823540591048,0.005964812536634114,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.589879689204122,1.77204117446538,1.853617349181986,1.8592279530940465,9175.689,9211.788,9130.698,8729.407
AZE,0.00718,0.0112,22.7,935.0,296.0,11100.0,322000.0,1.34e7,0.0231,1.81,0.686,30500.0,1.25e6,10400.0,0.0,0.0,42.58008856507906,112.90064029582007,205.893752257273,480.9448597174765,0.19021176801135212,0.37256201082141044,0.5775243896946911,1.0000000000000002,18808.02039809494,21027.522601708857,23182.203323374724,35357.795018477584,0.0005800368038835713,0.0025176764107220162,0.005873570252777087,0.012371076772968625,0.01989951604002376,0.022542215363311444,0.023750974021175156,0.02383468861163899,14.27262152838555,15.81770885510384,17.33983273210756,26.284034320418314,206132.30448239937,238300.7278347384,264154.8813542086,367041.39981179376,0.031081536214769032,0.023268825561448908,0.014332511532429334,-5.450556434360336e-18,-0.0,-0.0,-0.0,0.0,1.5939609689688876,1.776590069477239,1.8583756532412208,1.864000659780329,10739.736,11055.063,11064.995,10013.683
