time,gross_output
2020,89078.09375000001
2021,96689.6134149489
2022,105012.71789398654
2023,114136.7596567521
2024,124166.02063708997
2025,135222.4135428836
2026,146526.29391997674
2027,158986.6457991706
2028,172760.96191238222
2029,188029.60824490228
2030,204998.65537712473
2031,222606.86878106862
2032,242145.50312624592
2033,263862.0784181983
2034,288032.6771830035
2035,314964.4773187968
2036,343059.98147389374
2037,374203.777962781
2038,408737.54171268357
2039,447037.45185266907
2040,489516.97938532644
2041,533731.5662472325
2042,582403.134692417
2043,635964.7715091502
2044,694887.5689611466
2045,759684.8842961001
2046,826630.9502492865
2047,899627.5510272398
2048,979194.5134718212
2049,1.0658987739352172e6
2050,1.160362846584259e6
2051,1.2572383954878962e6
2052,1.3619457343048847e6
2053,1.4750968311024513e6
2054,1.5973518736285183e6
2055,1.729418523276576e6
2056,1.863787334717972e6
2057,2.0078085678339931e6
2058,2.1621727715025884e6
2059,2.327625029995349e6
2060,2.5049588050047643e6
2061,2.683956639119953e6
2062,2.8744474432565444e6
2063,3.0771936820016094e6
2064,3.2929996471028035e6
2065,3.5227181402802574e6
2066,3.7528318973843968e6
2067,3.996091479472112e6
2068,4.253274727957486e6
2069,4.5252230324058635e6
2070,4.812844720801685e6
2071,5.09870347249717e6
2072,5.399145732679172e6
2073,5.715001226759013e6
2074,6.047128591669756e6
2075,6.396435944330098e6
2076,6.741035533102252e6
2077,7.101201677314273e6
2078,7.477739125600622e6
2079,7.871468844449446e6
2080,8.28325333746266e6
2081,8.68609022234556e6
2082,9.104884508014103e6
2083,9.540436063389055e6
2084,9.99358060406362e6
2085,1.0465176589953719e7
2086,1.0923788854166133e7
2087,1.1398369386531213e7
2088,1.1889635531123426e7
2089,1.2398317426394323e7
2090,1.2925154365783513e7
2091,1.3434483143178673e7
2092,1.3959023912747895e7
2093,1.4499432389761018e7
2094,1.5056439392801853e7
2095,1.563085668939071e7
2096,1.618314317573545e7
2097,1.6749825824218603e7
2098,1.7331526224863652e7
2099,1.7928851320165146e7
2100,1.8542398567701176e7
