time,consumption_ede
2020,0.5312057884437134
2021,0.554470945418897
2022,0.5787472837154214
2023,0.604653646664537
2024,0.6327521758738218
2025,0.6633478126447258
2026,0.6934984885668931
2027,0.7262094765993523
2028,0.7618262508187735
2029,0.8006885661877103
2030,0.8431123033703759
2031,0.8875678255595151
2032,0.936964343830859
2033,0.9916073879874836
2034,1.051433980168668
2035,1.1171726611513966
2036,1.184870256084855
2037,1.2588889619167603
2038,1.3399906880928396
2039,1.4287582583107412
2040,1.5251326848046716
2041,1.6217017330507641
2042,1.7259667713583808
2043,1.8385833125970195
2044,1.9600828134038675
2045,2.0898928594105106
2046,2.2176982807093575
2047,2.353776634604691
2048,2.502595358194115
2049,2.6701912818426328
2050,2.8506066733872104
2051,3.035351382826222
2052,3.2318793679833173
2053,3.4411482132094653
2054,3.66370461563995
2055,3.900018095226819
2056,4.139471927819471
2057,4.392500187137438
2058,4.660518531177477
2059,4.94416958122441
2060,5.244966441889357
2061,5.535444731813092
2062,5.833656114598634
2063,6.146033906843584
2064,6.473144596500051
2065,6.825784853137275
2066,7.1889037445763595
2067,7.573029807392456
2068,7.974356990999177
2069,8.393547610963521
2070,8.826675218443073
2071,9.252944669192068
2072,9.696872848526445
2073,10.159120740782841
2074,10.640933063191623
2075,11.14325806597009
2076,11.644630685321445
2077,12.16397920732053
2078,12.70162885583639
2079,13.25863301451761
2080,13.837921319291404
2081,14.4158851640858
2082,15.014247160261847
2083,15.634759950904618
2084,16.278174355562705
2085,16.94564064613392
2086,17.610650732376396
2087,18.295466897307517
2088,19.00090967185519
2089,19.711707237219308
2090,20.431021865035184
2091,21.1385345263502
2092,21.861273858428557
2093,22.60295538256903
2094,23.367606805911254
2095,24.154408169962494
2096,24.92989988868427
2097,25.721814335893082
2098,26.530117372119992
2099,27.354649637022536
2100,28.194218083673015
