country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.00387,0.000382,38.5,1580.0,164.0,7280.0,7760.0,323000.0,0.0484,1.26,0.41,69100.0,2.85e6,107.0,-1.3e7,-6.62e8,42.94037875052629,113.30969355303465,206.19414572214558,0.0,0.1912160978540134,0.37340508811665896,0.5780508661063083,0.0,40315.631634491874,45860.54289487741,54046.81706143285,87818.33170183412,0.0005260679795455837,0.002166607683329431,0.00494328412794186,0.0,0.04131457286246881,0.04641616981247355,0.048726162814649754,0.04910101322710376,22.26684763487476,24.577557293004272,28.80266045211832,49.59362263008538,4640.4492152603325,5357.112555760466,6221.952607150273,9732.27645196099,0.0006251977649884847,0.0004469140062594181,0.00028309573923871286,0.000603612229261128,-9.436703136131696e6,-2.0762676846650433e7,-2.8163492635278665e7,0.0,1.0918741260213252,1.2168691281444464,1.2728179760553102,1.2818593820706397,110.244,110.937,108.709,105.636
AFG,0.00425,0.0307,6.07,216.0,164.0,7280.0,658000.0,2.29e7,0.0231,1.98,0.41,8860.0,318000.0,67400.0,7.29e9,3.8e11,42.94243404515204,113.33238348054148,206.20385740792298,0.0,0.19122181802205174,0.37345181964526397,0.5780678822259324,0.0,2177.7675258370423,3100.279777802153,4239.216397580661,11939.525436732789,0.0005031172467369315,0.002200911321680867,0.005259698239073108,0.0,0.0193970839805191,0.022024540100097235,0.02322895167744588,0.023425243101046704,1.40229621854483,2.0189105676592174,2.7913768682604134,8.216017299257084,99638.13520368864,166666.53475813678,266302.84714836726,939293.6033156993,0.012837293501743492,0.01411855236741911,0.012890713192411222,0.06574885825692503,7.043582679411875e9,1.3727175472873886e10,1.5316665657568136e10,0.0,1.7110475019461133,1.9069239139258023,1.9945998961413354,2.0087684479990315,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.001,0.0144,5.84,224.0,164.0,7280.0,1.59e6,5.48e7,0.0594,1.92,0.41,11800.0,466000.0,106000.0,9.99e9,5.01e11,42.940759973087886,113.31653715571647,206.19881217452775,0.0,0.19121715885666724,0.37341918337543645,0.5780590423671617,0.0,6738.220683104249,7017.95299585831,7590.15628063871,13656.814709253355,0.000216380507176718,0.0007882465221938734,0.0015651719460641727,0.0,0.05046801870626544,0.056934379146549266,0.059878881986098795,0.06035766627227568,2.7909475278801104,3.1118883707404716,3.472642649979019,6.90519707496775,310759.34390009515,428312.6487421844,602858.2772375607,2.0579973574845511e6,0.017220708668456017,0.012998208119477188,0.008684482755534885,0.02419907842071389,6.340742511872978e9,1.4627329697001766e10,1.972364622575761e10,0.0,1.6619959337032768,1.8522570455943033,1.9374195707491695,1.9511819447026526,44834.707,59782.166,77420.355,142116.013
ALB,0.00392,0.00271,20.3,830.0,164.0,7280.0,57100.0,2.51e6,0.0291,1.94,0.41,29700.0,1.2e6,2070.0,8.76e7,5.07e9,42.940421546836745,113.31080033758123,206.19484915433347,0.0,0.19121621696308677,0.37340736770000305,0.5780520986198574,0.0,15067.940950562775,18112.216903466422,21767.875364132076,38436.94025253296,0.0004531837333075878,0.002080458381752081,0.005068574332888372,0.0,0.024635949420974877,0.027881855789774854,0.02936465962615582,0.02960603360442278,11.476067044724001,13.22114027559822,15.3560725005674,25.637592729658923,42815.57572763461,48873.32464921325,54437.48663635306,65683.61849210219,0.004969250134791255,0.003915032375649045,0.002539634805841212,0.0039281057344801446,2.267316949327022e8,2.6586427908469984e8,1.4996125297436723e8,0.0,1.6754268566574007,1.86722550680779,1.9530762474334278,1.9669498378950179,2786.972,2634.385,2424.052,1659.729
ARE,0.00575,0.0879,48.0,1980.0,164.0,7280.0,1.16e6,4.94e7,0.0762,1.78,0.41,94200.0,4.1e6,11200.0,-5.65e9,-3.03e11,42.940318227073284,113.30751203355199,206.19252489036595,0.0,0.191215929407351,0.37340059493634425,0.5780480261717903,0.0,73823.44629183674,80089.2414984278,85417.88033212679,104795.19297880537,0.0009024519835049502,0.0037216190676751418,0.008225276506886776,0.0,0.06469102568492167,0.07295491931008932,0.07671709218005658,0.07732878978706258,27.28126568268879,33.09812461453899,38.90196480268555,59.437493770686444,845860.2345121162,931654.1804653178,980242.323695967,1.3096581498477992e6,0.19549665094226154,0.13351076127076192,0.07421359808241479,0.10065389815850022,-6.711111279706072e9,-1.2260020151745945e10,-1.2405202447154507e10,0.0,1.5398767156444153,1.7161579267787832,1.7950629270089904,1.8078140768603252,10661.076,10648.314,10425.284,11600.276
ARG,0.00316,0.108,29.1,1170.0,164.0,7280.0,2.83e6,1.14e8,0.0317,1.48,0.41,48700.0,1.99e6,55200.0,-3.86e8,-1.26e10,42.94042519142898,113.3101989989087,206.19446433461562,0.0,0.19121622710657604,0.3734061291568017,0.5780514243610063,0.0,26201.0324438213,31664.89852662015,38012.646800215225,62057.65745228947,0.0004289473562484421,0.0017666267046692538,0.004030677285092599,0.0,0.026966665820096918,0.030350264913339472,0.03188561202700269,0.03213494455107363,14.81350114126702,17.647011782230727,21.331532949044192,37.992823371578645,1.3189826534537054e6,1.7083047046937235e6,2.162200996351439e6,3.7107886703333943e6,0.14489645866691123,0.11620349058704398,0.08021645897616447,0.1876597697682019,1.5249415405592377e9,9.172770765086974e8,-1.2931062864998693e9,0.0,1.2779248665856895,1.4242184892710466,1.4897007846182644,1.5002828080406796,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.00311,0.00332,25.3,1020.0,164.0,7280.0,92100.0,3.78e6,0.00881,1.87,0.41,37000.0,1.46e6,2600.0,1.12e8,6.42e9,42.940406692305324,113.31092339892534,206.19465415375342,0.0,0.1912161756205215,0.37340762116217896,0.5780517569511792,0.0,16165.163244746853,20090.318853338274,25839.283870034596,50000.52402057859,0.0004110102073759959,0.0017701501714838365,0.004115124838635151,0.0,0.007206273839641778,0.008348641231667684,0.008881527425352588,0.008968897845313547,12.910975306036951,15.131455682574178,18.578251169499822,33.04419426676071,48074.52818473672,58623.974116319354,73504.77326642405,118591.86529168225,0.005060374537370976,0.003995663140890432,0.002784113658098362,0.005543584616316834,2.512501130904512e8,3.2964775325618684e8,2.0850179617804134e8,0.0,1.6139625059859586,1.798724871953419,1.8814261107036094,1.894790737598205,2967.01,2905.147,2816.114,2350.729
AUS,0.00493,0.16,41.8,1800.0,164.0,7280.0,2.73e6,1.12e8,0.0393,1.85,0.41,72000.0,3.1e6,35200.0,-8.79e9,-4.65e11,42.940323859521946,113.30813724739919,206.19283326516148,0.0,0.19121594508338002,0.37340188266529084,0.5780485664902135,0.0,53962.25477570793,58003.01181164609,62154.667362654225,82630.58387038621,0.0007586640654988576,0.0031860295141628537,0.007105628879732451,0.0,0.03335183268691017,0.037633642872060176,0.0395832086359468,0.039900195909481226,31.338837235192806,33.65298937226064,36.15655238033849,47.90925178557549,1.581468686326321e6,1.8643189537748417e6,2.1563554333446887e6,3.342560100351304e6,0.3072745701241245,0.2287151009576534,0.1410330143262526,0.21582853040349442,-8.744734768092354e9,-1.768164802193431e10,-1.996127056418994e10,0.0,1.5947778004299509,1.7773439495858245,1.8590621426279175,1.872267908067623,28177.48,30572.49,32814.106,38899.744
AUT,6.78e-5,0.00705,59.4,2510.0,30.3,1800.0,823000.0,3.5e7,0.0067,1.84,0.0979,92000.0,3.89e6,8940.0,3.73e8,2.18e10,42.94034971998081,113.31031497108411,0.0,0.0,0.19121601705727131,0.37340636801831406,0.0,0.0,62254.08667812544,69393.47616755725,77077.81788307366,108347.0150762194,0.00023568122817864545,0.00024116016985070306,0.0,0.0,0.005398805686096991,0.006320877224577858,0.0067541632888731456,0.0068253795617609124,40.0285821390361,44.55681392201942,49.489268534405895,70.0402220102059,574483.6338627802,641616.0650441177,705973.2127590016,952260.6712612162,0.03467517794962586,0.005957841819479609,0.0,0.0,-3.995667245785094e7,1.8057889222666912e9,0.0,0.0,1.5897279936926194,1.7717160536816088,1.8531754889947722,1.866339438851598,9175.689,9211.788,9130.698,8729.407
AZE,0.00446,0.0177,22.8,938.0,164.0,7280.0,322000.0,1.34e7,0.0236,1.84,0.41,30600.0,1.26e6,10400.0,1.23e8,6.98e9,42.94046388244631,113.31005066714499,206.1940016701707,0.0,0.19121633478991107,0.37340582364589114,0.5780506137065025,0.0,18841.715721497316,21066.649248933507,23201.87253019939,35816.507952062086,0.0005880352073170938,0.0025325291774185564,0.005887495161685983,0.0,0.019897347618998886,0.02253742932805629,0.023744384295633265,0.023940904924550793,14.305081585576392,15.855862897901545,17.35476097886524,26.564113703866138,206132.37322732597,238394.74282939616,264255.22931227053,367241.68580855196,0.031042988982423282,0.0232467001048477,0.014320097246119793,0.02456051872413433,3.629986165298865e8,3.432109294291049e8,1.2213813627521437e8,0.0,1.5938088840494153,1.7762641140964321,1.8579326587826195,1.8711304009839476,10739.736,11055.063,11064.995,10013.683
