time,gross_output
2020,4.308663500000002e6
2021,4.367919332129782e6
2022,4.424770421677541e6
2023,4.479306129981093e6
2024,4.531620947591493e6
2025,4.581813546568424e6
2026,4.630419324228326e6
2027,4.677116581595569e6
2028,4.722002178870907e6
2029,4.765171869055775e6
2030,4.806720897217967e6
2031,4.84727300570854e6
2032,4.886411828582052e6
2033,4.924230639210916e6
2034,4.960820813074048e6
2035,4.99627189961855e6
2036,5.030792162566929e6
2037,5.064356383260099e6
2038,5.097052820982939e6
2039,5.128968243696637e6
2040,5.160187384635202e6
2041,5.190508192918482e6
2042,5.220287794474764e6
2043,5.2496041912353495e6
2044,5.278532575852659e6
2045,5.307145662536646e6
2046,5.335410728325444e6
2047,5.363494483787781e6
2048,5.391463233608923e6
2049,5.419381955319098e6
2050,5.447315114642848e6
2051,5.476456376702235e6
2052,5.505767385017119e6
2053,5.535302156242336e6
2054,5.56511231671498e6
2055,5.595246277023757e6
2056,5.628239405769573e6
2057,5.661727075642676e6
2058,5.695751761909792e6
2059,5.730354776240083e6
2060,5.765574419545565e6
2061,5.805431264892288e6
2062,5.846123851603138e6
2063,5.887685341569288e6
2064,5.930146116589066e6
2065,5.973534282982248e6
2066,6.022212797813442e6
2067,6.0720428634254765e6
2068,6.123047011910039e6
2069,6.175248531735344e6
2070,6.228671483912493e6
2071,6.28684516902303e6
2072,6.346441142175771e6
2073,6.407479947143635e6
2074,6.469979787285487e6
2075,6.533958509142803e6
2076,6.602540723504447e6
2077,6.672783037265029e6
2078,6.744700974487259e6
2079,6.818308262526289e6
2080,6.893618337722593e6
2081,6.9749712481519785e6
2082,7.0582796534178015e6
2083,7.1435611550289765e6
2084,7.230833747520219e6
2085,7.320114790985945e6
2086,7.4169717813407965e6
2087,7.516178461106382e6
2088,7.617752236038573e6
2089,7.721710447936985e6
2090,7.8280701495778505e6
2091,7.942850843138343e6
2092,8.060422108669119e6
2093,8.180807053350848e6
2094,8.3040334978913e6
2095,8.430134118653992e6
2096,8.56480548611478e6
2097,8.702767131064365e6
2098,8.844051971581912e6
2099,8.988693041477539e6
2100,9.136723803613488e6
