time,co2_emissions
2020,0.8024149847787366
2021,0.839085491734164
2022,0.8359493862072258
2023,0.7378434386921718
2024,0.6907774118156021
2025,0.6437810470581161
2026,0.5968493113387067
2027,0.5499773494168668
2028,0.5031604627218619
2029,0.45639412195857726
2030,0.3530491034181675
2031,0.32011356093430665
2032,0.2880836867767602
2033,0.25704053702909935
2034,0.227025595928198
2035,0.19785285443146847
2036,0.1698696832117711
2037,0.14274288435434554
2038,0.116447614203112
2039,0.09090512440635379
2040,0.06623163107382403
2041,0.05832240312199992
2042,0.05073171700615372
2043,0.0434163785661271
2044,0.03637648647360279
2045,0.029622424529291744
2046,0.023172137133434825
2047,0.016987115537647385
2048,0.011057329867077378
2049,0.005399229841686411
2050,0.0
2051,0.0
2052,0.0
2053,0.0
2054,0.0
2055,0.0
2056,0.0
2057,0.0
2058,0.0
2059,0.0
2060,0.0
2061,0.0
2062,0.0
2063,0.0
2064,0.0
2065,0.0
2066,0.0
2067,0.0
2068,0.0
2069,0.0
2070,0.0
2071,0.0
2072,0.0
2073,0.0
2074,0.0
2075,0.0
2076,0.0
2077,0.0
2078,0.0
2079,0.0
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,0.0
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
