time,gross_output
2020,4.308663500000002e6
2021,4.367919332129782e6
2022,4.424770417473193e6
2023,4.479306108785204e6
2024,4.531620894366063e6
2025,4.581813453389947e6
2026,4.630419193780169e6
2027,4.677116427447531e6
2028,4.72200202415741e6
2029,4.765171745440949e6
2030,4.806720844811232e6
2031,4.84725729736721e6
2032,4.886378148849331e6
2033,4.92417683800376e6
2034,4.960745123936632e6
2035,4.996173150477844e6
2036,5.03066970232073e6
2037,5.0642107292758105e6
2038,5.096885365583991e6
2039,5.128781344800515e6
2040,5.15998434650132e6
2041,5.190293621988561e6
2042,5.220061461584256e6
2043,5.249366344414704e6
2044,5.2782839058890045e6
2045,5.306887361811684e6
2046,5.33514458562022e6
2047,5.36322299611154e6
2048,5.391189552054831e6
2049,5.419109901257412e6
2050,5.447049291129039e6
2051,5.476202119933069e6
2052,5.505524338088822e6
2053,5.535069965086843e6
2054,5.564890629959185e6
2055,5.5950347458767425e6
2056,5.628037596076099e6
2057,5.661534658206484e6
2058,5.695568411142285e6
2059,5.730180169843086e6
2060,5.76540823929211e6
2061,5.805273089211342e6
2062,5.845973386665535e6
2063,5.887542298384153e6
2064,5.930010212337467e6
2065,5.973405241116435e6
2066,6.022090259408034e6
2067,6.071926575580601e6
2068,6.122936726791714e6
2069,6.175144006756503e6
2070,6.228572481910274e6
2071,6.286751406180069e6
2072,6.346352400220349e6
2073,6.407396013318408e6
2074,6.469900454647842e6
2075,6.533883576705156e6
2076,6.602469963048304e6
2077,6.672716265010148e6
2078,6.744638012414658e6
2079,6.818248938503128e6
2080,6.89356248550131e6
2081,6.974918674667708e6
2082,7.058230209091581e6
2083,7.143514695484989e6
2084,7.230790133489546e6
2085,7.320073888192291e6
2086,7.4169334317259835e6
2087,7.516142545042884e6
2088,7.6177186384193115e6
2089,7.721679058330974e6
2090,7.828040862182121e6
2091,7.942823536031907e6
2092,8.060396688759291e6
2093,8.180783431339219e6
2094,8.304011588143644e6
2095,8.430113838982448e6
2096,8.564786745361492e6
2097,8.702749856535742e6
2098,8.844036093735069e6
2099,8.988678494065935e6
2100,9.136710523736808e6
