time,consumption_ede
2020,31.511249412005416
2021,31.935470903736846
2022,32.33789465375621
2023,32.72276762026745
2024,33.09273219310966
2025,33.448761467201045
2026,33.80366508822017
2027,34.14569964444891
2028,34.4755274148938
2029,34.793802088307764
2030,35.08747346445784
2031,35.395466512111
2032,35.69434904987644
2033,35.986939997997446
2034,36.27074197203492
2035,36.54708090533635
2036,36.83316919190068
2037,37.11478239072247
2038,37.39232425485603
2039,37.66629971118591
2040,37.93789625457092
2041,38.220731451866286
2042,38.502004550809716
2043,38.781188993645344
2044,39.05872897514517
2045,39.33484343459615
2046,39.629204555861776
2047,39.9248117404472
2048,40.2220366767121
2049,40.522243242444915
2050,40.826138241571705
2051,41.145085356062374
2052,41.46713564174266
2053,41.792543896879586
2054,42.12137154476115
2055,42.453535645738775
2056,42.802541199533714
2057,43.1566417783355
2058,43.51698197449136
2059,43.883566735855105
2060,44.25726483329441
2061,44.648282267108954
2062,45.04669025330866
2063,45.453371341262226
2064,45.868372293388866
2065,46.291863479381945
2066,46.7339026853062
2067,47.18440372292636
2068,47.64526961367184
2069,48.11745786592632
2070,48.60156967128534
2071,49.11288481480718
2072,49.635760973796124
2073,50.17108519283711
2074,50.719178263142666
2075,51.280183845373635
2076,51.87298842585041
2077,52.47829577866844
2078,53.097253243973874
2079,53.730029802722456
2080,54.37717668967773
2081,55.05692393685067
2082,55.751719934568264
2083,56.463561974829545
2084,57.192387567943435
2085,57.93832341299222
2086,58.71805371833307
2087,59.51398588123592
2088,60.328145467146896
2089,61.16035487130316
2090,62.01029972667796
2091,62.89712946955463
2092,63.80221311527045
2093,64.72907234121644
2094,65.67901365016887
2095,66.65147018002774
2096,67.67039028872716
2097,68.711058118542
2098,69.77535276637022
2099,70.86309032010682
2100,71.97375428991239
