country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.00386,0.000383,38.5,1580.0,164.0,7250.0,7760.0,323000.0,0.0483,1.26,0.409,69200.0,2.85e6,107.0,-1.29e7,-6.58e8,39.63463201264735,112.23064797444844,205.96594143338558,0.0,0.18187795022764974,0.37117864738943207,0.577650936363453,0.0,40325.766930690974,45866.922154188585,54052.31613020086,87825.65231629374,0.0004618558272471693,0.002133179677928791,0.004934396903272765,0.0,0.04125593455132685,0.04635030625665,0.04866311535110569,0.0490408677249175,22.26452364661816,24.580668769093673,28.806508566915355,49.59859100210179,4640.458924574232,5357.220798443417,6222.1285395296745,9732.529740266282,0.0006324175664798207,0.0004485110601695918,0.00028337207406583284,0.0006036279386297796,-8.86566154735865e6,-2.0650905993010696e7,-2.814029577914683e7,0.0,1.0904258018188573,1.2152680141343757,1.2712962414123496,1.2804093742473117,110.244,110.937,108.709,105.636
AFG,0.00424,0.0307,6.06,216.0,164.0,7250.0,658000.0,2.29e7,0.023,1.98,0.409,8860.0,318000.0,67400.0,7.24e9,3.77e11,39.68720897509535,112.11376292639342,205.92060864081517,0.0,0.18202870558744877,0.370936992642268,0.5775714705222774,0.0,2168.08940922125,3097.7106287457946,4238.750537957161,11939.91097297067,0.0004426245963399159,0.0021625841617043512,0.005247962810919366,0.0,0.019367148591139943,0.021990332061931666,0.02319595982086383,0.02339373191388668,1.393323928706391,2.016870137039211,2.7911092584290627,8.21629477197993,99656.00259393445,166593.45054304608,266249.5421400383,939295.0120970637,0.012985538930564424,0.014169005226243342,0.012903296048695312,0.06574895686907987,6.551825500108063e9,1.3640620209516047e10,1.532695373717809e10,0.0,1.7087778708141157,1.9044148498661517,1.9922152254202237,2.006496178508639,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.000999,0.0144,5.84,224.0,164.0,7250.0,1.59e6,5.48e7,0.0594,1.92,0.409,11800.0,466000.0,106000.0,9.95e9,4.98e11,39.643932783560786,112.19962015262954,205.95132289172216,0.0,0.18190462403919416,0.3711145079240814,0.5776253115969183,0.0,6729.198581659154,7016.300927508548,7590.503981467204,13658.149056069542,0.00019003868521791552,0.0007756601200596244,0.001562120380470989,0.0,0.050393986992605354,0.05685057510816919,0.05979838008565719,0.06028082614927406,2.7803164697564218,3.1102595082790376,3.4729815138596023,6.906038583067454,310769.7186832294,428267.9847635401,602827.0668388318,2.0580492853998642e6,0.017419573899729954,0.013044657411313464,0.00869295983486971,0.02419968901804547,5.897725308671029e9,1.4533584532086952e10,1.9735094700171665e10,0.0,1.6597913673729463,1.8498199102957231,1.9351032627348093,1.948974815649242,44834.707,59782.166,77420.355,142116.013
ALB,0.00391,0.00271,20.3,830.0,164.0,7250.0,57100.0,2.51e6,0.0291,1.94,0.409,29700.0,1.2e6,2070.0,8.63e7,4.98e9,39.635979001793146,112.22398832004303,205.96092413974785,0.0,0.18188181342208487,0.3711648813802002,0.5776421416520997,0.0,15063.516453235028,18112.738685162327,21769.21031017474,38438.98490621618,0.0003978892013715773,0.002048129530145231,0.005059233534030022,0.0,0.024598875509659734,0.027839695449440132,0.029324082641513458,0.02956729056102568,11.469864397464116,13.221121849366055,15.35710244374572,25.639059812313498,42815.86118382395,48873.06443021773,54437.733323675304,65684.64079306537,0.005026635176042399,0.00392902280261355,0.002542113788912124,0.003928166871585073,2.1030032721005744e8,2.6400801327859056e8,1.503905860824487e8,0.0,1.673204474783765,1.8647686765293605,1.95074122086877,1.9647248725884223,2786.972,2634.385,2424.052,1659.729
ARE,0.00573,0.0881,48.0,1980.0,164.0,7250.0,1.16e6,4.94e7,0.0761,1.78,0.409,94200.0,4.1e6,11200.0,-5.61e9,-3.0e11,39.63696944044688,112.24778420936691,205.9767737256528,0.0,0.1818846539904735,0.37121406787465927,0.577669923792956,0.0,73880.25907059065,80115.2851427777,85434.54894925005,104809.83740080056,0.0007923759336821296,0.0036652230745458244,0.008211295383981599,0.0,0.06459639724878416,0.07284783645875818,0.07661424138787981,0.07723061913854293,27.30193427467485,33.109895422975825,38.9107171869067,59.446678489952895,845869.1116177022,931732.1687153158,980320.7108253762,1.3097218076118887e6,0.19775425180244718,0.13398786398034665,0.07428603930619018,0.10065879058184322,-6.271770847618337e9,-1.219044418966237e10,-1.2402624683712166e10,0.0,1.5378341352196816,1.713899865959828,1.7929168153938877,1.8057691220148606,10661.076,10648.314,10425.284,11600.276
ARG,0.00315,0.108,29.1,1170.0,164.0,7250.0,2.83e6,1.14e8,0.0316,1.48,0.409,48700.0,1.99e6,55200.0,-3.96e8,-1.33e10,39.63697296139251,112.22885238686958,205.9639843990142,0.0,0.1818846640884637,0.3711749358042937,0.5776475059275054,0.0,26201.091104546453,31667.296217480187,38015.37396902139,62061.17036941038,0.00037662528462919885,0.0017393120692788403,0.0040233585544113565,0.0,0.026927833486918712,0.030306517688219632,0.031843680954061655,0.032094935169959836,14.807523834115438,17.647704076411095,21.333390947271866,37.9952289417462,1.318996026649456e6,1.7083263001161385e6,2.162241711822134e6,3.7108548760183514e6,0.14656972707405586,0.11661874550503407,0.08029475970009259,0.18766311788222836,1.399053684626987e9,9.061814110771278e8,-1.2829176025274084e9,0.0,1.2762297540547645,1.422344552194468,1.487919752817767,1.4985857250070092,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.0031,0.00333,25.3,1020.0,164.0,7250.0,92100.0,3.78e6,0.0088,1.87,0.409,37000.0,1.46e6,2600.0,1.11e8,6.33e9,39.635504555129856,112.22116056264815,205.95907684052324,0.0,0.18188045270425757,0.37115903609918843,0.5776389035388527,0.0,16160.14097919305,20090.09239984514,25839.9730251459,50001.528178348206,0.0003608545984189713,0.0017425688611822318,0.004107487582845307,0.0,0.007193425769761344,0.008333587990546527,0.00886685672083024,0.008954862344443934,12.903441092161255,15.130775333306655,18.578816446750555,33.04491840747973,48074.771201035204,58623.09334185077,73504.6023370236,118592.59723221386,0.005118811885803119,0.004009941703104909,0.0027868312813605915,0.005543618830925578,2.331052054991829e8,3.2739187812285024e8,2.0899970641770226e8,0.0,1.6118216539375518,1.7963581724241617,1.8791767464231792,1.892647396892106,2967.01,2905.147,2816.114,2350.729
AUS,0.00491,0.16,41.8,1800.0,164.0,7250.0,2.73e6,1.13e8,0.0392,1.84,0.409,72000.0,3.1e6,35200.0,-8.75e9,-4.62e11,39.63607290493443,112.2400643483759,205.9704640939018,0.0,0.1818820827365194,0.371198111223612,0.5776588639736799,0.0,53990.325051085936,58015.56748283483,62162.20162868035,82636.85846474007,0.0006661018368821251,0.0031373708428540322,0.00709318056704505,0.0,0.03330280996219728,0.0375781535585954,0.03952991045419582,0.039849322969722406,31.353200363078866,33.66034204841975,36.16136876852448,47.913357926898065,1.5814802823851963e6,1.8644238698373619e6,2.156468636561606e6,3.342650385566974e6,0.3108229855597949,0.22953241780425984,0.14117067918032933,0.2158343601043316,-8.179218909523713e9,-1.7581799660215706e10,-1.9953582703226074e10,0.0,1.592662396070716,1.7750053823294296,1.85683951589018,1.8701500446326507,28177.48,30572.49,32814.106,38899.744
AUT,6.51e-5,0.00708,59.4,2510.0,29.8,1770.0,823000.0,3.5e7,0.00669,1.84,0.0968,92000.0,3.89e6,8940.0,3.7e8,2.16e10,39.63507027842672,112.22590991953012,0.0,0.0,0.18187920718892792,0.3711688535030866,0.0,0.0,62256.53815873706,69393.47198058081,77079.08793631662,108348.76189754666,0.00020691779073556281,0.0002374209699832009,0.0,0.0,0.005388492502373918,0.006308665144015548,0.006742209833612459,0.006813935873035889,40.028436205744896,44.5565554368165,49.4901639908045,70.0414246057725,574485.7758969394,641617.725362529,705975.1938173368,952265.2003790898,0.035075607886347816,0.0059791322566570765,0.0,0.0,-4.188829791410794e7,1.793981172218664e9,0.0,0.0,1.5876192876854576,1.769384891414601,1.8509599001249257,1.8642282815552735,9175.689,9211.788,9130.698,8729.407
AZE,0.00444,0.0178,22.8,938.0,164.0,7250.0,322000.0,1.34e7,0.0235,1.84,0.409,30600.0,1.26e6,10400.0,1.21e8,6.82e9,39.64032915839292,112.2293657894633,205.96380294864787,0.0,0.1818942894304627,0.37117599703992554,0.577647187867138,0.0,18841.27380527766,21068.19743425156,23203.514193481136,35818.16532207756,0.0005163782302070292,0.0024933964075990523,0.005876817915801651,0.0,0.019867210127980355,0.022503120073464895,0.02371134887721628,0.023909360393733207,14.304149359011888,15.856902295207538,17.355974210333386,26.565330515055148,206136.86101738783,238398.27505001018,264260.51408282114,367247.36538663576,0.03140147429811368,0.023329772536637927,0.014334075349808285,0.0245608985649565,3.334024265518266e8,3.399535888010032e8,1.2413418685632667e8,0.0,1.591694764916207,1.7739269676499592,1.855711382414478,1.8690138242690268,10739.736,11055.063,11064.995,10013.683
