country,quantile,conso_npv,tax_npv,conso_2030,conso_2040,conso_2050,conso_2080,tax_2030,tax_2040,tax_2050,tax_2080
ABW,First,503.0,1.23,6.198084093686787,7.145243752665829,8.717703800527437,16.715416388803778,0.021240777490394103,0.023498252969343675,0.025727985576711444,0.032565684218051956
ABW,Second,856.0,1.96,11.195776140001504,12.574691942954384,15.09738778231659,27.81285998584648,0.03614432644390242,0.038877374173565064,0.041532943872724874,0.049333807877320134
ABW,Third,1060.0,2.37,14.376539484913643,15.942892353082694,18.93455752460402,33.805343788692504,0.04523667423387522,0.047991975187652684,0.05059466180993213,0.057887807582507986
ABW,Fourth,1350.0,2.91,18.95897401442737,20.955130451823706,24.650594639037468,42.19844206950125,0.057303730536763964,0.06001667485241587,0.0625502933696019,0.06945439592456501
ABW,Fifth,1620.0,3.4,23.44297859918198,25.875401316024366,30.17486224966447,49.52653239331791,0.06853848085634814,0.07103477170994907,0.07331078855321374,0.07923881540588831
ABW,Sixth,1990.0,4.07,29.42017610561211,32.13050666964046,37.184360111169276,60.00978801269182,0.08418502884841444,0.08627889132015382,0.08815812982013602,0.09282980234611547
ABW,Seventh,2360.0,4.71,35.9637581656994,39.14911663068958,44.920744744346244,69.83172255432999,0.10001224533483814,0.1014506383372326,0.10265489006962149,0.10520802278493784
ABW,Eighth,3010.0,5.81,47.17781448625818,51.013865833518174,57.98870243534865,87.14737064664466,0.1269033691820927,0.12706635106636668,0.12709221333991266,0.12636141504487886
ABW,Ninth,3730.0,7.0,60.909490492938296,65.56576458255061,73.6329308599047,104.8376014256047,0.15800467480110073,0.1560326487226445,0.15396425765801022,0.14726608855001727
ABW,Tenth,7150.0,12.4,126.98896261778667,133.7156842252826,145.8964829143416,188.61533859634164,0.3024306922722701,0.28775242166067605,0.27441383593013546,0.2398541602657171
AFG,First,107.0,1.34,0.5365340243945632,0.7749104299846399,1.1618729348420729,4.304650319489287,0.01714068729376607,0.020147211115918624,0.02483550853667521,0.042975627064653445
AFG,Second,148.0,2.12,0.8051452993973466,1.1414007883892063,1.6736041852944534,5.861847118019501,0.03236769829746127,0.036308354504338385,0.04211455621952114,0.0612605386766967
AFG,Third,162.0,2.46,0.9256582262185135,1.2989534660145845,1.8800796129153736,6.37300846314742,0.04035916803772371,0.04436778576637576,0.050039425662811075,0.06743851771744715
AFG,Fourth,186.0,3.01,1.109776453592008,1.5504503497278244,2.221017915143252,7.271261869544072,0.05317809725999902,0.05726308031701181,0.06285830566716114,0.07847812354233781
AFG,Fifth,204.0,3.45,1.2587500112467707,1.753086349038739,2.4884155038507494,7.879999371174275,0.06427527834949173,0.0681201968996018,0.07318035658571315,0.0860819344655977
AFG,Sixth,230.0,4.14,1.4642579033128933,2.0220583374308343,2.8437787043852647,8.834694529186846,0.08167551088121382,0.08501857858036975,0.08920925058274073,0.09818922534140923
AFG,Seventh,249.0,4.7,1.6457335071262604,2.263912212101371,3.1548046014196864,9.495838459518948,0.09751082116792723,0.0999537271662268,0.10269727582185953,0.10669486555967994
AFG,Eighth,287.0,5.83,1.9684036002652325,2.689901281589404,3.709245448551266,10.83685946578911,0.1286503370661193,0.12915607151354383,0.12913290526602192,0.12422594297049018
AFG,Ninth,313.0,6.76,2.2567535609899303,3.068531689436536,4.1773078620210935,11.653463481649245,0.15811116798244873,0.15562363854159458,0.1513313695942009,0.13507088702463588
AFG,Tenth,452.0,12.0,3.5956211512562923,4.790063057099509,6.329981027646339,16.35054323983488,0.3267312336638491,0.30404135559501877,0.27460104606329516,0.199584337637052
AGO,First,68.0,0.632,0.7122179311784534,0.7944998915477937,0.9068596215880128,2.2389187258504277,0.00888610328145148,0.009834840969558448,0.010866057249179713,0.019431790523126432
AGO,Second,117.0,1.21,1.3155069394059706,1.4397365276252783,1.6296466367694191,3.8052710012143547,0.019250419434932626,0.020814631512754447,0.02244509783942416,0.03448600202561283
AGO,Third,146.0,1.58,1.7038473758992168,1.8447858373754078,2.075799936453575,4.678490198077366,0.026689235288551754,0.028472463571484107,0.03031361116164106,0.04317706488520592
AGO,Fourth,186.0,2.11,2.247731101414086,2.4176537896174244,2.705057824652022,5.8946855672809795,0.03764491651850955,0.03971822775112075,0.041812657470855025,0.05556061452261473
AGO,Fifth,223.0,2.62,2.7757581755170655,2.9695293470917457,3.304543239295226,6.974602315202996,0.0488506892325512,0.05103964266531686,0.05322244214999579,0.06678787401023505
AGO,Sixth,274.0,3.39,3.50800891705895,3.7223922354127126,4.126600651346389,8.517794478502312,0.06588149430470865,0.06817244349671327,0.07039327391392934,0.08315266945714288
AGO,Seventh,325.0,4.19,4.287843124126792,4.522050302026859,4.987355703722791,9.990930325100052,0.08465994488748982,0.08675041350370323,0.08873678229404147,0.09907973850950243
AGO,Eighth,414.0,5.67,5.640399689468596,5.9024527133326385,6.475459211526471,12.580209772743856,0.11970445342613888,0.12129271187262378,0.12266417510438477,0.12768783275859563
AGO,Ninth,513.0,7.43,7.279985902550701,7.5528538366980085,8.22445124198955,15.302320179719294,0.16472631972227567,0.1646107293643158,0.16432581401515592,0.15848008377130898
AGO,Tenth,986.0,17.0,15.293965404946059,15.478881936075236,16.587170812391744,28.236642395704973,0.42370642390339047,0.40929389529240934,0.3952200888013928,0.31215632953665523
ALB,First,383.0,1.83,5.309586689147294,6.109451638140456,7.094401133196515,11.674082263784172,0.035920021329465264,0.03709941407236096,0.0384942262013584,0.044215541383354595
ALB,Second,552.0,2.64,7.63945800386668,8.763198738167937,10.186347477355167,16.952558035029455,0.05385286235625403,0.05495681301284743,0.056259716094421076,0.0615080669805179
ALB,Third,620.0,2.97,8.56742548349585,9.811825972059923,11.411297688750437,19.096291744675202,0.061293403382722426,0.062352696405281044,0.06358092041144671,0.06835375638420246
ALB,Fourth,729.0,3.47,10.068404772611485,11.56288382748401,13.462839532608001,22.42086194411183,0.07298897106369759,0.0738710994286364,0.07489226049386594,0.07881074836084376
ALB,Fifth,813.0,3.86,11.216177595480325,12.924392009112731,15.06458669629525,24.92363973764666,0.08190167515469006,0.08263640376912794,0.08347384779319897,0.08657222465017066
ALB,Sixth,931.0,4.43,12.825740906917352,14.740931686135761,17.185218136658154,28.64543098025975,0.09531279461669064,0.09574132942532367,0.09622771909321938,0.09796308546648638
ALB,Seventh,1030.0,4.88,14.157889658524919,16.31394784110683,19.03742614646748,31.58071553358212,0.106005742102668,0.10618937740823989,0.10637567057693526,0.1068348417031058
ALB,Eighth,1210.0,5.72,16.599506227079583,19.13689145619175,22.348502754150967,37.08842291248603,0.12632543321163395,0.12589580647560406,0.12538745637274898,0.12325235785777305
ALB,Ninth,1350.0,6.38,18.546351074590643,21.46643233185652,25.103622322385295,41.33940682416428,0.14220287469975412,0.14133422560600808,0.1402722618285768,0.13574564736457106
ALB,Tenth,2040.0,9.67,27.949101651201055,32.33304939817617,37.879083169227584,62.70674896861553,0.22419622208242385,0.21992283439657068,0.2150359211342285,0.19674372984897448
ARE,First,773.0,1.66,9.404170404001555,11.940101381961199,14.521938135767513,24.31715511963657,0.031347882941730396,0.032247618980253676,0.03405839365726768,0.04219531034568437
ARE,Second,1210.0,2.43,15.470430475709653,19.18548882304514,23.02675318066514,37.11050177573077,0.04799239715286865,0.04898532125163347,0.05095216205415766,0.05932146763138076
ARE,Third,1410.0,2.81,18.742469733181757,22.962580864835523,27.313854674741346,42.85966288189434,0.05666252346639644,0.05757060155679094,0.059350809746796324,0.0666621744654122
ARE,Fourth,1740.0,3.32,23.676850752946613,28.988974654066777,34.18465781354612,51.40459613344591,0.06832055693605586,0.06916186753315039,0.07079450809592884,0.07726825485224331
ARE,Fifth,2010.0,3.74,28.15188908507545,34.49829447854636,40.35775219500831,58.179127818714825,0.07829174978569876,0.07899549838980169,0.08034426702049678,0.08546098016754043
ARE,Sixth,2370.0,4.33,33.92475139641956,41.13776031503931,47.83020505971538,68.08405524798331,0.09211556918841056,0.09264756331171631,0.09364643012308001,0.09715383614072173
ARE,Seventh,2720.0,4.85,39.874552708388244,48.30739094215983,55.73232866099187,76.38693226079161,0.10486472091801258,0.10512234108347036,0.10557471038758748,0.10673244632517621
ARE,Eighth,3320.0,5.75,49.992925056330535,60.2497327323641,68.94799642123228,91.55967380338183,0.12657933082512837,0.1264213212830322,0.12605414395738507,0.12379851251609536
ARE,Ninth,3910.0,6.59,60.994025299576336,73.4087967950927,83.09381870965966,104.52920625975618,0.14846217800069028,0.14757824573791556,0.1458043926205625,0.13800845055712427
ARE,Tenth,6630.0,10.4,110.83666633384055,131.06286368436102,144.83595657250544,167.4698072731138,0.24536309078500804,0.2412696208722354,0.23342018233673756,0.20339856699862124
ARG,First,440.0,1.44,4.823366799973369,5.87288823290038,7.3643195681841815,15.267791008760495,0.023349140586783602,0.025635249588181704,0.028984870751593953,0.04019770061916421
ARG,Second,695.0,2.2,8.10780324330298,9.735365782669053,12.029747036663801,23.44935238071967,0.03908698827060052,0.04173934129904383,0.04552431169362577,0.05733292233555953
ARG,Third,823.0,2.58,9.960302134504559,11.876061341135763,14.540435222216427,27.26210888785156,0.04797312333590145,0.050609634842059374,0.05426247542888272,0.06496252230024346
ARG,Fourth,1010.0,3.11,12.616849794102128,15.024784817971044,18.253572521908033,32.82797816434562,0.060195108602631976,0.06272066421468427,0.06616149096624015,0.07579663019769318
ARG,Fifth,1170.0,3.56,15.03614967741142,17.900737549976498,21.595318598351636,37.32545314956946,0.0711254078423348,0.07340374101094685,0.07642235528258491,0.08433171183459871
ARG,Sixth,1400.0,4.2,18.317624556316723,21.678015312765517,25.984505624158096,43.84893442726897,0.08663518568535135,0.0884511290776453,0.0907928059883554,0.09642234856812804
ARG,Seventh,1600.0,4.78,21.620052240044135,25.554150987895067,30.41724591502987,49.444549473992176,0.10158729538105848,0.1027610224550441,0.10413781744911693,0.10656088440828393
ARG,Eighth,1970.0,5.79,27.311257199021497,32.17023975560501,37.9984227999793,59.55414724688314,0.1276460617561102,0.1275176590918286,0.1271211456839593,0.12442549822346453
ARG,Ninth,2340.0,6.79,33.553610525330676,39.45509543959592,46.142320696707415,68.53689246719802,0.15552500515543735,0.15352198821206187,0.1504515798572858,0.13988860892802385
ARG,Tenth,4040.0,11.4,62.59633308750826,72.78414476501295,83.18820004598766,111.53942445283084,0.2868766833837903,0.273639570208504,0.256141146898355,0.2100811725848405
ARM,First,447.0,1.75,5.6937246867764,6.658185906033286,8.188867664872916,14.315570237258228,0.033451130039786954,0.03496104016211357,0.03715798550952843,0.04354710752467679
ARM,Second,660.0,2.55,8.356289785883442,9.746056557300248,11.99441659342433,21.243399846405975,0.05114543537165956,0.05261635725434168,0.05474187768310505,0.06064459002514636
ARM,Third,751.0,2.9,9.4881796092492,11.053202378275902,13.607419808378284,24.25319764951044,0.058950085327030985,0.06036472636575806,0.062362997299959526,0.0677805234678318
ARM,Fourth,891.0,3.41,11.254343082946193,13.142514501286868,16.18697056146017,28.766315492479983,0.07083634022686731,0.07204678005601568,0.07374845711205981,0.07822548264028525
ARM,Fifth,1000.0,3.81,12.647462326609055,14.813905783157345,18.25315387769939,32.28317708745007,0.08018140098001808,0.08120234881862155,0.08260838760076952,0.08618421718805272
ARM,Sixth,1160.0,4.39,14.58292018123515,17.045190062001762,21.0067993985349,37.43790228736978,0.09404868646475062,0.09468804366784517,0.09555916040513004,0.09760786151099968
ARM,Seventh,1290.0,4.87,16.24020231667515,19.025775974119117,23.45653618205624,41.67612128540362,0.10553145213613709,0.1058345907328203,0.10619806677458753,0.1068139870450257
ARM,Eighth,1530.0,5.74,19.226298875601138,22.53684820135802,27.795582176699433,49.46134721986384,0.12691424384303363,0.12641686818681155,0.12568142663567256,0.123353536170187
ARM,Ninth,1730.0,6.46,21.759269598563794,25.597064722813435,31.58629735173714,55.914190713231804,0.14474827763457734,0.14358485898373516,0.1418263264809843,0.13675062417195802
ARM,Tenth,2700.0,9.96,33.709943581848755,39.66012104918659,48.986284812769775,87.38887733661159,0.23419294797613852,0.22828438577193744,0.22011531449820315,0.19909207025583678
AUS,First,718.0,1.77,12.715377057589642,13.81975565785397,14.8575414714462,18.40142541051719,0.038852246423632913,0.03859108378751254,0.03868444663242304,0.03825913809535878
AUS,Second,1100.0,2.55,19.417582504501095,20.92938244793915,22.516332202354285,28.835128650079284,0.05597031896982712,0.05570359343994058,0.05579902983838756,0.055363510755648
