time,consumption_ede
2020,31.511249412005416
2021,31.935470903736846
2022,32.33789465375621
2023,32.72276762026745
2024,33.09273219310966
2025,33.448761467201045
2026,33.80366508822017
2027,34.14569964444891
2028,34.4755274148938
2029,34.793802088307764
2030,35.62944705743453
2031,36.01318175802483
2032,36.387803162188625
2033,36.75428341504947
2034,37.10866269369363
2035,37.45492326387362
2036,37.79948647189105
2037,38.13622780458132
2038,38.46560049711214
2039,38.79014864138779
2040,39.10695786307482
2041,39.432627706600556
2042,39.74940735907924
2043,40.05857452238853
2044,40.36052531197161
2045,40.6549399773837
2046,40.97045572848529
2047,41.28206307393008
2048,41.59070781232146
2049,41.89655741919483
2050,42.201261836193865
2051,42.52474565348764
2052,42.84866401416138
2053,43.173208016672056
2054,43.49838595075991
2055,43.82410402426854
2056,44.16516343417117
2057,44.508725067398025
2058,44.8555264158663
2059,45.20537016843417
2060,45.56016622272661
2061,45.92639254865477
2062,46.295591093634634
2063,46.66774659805275
2064,47.04367250975389
2065,47.42244362057732
2066,47.814748914103404
2067,48.20955068684572
2068,48.60994635439695
2069,49.015412497585274
2070,49.42629929079953
2071,49.88331602921452
2072,50.34748651180005
2073,50.8213583886279
2074,51.305288410301024
2075,51.799455357903845
2076,52.31859688927017
2077,52.849478386604815
2078,53.38908551775578
2079,53.945858170054116
2080,54.581661467220755
2081,55.25064559872295
2082,55.93516452148552
2083,56.63720642317453
2084,57.35669207127564
2085,58.09373212841164
2086,58.86503627220197
2087,59.65293953227249
2088,60.45945853241082
2089,61.28440101875705
2090,62.12743795306567
2091,63.007738667753216
2092,63.90661569111844
2093,64.82758402311237
2094,65.77193881535062
2095,66.7390990741624
2096,67.75302961967344
2097,68.78896433794921
2098,69.84877372976486
2099,70.93226289810487
2100,72.03890439182837
