time,country_carbon_tax,country
2020,0.0,EU27
2021,0.0,EU27
2022,0.0,EU27
2023,0.0,EU27
2024,0.0,EU27
2025,0.0,EU27
2026,0.0,EU27
2027,0.0,EU27
2028,0.0,EU27
2029,0.0,EU27
2030,34.0625,EU27
2031,39.4375,EU27
2032,45.0625,EU27
2033,50.8125,EU27
2034,56.5625,EU27
2035,62.5625,EU27
2036,68.0625,EU27
2037,73.5625,EU27
2038,79.0625,EU27
2039,84.8125,EU27
2040,90.3125,EU27
2041,97.8125,EU27
2042,105.1875,EU27
2043,112.6875,EU27
2044,120.3125,EU27
2045,127.9375,EU27
2046,135.1875,EU27
2047,142.4375,EU27
2048,149.9375,EU27
2049,157.1875,EU27
2050,164.6875,EU27
2051,170.8125,EU27
2052,177.0625,EU27
2053,183.3125,EU27
2054,189.8125,EU27
2055,196.3125,EU27
2056,202.5625,EU27
2057,208.8125,EU27
2058,215.3125,EU27
2059,222.0625,EU27
2060,228.5625,EU27
2061,237.3125,EU27
2062,246.0625,EU27
2063,255.0625,EU27
2064,264.0625,EU27
2065,273.3125,EU27
2066,282.5625,EU27
2067,292.0625,EU27
2068,301.5625,EU27
2069,311.3125,EU27
2070,321.3125,EU27
2071,328.0625,EU27
2072,335.0625,EU27
2073,342.0625,EU27
2074,349.0625,EU27
2075,356.0625,EU27
2076,363.5625,EU27
2077,370.8125,EU27
2078,378.3125,EU27
2079,385.1410288027838,EU27
2080,384.7558877739812,EU27
2081,384.37113188620725,EU27
2082,383.98676075432076,EU27
2083,383.6027739935669,EU27
2084,383.21917121957284,EU27
2085,382.8359520483536,EU27
2086,382.45311609630517,EU27
2087,382.0706629802088,EU27
2088,381.6885923172286,EU27
2089,381.3069037249115,EU27
2090,380.92559682118673,EU27
2091,380.54467122436535,EU27
2092,380.16412655314105,EU27
2093,379.7839624265877,EU27
2094,379.4041784641613,EU27
2095,379.0247742856972,EU27
2096,378.6457495114117,EU27
2097,378.26710376190016,EU27
2098,377.8888366581379,EU27
2099,377.51094782147993,EU27
2100,377.1334368736587,EU27
2101,0.0,EU27
2102,0.0,EU27
2103,0.0,EU27
2104,0.0,EU27
2105,0.0,EU27
2106,0.0,EU27
2107,0.0,EU27
2108,0.0,EU27
2109,0.0,EU27
2110,0.0,EU27
2111,0.0,EU27
2112,0.0,EU27
2113,0.0,EU27
2114,0.0,EU27
2115,0.0,EU27
2116,0.0,EU27
2117,0.0,EU27
2118,0.0,EU27
2119,0.0,EU27
2120,0.0,EU27
2121,0.0,EU27
2122,0.0,EU27
2123,0.0,EU27
2124,0.0,EU27
2125,0.0,EU27
2126,0.0,EU27
2127,0.0,EU27
2128,0.0,EU27
2129,0.0,EU27
2130,0.0,EU27
2131,0.0,EU27
2132,0.0,EU27
2133,0.0,EU27
2134,0.0,EU27
2135,0.0,EU27
2136,0.0,EU27
2137,0.0,EU27
2138,0.0,EU27
2139,0.0,EU27
2140,0.0,EU27
2141,0.0,EU27
2142,0.0,EU27
2143,0.0,EU27
2144,0.0,EU27
2145,0.0,EU27
2146,0.0,EU27
2147,0.0,EU27
2148,0.0,EU27
2149,0.0,EU27
2150,0.0,EU27
2151,0.0,EU27
2152,0.0,EU27
2153,0.0,EU27
2154,0.0,EU27
2155,0.0,EU27
2156,0.0,EU27
2157,0.0,EU27
2158,0.0,EU27
2159,0.0,EU27
2160,0.0,EU27
2161,0.0,EU27
2162,0.0,EU27
2163,0.0,EU27
2164,0.0,EU27
2165,0.0,EU27
2166,0.0,EU27
2167,0.0,EU27
2168,0.0,EU27
2169,0.0,EU27
2170,0.0,EU27
2171,0.0,EU27
2172,0.0,EU27
2173,0.0,EU27
2174,0.0,EU27
2175,0.0,EU27
2176,0.0,EU27
2177,0.0,EU27
2178,0.0,EU27
2179,0.0,EU27
2180,0.0,EU27
2181,0.0,EU27
2182,0.0,EU27
2183,0.0,EU27
2184,0.0,EU27
2185,0.0,EU27
2186,0.0,EU27
2187,0.0,EU27
2188,0.0,EU27
2189,0.0,EU27
2190,0.0,EU27
2191,0.0,EU27
2192,0.0,EU27
2193,0.0,EU27
2194,0.0,EU27
2195,0.0,EU27
2196,0.0,EU27
2197,0.0,EU27
2198,0.0,EU27
2199,0.0,EU27
2200,0.0,EU27
2201,0.0,EU27
2202,0.0,EU27
2203,0.0,EU27
2204,0.0,EU27
2205,0.0,EU27
2206,0.0,EU27
2207,0.0,EU27
2208,0.0,EU27
2209,0.0,EU27
2210,0.0,EU27
2211,0.0,EU27
