time,temp,e_gtco2_club,total_tax_revenue
2020,1.1730635369796556,35.91529312414241,0.0
2021,1.2119102787255247,36.661854023122295,0.0
2022,1.2632866578706956,37.11433935699451,0.0
2023,1.315423890428984,37.36863953215092,0.0
2024,1.359139122874682,37.76795406629869,0.0
2025,1.394657378669077,38.17074193578465,0.0
2026,1.4239407981424814,38.20791466933767,0.0
2027,1.4493359541093394,38.24842783104569,0.0
2028,1.4732899732236007,38.29305975914251,0.0
2029,1.4964528572671343,38.34254831948523,0.0
2030,1.5182372263530057,31.09415376407325,1.3245735053093839e9
2031,1.5384238401276253,30.074786316939605,1.4830530479626007e9
2032,1.5573757668530632,29.068198695813066,1.63760263733314e9
2033,1.5773082141244823,28.087216476570248,1.7839920286915207e9
2034,1.5998857733650211,27.142589887341583,1.9188529817500446e9
2035,1.6218886207904841,26.20407545897844,2.0488068585866904e9
2036,1.6417548102475403,25.238072620751453,2.1466047659110668e9
2037,1.658712141045252,24.301202872741783,2.233842651063531e9
2038,1.672618403568453,23.391716875252683,2.3109601899302807e9
2039,1.6841052955015012,22.48523915724296,2.3829760552058053e9
2040,1.692189932134784,21.62699116647866,2.440749057674531e9
2041,1.6983194127667116,20.57540063761257,2.514822088219709e9
2042,1.7038990513842305,19.56868688813919,2.5720556003514423e9
2043,1.7101166726445145,18.583826319551488,2.6167341289980536e9
2044,1.7174386354106062,17.62008918326308,2.648907070285316e9
2045,1.7275058279821685,16.686155184231936,2.6675175129080305e9
2046,1.7395628188787275,15.922653805691773,2.6897953794715886e9
2047,1.7518456555189157,15.174364568500314,2.7009948114032903e9
2048,1.762614887706736,14.423021596965105,2.702621933204107e9
2049,1.7688646267998704,13.703248245309634,2.6921567560636063e9
2050,1.7700896031646864,12.979759325944258,2.6720051424893055e9
2051,1.7691433260757576,12.506210919508389,2.670271440860657e9
2052,1.7682106762576904,12.034039863362178,2.663471479133207e9
2053,1.7672855505491663,11.571305635327763,2.651456205345027e9
2054,1.7675974299750699,11.101926747496048,2.634105588448866e9
2055,1.7707472211473532,10.641788349296688,2.6113950941516337e9
2056,1.7767692771801333,10.203343131118238,2.583518366246423e9
2057,1.7825928586264614,9.77240745829854,2.550751040482454e9
2058,1.786835013467509,9.333970405700214,2.5121506287216597e9
2059,1.7906822130830382,8.888481234057062,2.4672479550472455e9
2060,1.7923367773591057,8.465114343764853,2.418509621495943e9
2061,1.7912143967388463,7.938047259388366,2.3547473003045025e9
2062,1.7890177701620564,7.419006905993688,2.281924233507588e9
2063,1.7869284384238495,6.893922944137225,2.1979765261737523e9
2064,1.7855686237578405,6.376638049595115,2.1047887312140114e9
2065,1.7852125975251893,5.853442305877465,1.999773687781419e9
2066,1.7875525908622067,5.330528392030502,1.882759285966398e9
2067,1.7925489992459602,4.80285323449378,1.7534166534991744e9
2068,1.797707355648401,4.283545989100783,1.6146960466727567e9
2069,1.8006759687607479,3.7597374923563875,1.4630665976114974e9
2070,1.8004293738017936,3.2317225834519614,1.2979910782442598e9
2071,1.7973607590708867,2.876304016651982,1.1795093580786142e9
2072,1.793170215858869,2.511791740100945,1.0520090248969665e9
2073,1.7892746513939863,2.1505991915744587,9.195491699599233e8
2074,1.7851324976613125,1.7926759259708445,7.821949255114971e8
2075,1.7809103056811177,1.4379639781475757,6.400063112114644e8
2076,1.7770049745378613,1.061515537990013,4.824090534756175e8
2077,1.7739575979487736,0.7010514012190125,3.2494827839315635e8
2078,1.7729690949142203,0.3330228696574596,1.574833929716097e8
2079,1.7738935206181852,0.0,0.0
2080,1.7754457791932179,-6.264895186308551e-15,-3.013069136523859e-6
2081,1.7761374115936814,0.0,0.0
2082,1.7755637770426278,0.0,0.0
2083,1.773337396473929,-6.191315591857912e-15,-2.968757294632896e-6
2084,1.7700001829090923,0.0,0.0
2085,1.7655704962096797,0.0,0.0
2086,1.7601633782228834,0.0,0.0
2087,1.7558308710184765,0.0,0.0
2088,1.7529415601814815,0.0,0.0
2089,1.7520755172215239,0.0,0.0
2090,1.7542476972717065,0.0,0.0
2091,1.7583234864398043,0.0,0.0
2092,1.7635923666364355,0.0,0.0
2093,1.767377333725197,2.940678584265483e-15,1.3960282061941926e-6
2094,1.7670195638332515,0.0,0.0
2095,1.7644226177289741,0.0,0.0
2096,1.7608408694922448,0.0,0.0
2097,1.7574579685514369,0.0,0.0
2098,1.7550845961667283,0.0,0.0
2099,1.754345521607215,-5.6472679307629905e-15,-2.6648818364302308e-6
2100,1.7565502193514897,-5.607156009308212e-15,-2.6433075210964904e-6
2101,1.7628786562074064,25.05793325470687,0.0
2102,1.7721774019933294,24.85929994510475,0.0
2103,1.7821191433665229,24.64730097421617,0.0
2104,1.791587540009412,24.422847434460127,0.0
2105,1.79929459976074,24.186885059010518,0.0
2106,1.8061172184363226,23.940388488017174,0.0
2107,1.8133067803878826,23.684293062217982,0.0
2108,1.8213800730772556,23.4194830423402,0.0
2109,1.8310291704487445,23.146810827993395,0.0
2110,1.8430515563434058,22.86709027380154,0.0
2111,1.8590767831470665,22.58109295794091,0.0
2112,1.8756025139918062,22.2895269620965,0.0
2113,1.889467433863342,21.993167324679327,0.0
2114,1.9002501701841594,21.69283297242437,0.0
2115,1.9088668153859023,21.38930831283784,0.0
2116,1.9166060694165954,21.083309857474106,0.0
2117,1.9233819282208167,20.77548103898825,0.0
