country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.00659,0.000226,38.6,1580.0,296.0,11100.0,7760.0,323000.0,0.0474,1.24,0.686,69100.0,2.86e6,107.0,0.0,0.0,41.627984407790414,112.29344075251282,205.859375,480.9448597174765,0.18754226059147844,0.3713084297528071,0.5774641209702325,1.0000000000000002,40402.11065382713,46064.716019937674,54360.950257304525,86865.65864873429,0.0005001912335376443,0.002135119468979884,0.004930248869971114,0.011472697233419557,0.04131879158514314,0.0464253661396809,0.048738770717402985,0.048898468173062405,22.199940772411146,24.557955493879888,28.9557684631873,49.47491437803159,4640.449027110236,5358.970127680165,6228.254347156351,9736.544367447812,0.0006280376511983053,0.0004485649171234215,0.0002837765252824288,-1.3408761492044514e-19,-0.0,-0.0,-0.0,0.0,1.0919783151685885,1.2170926607816739,1.273122249087339,1.2769752860292274,110.244,110.937,108.709,105.636
AFG,0.0073,0.00766,5.89,208.0,296.0,11100.0,652000.0,2.26e7,0.0225,1.94,0.686,8620.0,308000.0,67400.0,0.0,0.0,41.627984407790414,112.29344075251282,205.859375,480.9448597174765,0.18754226059147844,0.3713084297528071,0.5774641209702325,1.0000000000000002,2031.3433656386678,2803.1461140346623,3901.0851845105694,11698.019525319636,0.00047833221911681897,0.002168218972603013,0.005245427133387972,0.012948181852723051,0.019399237911862547,0.02202931705272871,0.02323555001616001,0.023319150635856288,1.2666139150189992,1.7636390284319752,2.515363993068582,8.088074537921214,99637.42646770453,163401.3598529863,259558.40869922453,932269.906808883,0.01289560537492764,0.01388930752444528,0.012582219171905593,-1.4490011894436695e-17,-0.0,-0.0,-0.0,0.0,1.7112107740448892,1.907274206099063,1.9950767144841781,2.0011147083125946,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.00144,0.00658,5.7,217.0,296.0,11100.0,1.58e6,5.45e7,0.0582,1.89,0.686,11600.0,457000.0,106000.0,0.0,0.0,41.627984407790414,112.29344075251282,205.859375,480.9448597174765,0.18754226059147844,0.3713084297528071,0.5774641209702325,1.0000000000000002,6596.82369215704,6737.72093841456,7262.389770594768,13559.593186801647,0.00020573400321358682,0.0007767143736926389,0.0015609872381642362,0.002175083598778069,0.050473345162112805,0.05694608111499932,0.05989498125457354,0.06009892843827982,2.6288057042080206,2.8253354558850834,3.1621264056164664,6.868156774280075,310758.9236307176,426064.1098745161,596864.8527540091,2.0473011306126597e6,0.017298931681732126,0.012973527641397422,0.008610267471908127,-5.345347771430901e-18,-0.0,-0.0,-0.0,0.0,1.6621545251882848,1.8525972957433525,1.9378827198704056,1.9437476191085272,44834.707,59782.166,77420.355,142116.013
ALB,0.00631,0.00188,20.3,827.0,296.0,11100.0,57000.0,2.5e6,0.0285,1.9,0.686,29500.0,1.19e6,2070.0,0.0,0.0,41.627984407790414,112.29344075251282,205.859375,480.9448597174765,0.18754226059147844,0.3713084297528071,0.5774641209702325,1.0000000000000002,14986.879222825024,18000.4724195275,21684.000606393492,37989.69945718187,0.00043089139099825236,0.0020501896691443562,0.005055180664861041,0.011062366402386727,0.02463861690510201,0.027887743032748418,0.029372774711709057,0.0294755846185708,11.375128921170804,13.083001520757099,15.263980357161277,25.478463896684,42815.56768622723,48842.753084701624,54381.981195121756,65637.2213023936,0.004991822360287299,0.003925689653000761,0.0025405806805822773,-8.715985762808693e-19,-0.0,-0.0,-0.0,0.0,1.6755867297520524,1.8675685065866334,1.9535431393557365,1.9594554340225734,2786.972,2634.385,2424.052,1659.729
ARE,0.00867,0.0644,48.5,2010.0,296.0,11100.0,1.16e6,4.94e7,0.0746,1.75,0.686,94700.0,4.13e6,11200.0,0.0,0.0,41.627984407790414,112.29344075251282,205.859375,480.9448597174765,0.18754226059147844,0.3713084297528071,0.5774641209702325,1.0000000000000002,74455.78713431199,81394.94789926917,86908.32154017965,103530.73591210242,0.0008580632585024695,0.0036676459674777,0.008203691546849119,0.014216562172080756,0.06469783402341805,0.07296987178097418,0.07673766088017325,0.07699822618930191,27.516553258432364,33.71558970197921,39.823122877482085,59.22982518718002,845860.3763847509,933386.6667074363,983641.1144669167,1.3121125641400157e6,0.19638467114029803,0.13420564601772825,0.07457397291050995,-2.2391540265462972e-17,-0.0,-0.0,-0.0,0.0,1.540023654231996,1.7164731762155543,1.7954920451152385,1.800926006530692,10661.076,10648.314,10425.284,11600.276
ARG,0.00538,0.058,29.0,1170.0,296.0,11100.0,2.83e6,1.14e8,0.031,1.45,0.686,48600.0,1.99e6,55200.0,0.0,0.0,41.627984407790414,112.29344075251282,205.859375,480.9448597174765,0.18754226059147844,0.3713084297528071,0.5774641209702325,1.0000000000000002,26170.422805699316,31642.475495850333,38033.89923281292,61475.6513903417,0.0004078471576146327,0.0017409389613494155,0.0040200384435548926,0.00935463607334749,0.02696945965800472,0.03035637333500446,0.03189399735979543,0.03200021487812052,14.711003716510064,17.518155194319394,21.284824107344832,37.84894396870256,1.3189823891867516e6,1.7080072863701757e6,2.162063845662308e6,3.7102150055243582e6,0.14555463353231174,0.1165722155639339,0.0803230156698693,-4.1662397695535694e-17,-0.0,-0.0,-0.0,0.0,1.278046809123701,1.4244801109257763,1.490056904490138,1.4945664826572247,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.00501,0.002,25.2,1020.0,296.0,11100.0,92000.0,3.78e6,0.00858,1.83,0.686,36800.0,1.46e6,2600.0,0.0,0.0,41.627984407790414,112.29344075251282,205.859375,480.9448597174765,0.18754226059147844,0.3713084297528071,0.5774641209702325,1.0000000000000002,16080.790277580909,19958.789050645242,25730.67413124102,49539.46908090952,0.00039079262230786414,0.0017443930729002524,0.004104256960772937,0.00864684592199707,0.007207198443046226,0.00835074369448221,0.008884462041808913,0.00892165760884544,12.794902999407908,14.962646558397452,18.458591951861404,32.88965306959596,48074.52161304226,58569.58749333865,73405.55959463966,118517.6318398043,0.0050833606845870835,0.004005330019842705,0.0027842279045958386,-1.2301525506420664e-18,-0.0,-0.0,-0.0,0.0,1.6141165140105156,1.79905528851587,1.881875874328897,1.8875712718204072,2967.01,2905.147,2816.114,2350.729
AUS,0.00733,0.11,42.1,1810.0,296.0,11100.0,2.73e6,1.13e8,0.0385,1.81,0.686,72200.0,3.11e6,35200.0,0.0,0.0,41.627984407790414,112.29344075251282,205.859375,480.9448597174765,0.18754226059147844,0.3713084297528071,0.5774641209702325,1.0000000000000002,54274.449183571975,58659.28994404517,62922.92834649265,81748.38631656773,0.0007213476542714783,0.0031397956944237914,0.0070869649013469895,0.011944048776246068,0.033355359788515816,0.03764139110763858,0.039593867518279216,0.03972889480657533,31.501974673971,34.05105211932169,36.72516359043753,47.76149355045043,1.5814689209271397e6,1.8667262804154393e6,2.1618322898194613e6,3.3462971766741923e6,0.308670328175723,0.22977555206216102,0.14158706063152618,-4.797714065551703e-17,-0.0,-0.0,-0.0,0.0,1.5949299778056585,1.777670438582153,1.8595065600430614,1.8651342579916803,28177.48,30572.49,32814.106,38899.744
AUT,0.000116,0.00676,59.3,2500.0,414.0,15600.0,822000.0,3.5e7,0.00651,1.81,0.847,91900.0,3.88e6,8940.0,0.0,0.0,59.60937499999999,158.046875,288.203125,673.322803604467,0.23472258924710496,0.45973176429846924,0.712615112262999,1.2340422311704684,62248.06613501468,69170.67798724753,76746.3723618758,108284.92664268549,0.0004016100788053238,0.00041413776834790545,0.0,0.0,0.005399547920100086,0.006322582990723873,0.006756554531765137,0.00678686770459135,40.0064312425344,44.374395530014304,49.22462293100016,70.0003321286451,574483.6679603256,641479.9414782121,705482.5903597883,951678.5728906862,0.032809912823871606,0.005135943975681306,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.589879689204122,1.772041508862234,1.8536184991781022,1.859228377222902,9175.689,9211.788,9130.698,8729.407
AZE,0.00717,0.0112,22.7,935.0,296.0,11100.0,322000.0,1.34e7,0.0231,1.81,0.686,30500.0,1.25e6,10400.0,0.0,0.0,41.627984407790414,112.29344075251282,205.859375,480.9448597174765,0.18754226059147844,0.3713084297528071,0.5774641209702325,1.0000000000000002,18808.414245463835,21028.119372272933,23182.399139457062,35357.9010377944,0.0005591085554770402,0.002495710091489588,0.005871976720268207,0.012371076772968625,0.01989951604002376,0.022542220286026086,0.023750991172360254,0.02383469494279697,14.272863982883012,15.818090910343404,17.339973852942393,26.284113135262693,206132.30448239937,238302.24422848175,264156.6936212134,367042.5026444292,0.031183998053887926,0.023315463554035302,0.014334654496663178,-5.450572811399875e-18,-0.0,-0.0,-0.0,0.0,1.5939609689688876,1.7765904047325023,1.8583768061894193,1.8640010849979387,10739.736,11055.063,11064.995,10013.683
BDI,0.00118,0.000513,5.2,179.0,296.0,11100.0,338000.0,1.1e7,0.0528,1.88,0.686,7740.0,266000.0,32100.0,0.0,0.0,41.627984407790414,112.29344075251282,205.859375,480.9448597174765,0.18754226059147844,0.3713084297528071,0.5774641209702325,1.0000000000000002,960.7917445315563,1557.2559067011025,2777.574823806925,11792.043098044325,0.00016923338983960789,0.0006389124031222491,0.0012840422958019567,0.0017891878097739604,0.04581014926110647,0.051685516199275285,0.054362058219730953,0.05454716351943706,0.6642031148628268,1.0366544552506214,1.8344783584375606,7.941567685696439,15851.309956628513,33190.33438324571,74260.70310505414,516080.9542299668,0.0007258398534720618,0.0008313324518211653,0.000881210515392448,-1.1083885952727415e-18,-0.0,-0.0,-0.0,0.0,1.6582931469033841,1.848293496752318,1.9333807929196944,1.9392320673147476,15772.827,20252.945,25324.77,41427.148
BEL,0.000245,0.017,60.5,2540.0,414.0,15600.0,1.11e6,4.66e7,0.00943,1.26,0.847,89900.0,3.78e6,12200.0,0.0,0.0,59.60937499999999,158.046875,288.203125,673.322803604467,0.23472258924710496,0.45973176429846924,0.712615112262999,1.2340422311704684,58106.44889275632,65802.49216655777,74440.07400948746,107948.36665780164,0.00087066179097556,0.0008681256124567467,0.0,0.0,0.008132563674834056,0.009221015619618928,0.009719105205474607,0.00975360067498196,39.03603427359804,44.03406135157371,49.751048364511135,72.65894690778572,697917.51908917,805653.0633509508,918556.5641073551,1.341839419522086e6,0.08641246072032399,0.013521441393111188,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.1129563606728816,1.2404742837188267,1.2975802590156398,1.3015073168269666,11903.751,12121.106,12220.769,12310.312
