time,gross_output
2020,1.955633538476563e7
2021,1.986608621339755e7
2022,2.0171009562218938e7
2023,2.047154638945267e7
2024,2.076815563367074e7
2025,2.1061314898317788e7
2026,2.1337633700347893e7
2027,2.16107784568517e7
2028,2.1881207287855677e7
2029,2.2149372121336263e7
2030,2.241572346091656e7
2031,2.266804098723193e7
2032,2.291882051659356e7
2033,2.316850210001216e7
2034,2.341752009458039e7
2035,2.366630398433452e7
2036,2.3902102736249644e7
2037,2.4137963731468134e7
2038,2.4374317710196335e7
2039,2.4611592992465932e7
2040,2.485021033321949e7
2041,2.5075927663256753e7
2042,2.5303115681863e7
2043,2.553214837695265e7
2044,2.5763386133760136e7
2045,2.5997179708368424e7
2046,2.6218189404442646e7
2047,2.6441775550767735e7
2048,2.6668256004300162e7
2049,2.6897947751668174e7
2050,2.7131175230134975e7
2051,2.735350966129929e7
2052,2.7579257622946195e7
2053,2.7808669335867852e7
2054,2.8041985124301363e7
2055,2.827942864129135e7
2056,2.85090141235591e7
2057,2.8742569401945483e7
2058,2.8980292952235837e7
2059,2.9222382643191483e7
2060,2.94690203348945e7
2061,2.9713661022350624e7
2062,2.996286257429352e7
2063,3.02167865725125e7
2064,3.04755790670481e7
2065,3.0739374582429346e7
2066,3.1007583076918986e7
2067,3.128093616400053e7
2068,3.155953870738697e7
2069,3.1843507664473623e7
2070,3.213297175388123e7
2071,3.24310109887328e7
2072,3.2734886247089874e7
2073,3.3044706343795706e7
2074,3.3360564453543767e7
2075,3.368255412512209e7
2076,3.4015618552321896e7
2077,3.4355176816519e7
2078,3.470130596233977e7
2079,3.505407007628397e7
2080,3.541353225202375e7
2081,3.578515823110048e7
2082,3.616388759947027e7
2083,3.6549809602486335e7
2084,3.694301574123947e7
2085,3.734359128124061e7
2086,3.775650334135773e7
2087,3.8177219288901895e7
2088,3.860580591492087e7
2089,3.9042326494105235e7
2090,3.948683882706194e7
2091,3.994227504442528e7
2092,4.040602294720614e7
2093,4.087815972430068e7
2094,4.13587927157337e7
2095,4.184805954313716e7
2096,4.2346455005735196e7
2097,4.285381858452242e7
2098,4.337025272973921e7
2099,4.389585198836219e7
2100,4.443070539633978e7
