country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.0066,0.000225,38.5,1580.0,296.0,11100.0,7760.0,323000.0,0.0474,1.24,0.686,69100.0,2.86e6,107.0,-3200.0,2.74e6,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,40413.14125231666,46066.703470279426,54356.21688055231,86864.71613321234,0.0005188752357518758,0.002153601520456506,0.004930248869971114,0.01147269723341955,0.04131879158514314,0.0464254419538906,0.04873894114045545,0.048898618094297026,22.33305605944163,24.71436283131077,29.01429696377408,49.001172211184404,4640.449027110236,5359.068781019616,6228.281282128613,9736.440114998728,0.0006259783341152399,0.00044769347954856225,0.00028377775251439637,0.0,1.2993191795252333e6,221429.1124074987,-539156.9145632765,0.0,1.0919783151685885,1.2170945035506582,1.2731263619138413,1.276978902302501,110.244,110.937,108.709,105.636
AFG,0.0073,0.00766,5.88,208.0,296.0,11100.0,652000.0,2.26e7,0.0225,1.94,0.686,8620.0,308000.0,67400.0,2.33e7,1.23e9,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,2031.8617873298633,2803.9566916252743,3902.102307981313,11698.270880952394,0.0004961997058736502,0.002186987540473074,0.005245427133387972,0.012948181852723043,0.019399237911862547,0.022029356434363653,0.023235639208792052,0.023319229138748822,1.2709788798288715,1.771657186713346,2.5217826756359685,8.056626806246003,99637.42646770453,163412.12691253517,259579.67646620207,932290.0100349389,0.012853321062204688,0.013862982672180805,0.01258325013717753,0.0,2.6679144734813984e7,3.862651061976934e7,4.513677510452129e7,0.0,1.7112107740448892,1.9072770938543384,1.9950831595874599,2.0011203752802458,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.00144,0.00657,5.7,217.0,296.0,11100.0,1.58e6,5.45e7,0.0582,1.89,0.686,11600.0,457000.0,106000.0,7.42e6,4.44e8,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,6597.571228592318,6738.015276068422,7262.507759471065,13559.617854828066,0.0002134189331240909,0.0007834377796873761,0.0015609872381642362,0.002175083598778068,0.050473345162112805,0.05694617758630914,0.059895198873075865,0.06009911992347399,2.6383595591836406,2.8372416971412355,3.170737695865388,6.8580706958765125,310758.9236307176,426070.1456141423,596871.4604207727,2.0473052249292168e6,0.017242208990882302,0.012948268729906042,0.008610362792947617,0.0,3.578899079774147e7,1.4637097963151345e7,3.025651030333901e6,0.0,1.6621545251882848,1.8526001007137112,1.9378889802082597,1.943753123618006,44834.707,59782.166,77420.355,142116.013
ALB,0.00631,0.00188,20.2,825.0,296.0,11100.0,57000.0,2.5e6,0.0285,1.9,0.686,29500.0,1.19e6,2070.0,346000.0,4.06e7,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,14990.34348328575,18001.3582667499,21682.61551902724,37989.42615160718,0.00044698678644643897,0.002067936550081219,0.005055180664861041,0.01106236640238672,0.02463861690510201,0.027887791567512796,0.029372884406252783,0.02947568115261896,11.394732926049183,13.109613968021412,15.272412009314735,25.337559704556195,42815.56768622723,48843.58754887332,54382.42012626156,65636.75524972563,0.004975454320819358,0.003918057935121678,0.0025406011862709153,0.0,1.0327359388611317e7,2.3690453860792993e6,-3.776173232337349e6,0.0,1.6755867297520524,1.867571334224521,1.9535494502846382,1.9594609830150986,2786.972,2634.385,2424.052,1659.729
ARE,0.00868,0.0643,48.3,2000.0,296.0,11100.0,1.16e6,4.94e7,0.0746,1.75,0.686,94700.0,4.13e6,11200.0,-3.54e6,6.51e8,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,74491.50844287842,81400.4813428776,86892.63954077022,103528.77272935171,0.0008901151113676684,0.0036993938966000616,0.008203691546849119,0.014216562172080748,0.06469783402341805,0.0729699950494716,0.07673793891319838,0.0769984708320796,27.684507747308405,33.9194125803173,39.844385710606794,58.68259336622159,845860.3763847509,933433.728203506,983658.1941068147,1.312087981488073e6,0.19574073154947932,0.13394920921525788,0.07457526778989669,0.0,4.062915165842112e8,4.294053684803594e7,-1.789876031647202e8,0.0,1.540023654231996,1.7164757750838522,1.79549784545945,1.8009311065828673,10661.076,10648.314,10425.284,11600.276
ARG,0.00538,0.0579,29.0,1170.0,296.0,11100.0,2.83e6,1.14e8,0.031,1.45,0.686,48600.0,1.99e6,55200.0,-861000.0,6.79e8,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,26176.16245221855,31644.035601226427,38031.78403999621,61475.23020642908,0.000423081765270679,0.001756008901916577,0.0040200384435548926,0.009354636073347484,0.02696945965800472,0.030356423692758115,0.03189411070609044,0.032000314597712964,14.764540418829984,17.588543975570857,21.30961613568543,37.61848203358029,1.3189823891867516e6,1.708050998841837e6,2.1620837924602474e6,3.7101899444891573e6,0.14507736414761724,0.11634658376247917,0.08032375671503625,0.0,3.011315112341618e8,6.430049975325639e7,-1.3507815440555394e8,0.0,1.278046809123701,1.4244822676948146,1.4900617181249096,1.4945707151281942,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.00502,0.002,25.1,1010.0,296.0,11100.0,92000.0,3.78e6,0.00858,1.83,0.686,36800.0,1.46e6,2600.0,254000.0,3.74e7,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,16084.10000352734,19959.7911143005,25729.467827755914,49539.179645336684,0.00040539017966380683,0.0017594929129968859,0.004104256960772937,0.008646845921997064,0.007207198443046226,0.008350761027750425,0.008884501711422233,0.008921692548623308,12.817192303543656,14.992000128206136,18.46758741453144,32.72930543837393,48074.52161304226,58570.836989363124,73406.12210709217,118516.94350194829,0.0050666924936320044,0.003997560462054603,0.002784249240348547,0.0,1.0516738958765065e7,2.5522382424657196e6,-3.9495094211385865e6,0.0,1.6141165140105156,1.7990580124196398,1.881881953736413,1.8875766172437816,2967.01,2905.147,2816.114,2350.729
AUS,0.00733,0.11,41.9,1810.0,296.0,11100.0,2.73e6,1.13e8,0.0385,1.81,0.686,72200.0,3.11e6,35200.0,-1.16e7,8.19e8,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,54295.648989128116,58662.99762822464,62914.17876833353,81747.1648584991,0.0007482926710290034,0.003166974438514464,0.0070869649013469895,0.01194404877624606,0.033355359788515816,0.03764145498427003,0.03959401159745572,0.03972902158269425,31.604156380513487,34.16294681945326,36.73004529187196,47.3624736620606,1.5814689209271397e6,1.8668032243715764e6,2.1618597809439846e6,3.3462475853934265e6,0.30765820720075465,0.22933439253472693,0.14158886113544733,0.0,6.385943211905115e8,8.844044075233139e7,-3.130801147393719e8,0.0,1.5949299778056585,1.7776731301076665,1.8595125671864186,1.8651395398755528,28177.48,30572.49,32814.106,38899.744
AUT,6.73e-5,0.00705,59.3,2500.0,296.0,11100.0,822000.0,3.5e7,0.00651,1.81,0.686,91900.0,3.88e6,8940.0,1.31e7,-2.03e9,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,62128.85667362185,69150.25134507763,76797.22686150883,108294.66285936644,0.00023245909642145455,0.00023971034718682345,0.0,0.0,0.005399547920100086,0.0063225970536442124,0.006756586856528174,0.006786896183489943,39.92556972812359,44.360195442573634,49.26608259185975,70.00662588216987,574483.6679603256,641357.6970388282,705438.6882070961,951764.1680365843,0.03471847044823664,0.005963664195045195,0.0,0.0,-1.1904815400708072e9,-1.7789840950940585e8,5.07967092313069e8,0.0,1.589879689204122,1.7720441918651284,1.8536244873000551,1.8592336423818785,9175.689,9211.788,9130.698,8729.407
AZE,0.00718,0.0112,22.7,934.0,296.0,11100.0,322000.0,1.34e7,0.0231,1.81,0.686,30500.0,1.25e6,10400.0,1.99e6,2.41e8,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,18814.02836441463,21029.831097414466,23180.694286946484,35357.601117100785,0.0005799933387121359,0.0025173134926349456,0.005871976720268207,0.012371076772968616,0.01989951604002376,0.022542259782991052,0.023751080480006497,0.023834773538176472,14.282817240490383,15.826314490578872,17.337380766646454,26.23609001946443,206132.30448239937,238313.10281813654,264161.2000536747,367039.4174104817,0.031081746636655028,0.023270800003451022,0.014334899041487919,0.0,6.451518740697336e7,1.3374378458535258e7,-2.3217842631672774e7,0.0,1.5939609689688876,1.7765930946227642,1.858382809683102,1.8640063636727726,10739.736,11055.063,11064.995,10013.683
