time,temp,e_gtco2_club,total_tax_revenue
2020,1.1730635369796556,35.91529312414241,0.0
2021,1.2119102787255247,36.661854023122295,0.0
2022,1.2632866578706956,37.11433935699451,0.0
2023,1.315423890428984,37.36863953215092,0.0
2024,1.359139122874682,37.76795406629869,0.0
2025,1.394657378669077,38.17074193578465,0.0
2026,1.4239407981424814,38.20791466933767,0.0
2027,1.4493359541093394,38.24842783104569,0.0
2028,1.4732899732236007,38.29305975914251,0.0
2029,1.4964528572671343,38.34254831948523,0.0
2030,1.5182372263530057,31.094153764073262,1.3239307657359319e9
2031,1.538423851208066,30.074973621835802,1.482602215263936e9
2032,1.5573758248329872,29.068550169532323,1.637376927518188e9
2033,1.5773083708043358,28.08770714816478,1.7840082743326545e9
2034,1.5998860811888584,27.14319309526154,1.9191085743134143e9
2035,1.621889127143642,26.20476213579772,2.0492942889010527e9
2036,1.6417555546872213,25.238809528261577,2.1472705918966286e9
2037,1.6587131535920823,24.301959257346528,2.234641097335691e9
2038,1.672619703776989,23.392461829633387,2.3118331417567377e9
2039,1.6841068918419062,22.485940843553642,2.3838610722423663e9
2040,1.6921918214290461,21.627618761944667,2.441555399297661e9
2041,1.6983215788456825,20.575906789106593,2.5157261035118604e9
2042,1.7039014656492275,19.569078182283146,2.573028014123636e9
2043,1.71011929932913,18.58410820380434,2.617745866520251e9
2044,1.7174414363183508,17.620266575362848,2.6499229029354296e9
2045,1.7275087640391997,16.686232560785967,2.6684935978069425e9
2046,1.7395658508045386,15.922636853862215,2.6906768371018724e9
2047,1.7518487441065622,15.174254889408706,2.701728663512689e9
2048,1.762617993722467,14.422821294002897,2.703152209711949e9
2049,1.7688677108843451,13.702959236932484,2.6924173813191557e9
2050,1.7700926259772267,12.979384572576393,2.671927995995218e9
2051,1.7691462489336176,12.505759754222215,2.670175110022601e9
2052,1.7682134624908235,12.033525778515092,2.6633576976979094e9
2053,1.7672881668749718,11.570740743887631,2.6513267657673774e9
2054,1.7675998472112007,11.101322956744426,2.6339623296588144e9
2055,1.770749414389272,10.641155843774042,2.6112398832261157e9
2056,1.7767712256916022,10.202690935794118,2.5833532283522444e9
2057,1.7825945456214576,9.771743829983363,2.550577823123001e9
2058,1.7868364259621083,9.333303787124366,2.511971214581519e9
2059,1.790683341830612,8.887819364826116,2.467064234627124e9
2060,1.7923376166262175,8.464462055105017,2.4183232605874257e9
2061,1.7912149445220922,7.937420228614699,2.3545612975039086e9
2062,1.7890180287584831,7.418410000100418,2.2817406383121357e9
2063,1.7869284140394006,6.893361327975036,2.1977974671457906e9
2064,1.7855683256695403,6.376115004329256,2.1046160854133675e9
2065,1.785212037583866,5.852961445558075,1.9996094063613641e9
2066,1.7875517831430623,5.330092074120527,1.8826051771171007e9
2067,1.792547959736289,4.802463478484152,1.7532743621059732e9
2068,1.7977061018801654,4.283203077843009,1.6145667852025387e9
2069,1.8006745194466394,3.759442068100863,1.4629516360320623e9
2070,1.8004277485767892,3.231474625594644,1.2978914882954748e9
2071,1.79735897753949,2.876090202720748,1.1794216776625943e9
2072,1.7931682963493747,2.511611523788946,1.0519335452369168e9
2073,1.7892726110425152,2.150450866991189,9.194857496127173e8
2074,1.7851303529306968,1.792557579705078,7.82143287707255e8
2075,1.7809080723878536,1.4378735189919847,6.399660498201051e8
2076,1.7770026678703965,1.061452202288497,4.8238027036813956e8
2077,1.773955232440121,0.7010119454427444,3.249299900243594e8
2078,1.772966684266248,0.3330052925426762,1.57475080918814e8
2079,1.7738910774793475,0.0,0.0
2080,1.7754433140861485,0.0,0.0
2081,1.7761349318262185,0.0,0.0
2082,1.7755612875145002,0.0,0.0
2083,1.7733349009450465,0.0,0.0
2084,1.769997684458755,0.0,0.0
2085,1.7655679974238114,0.0,0.0
2086,1.7601608812875984,0.0,0.0
2087,1.755828377779972,0.0,0.0
2088,1.7529390721898503,0.0,0.0
2089,1.7520730357661203,0.0,0.0
2090,1.7542452234126098,0.0,0.0
2091,1.758321021035111,0.0,0.0
2092,1.7635899103674293,0.0,0.0
2093,1.7673748871203927,2.940630519034759e-15,1.396005388189468e-6
2094,1.767017127291404,0.0,0.0
2095,1.7644201915415783,0.0,0.0
2096,1.76083845386127,0.0,0.0
2097,1.7574555636014317,0.0,0.0
2098,1.7550822019544952,0.0,0.0
2099,1.7543431381300523,0.0,0.0
2100,1.7565478465545368,0.0,0.0
2101,1.7628762820016322,25.057716539221932,0.0
2102,1.7721749987591346,24.85910159331383,0.0
2103,1.7821166912081046,24.647119511450597,0.0
2104,1.7915850341351947,24.42268149166197,0.0
2105,1.799292040568961,24.186733367321395,0.0
2106,1.806114608118862,23.94024987341679,0.0
2107,1.813304121778377,23.684166439778235,0.0
2108,1.8213773692509558,23.41936741057952,0.0
2109,1.8310264245536856,23.14670526351877,0.0
2110,1.8430487715434916,22.8669939260972,0.0
2111,1.859073962583425,22.581005044351087,0.0
2112,1.8755996606991672,22.28944676295966,0.0
2113,1.8894645507286127,21.993094179178286,0.0
2114,1.9002472599811133,21.692766274456076,0.0
2115,1.9088638807864413,21.389247506810534,0.0
2116,1.9166031129392302,21.08325443428077,0.0
2117,1.9233789522068387,20.775430532261925,0.0
2118,1.9305474723523735,20.466382839095136,0.0
2119,1.9385135154040718,20.156649252373843,0.0
2120,1.9487554741655828,19.846725040187312,0.0
