time,consumption_ede
2020,27.076193629310065
2021,27.46352425213376
2022,27.839214228276337
2023,28.21022087000113
2024,28.580031980333416
2025,28.949315907352283
2026,29.31428894790147
2027,29.676915108613024
2028,30.0387191674254
2029,30.40009284949574
2030,30.65149208884206
2031,31.002611885352078
2032,31.355736625502168
2033,31.714481635887864
2034,32.0765426242606
2035,32.44304162157935
2036,32.81179138771982
2037,33.18538979968397
2038,33.565639903586295
2039,33.95263966735988
2040,34.347628933380605
2041,34.73028724260153
2042,35.11736869246326
2043,35.51006893832013
2044,35.90860626125445
2045,36.312771757319446
2046,36.722979301811826
2047,37.13877841454654
2048,37.562720790463345
2049,37.996533917594704
2050,38.440795109570914
2051,38.885046703453455
2052,39.3358905931679
2053,39.79522568209538
2054,40.26273213723855
2055,40.73808360475267
2056,41.221161574212495
2057,41.71239031686303
2058,42.213986255322766
2059,42.7257094478233
2060,43.24880271106243
2061,43.780142478267294
2062,44.321547822716845
2063,44.87370611594348
2064,45.436497913042146
2065,46.01007207905025
2066,46.58578493459128
2067,47.170676203800284
2068,47.76723884509433
2069,48.376932116162216
2070,49.001087547705076
2071,49.628238523182176
2072,50.26750432800128
2073,50.919735941294654
2074,51.58541812296666
2075,52.264719276574105
2076,52.943240163226285
2077,53.63337893628581
2078,54.336322015308035
2079,55.0524618916506
2080,55.78395380943443
2081,56.5159224969599
2082,57.2614381155699
2083,58.022866796995345
2084,58.80009507691913
2085,59.593441587860205
2086,60.39053401539692
2087,61.200685406909066
2088,62.02559925024383
2089,62.864908188005984
2090,63.71798537006157
2091,64.57686935784025
2092,65.4491911632626
2093,66.3385064309984
2094,67.24691868308999
2095,68.17332655294213
2096,69.11221724873884
2097,70.06634133652793
2098,71.03642703553524
2099,72.02203650125966
2100,73.02206454714297
