time,gross_output
2020,1.955633538476563e7
2021,1.986608621339755e7
2022,2.0171009562218938e7
2023,2.047154638945267e7
2024,2.076815563367074e7
2025,2.1061314898317788e7
2026,2.1337633700347893e7
2027,2.16107784568517e7
2028,2.1881207287855677e7
2029,2.2149372121336263e7
2030,2.241572346091656e7
2031,2.268917486613587e7
2032,2.2963345800090708e7
2033,2.323860825777965e7
2034,2.351525491093441e7
2035,2.3793512357363105e7
2036,2.4060428392917454e7
2037,2.432821038792719e7
2038,2.4597071055684727e7
2039,2.486723072927749e7
2040,2.5138993627252057e7
2041,2.5397636251972664e7
2042,2.565787247218652e7
2043,2.5919746377568584e7
2044,2.618337463236797e7
2045,2.6448871618866228e7
2046,2.6700345393620446e7
2047,2.695353160516194e7
2048,2.7208550099317912e7
2049,2.746555356342146e7
2050,2.7724660070192844e7
2051,2.797093172298118e7
2052,2.8219382183130123e7
2053,2.8470197032276716e7
2054,2.8723552963438705e7
2055,2.897961193133812e7
2056,2.92259942414986e7
2057,2.9474841548161753e7
2058,2.9726311863725033e7
2059,2.9980547945310388e7
2060,3.0237672080510784e7
2061,3.049092439621536e7
2062,3.0746891122421086e7
2063,3.100563894189599e7
2064,3.1267186224684495e7
2065,3.153158376891563e7
2066,3.1798077776754066e7
2067,3.2067354836785518e7
2068,3.2339393549757037e7
2069,3.2614248545366693e7
2070,3.289192226769696e7
2071,3.31754336237808e7
2072,3.3463044240825552e7
2073,3.375477327781363e7
2074,3.405070973746403e7
2075,3.435094605313742e7
2076,3.466053159842746e7
2077,3.497457485310906e7
2078,3.529325958556397e7
2079,3.56165508606532e7
2080,3.594482018081191e7
2081,3.6286893786195345e7
2082,3.6637549713020034e7
2083,3.699681771944434e7
2084,3.736473090057672e7
2085,3.774131743233944e7
2086,3.813154383540457e7
2087,3.853076024004008e7
2088,3.893898145984749e7
2089,3.935622018643728e7
2090,3.978248509330232e7
2091,4.02206837660992e7
2092,4.066813159569251e7
2093,4.1124861213209145e7
2094,4.15909366932722e7
2095,4.206645376750223e7
2096,4.25518709340179e7
2097,4.304698515190519e7
2098,4.355186198083807e7
2099,4.406656061512227e7
2100,4.4591136222996615e7
