time,consumption_ede
2020,31.111922518421153
2021,31.493658009951318
2022,31.863275248819978
2023,32.22822435402828
2024,32.59215970295461
2025,32.95589626223035
2026,33.311085999677736
2027,33.6632728877955
2028,34.01491177173352
2029,34.3665046972711
2030,34.684170154979775
2031,35.036070908326906
2032,35.38992326890104
2033,35.75012602322914
2034,36.11456297653446
2035,36.484979263564455
2036,36.8545155803255
2037,37.22880139797365
2038,37.61075111514853
2039,38.00089622855724
2040,38.39972997943305
2041,38.783673561316206
2042,39.17139958984603
2043,39.56556166309091
2044,39.966452100410834
2045,40.37379159605705
2046,40.783232882520664
2047,41.19759707073502
2048,41.621019808694655
2049,42.05507492804478
2050,42.50062844868104
2051,42.940490664686514
2052,43.38697115004262
2053,43.84350296818619
2054,44.309934745029075
2055,44.78588807895975
2056,45.259765561853904
2057,45.741404055012296
2058,46.23487702055
2059,46.739949083684145
2060,47.258100487322956
2061,47.77366350506069
2062,48.2982743347998
2063,48.834511609653916
2064,49.38246988208416
2065,49.94206796232681
2066,50.493954806364904
2067,51.052898893894806
2068,51.623984218088516
2069,52.20846447074229
2070,52.80720239610985
2071,53.40628067529826
2072,54.014991629109915
2073,54.6367330672313
2074,55.27199434227642
2075,55.92092376843435
2076,56.56453333312781
2077,57.21755830573883
2078,57.8820928902007
2079,58.55889037900589
2080,59.25902617644786
2081,59.95562330226354
2082,60.662174493663194
2083,61.3826058809957
2084,62.116916774060975
2085,62.8653420944844
2086,63.611085819353804
2087,64.36699516044285
2088,65.13488775707054
2089,65.9144287247886
2090,66.7049997566921
2091,67.48965023159812
2092,68.28389662871183
2093,69.09279686890865
2094,69.91910629583893
2095,70.75978765709958
2096,71.59670125988708
2097,72.44344313963299
2098,73.3016862827654
2099,74.17114830933019
2100,75.0509062537451
