time,gross_output
2020,3.0186384999999995e6
2021,3.0682843399115414e6
2022,3.117638009437838e6
2023,3.1667427191241356e6
2024,3.215648604620809e6
2025,3.2644122001881357e6
2026,3.3108386232442693e6
2027,3.3571483857584815e6
2028,3.4034030471780733e6
2029,3.449665187516345e6
2030,3.495998919204003e6
2031,3.5402773424210134e6
2032,3.584671358349661e6
2033,3.629247786123299e6
2034,3.67407319391839e6
2035,3.7192138889779807e6
2036,3.7618389046777072e6
2037,3.8048010135640693e6
2038,3.8481681094356854e6
2039,3.8920081892106305e6
2040,3.9363886942535653e6
2041,3.978023732693179e6
2042,4.020197443462395e6
2043,4.0629711908307294e6
2044,4.1064045607096883e6
2045,4.1505557622238547e6
2046,4.1923257518117516e6
2047,4.234795139581925e6
2048,4.278016269249643e6
2049,4.322041644641933e6
2050,4.366925145851404e6
2051,4.410066553680744e6
2052,4.454055689209963e6
2053,4.498935896182963e6
2054,4.544749046546352e6
2055,4.591534308279574e6
2056,4.637176324572128e6
2057,4.683766863694965e6
2058,4.731340705317735e6
2059,4.779932797954919e6
2060,4.829575462162221e6
2061,4.878829074019973e6
2062,4.929131973419912e6
2063,4.98051276121571e6
2064,5.032997462930261e6
2065,5.086610238750224e6
2066,5.140488645665609e6
2067,5.195495444346688e6
2068,5.251648936846996e6
2069,5.3089699507654905e6
2070,5.36748181032164e6
2071,5.426155058683927e6
2072,5.4860141490537645e6
2073,5.547078548600382e6
2074,5.60936503478999e6
2075,5.672890706687078e6
2076,5.736229497752816e6
2077,5.800765869860375e6
2078,5.866513759830888e6
2079,5.933484802601863e6
2080,6.001690595286681e6
2081,6.069050834512264e6
2082,6.137566639428531e6
2083,6.207254545526291e6
2084,6.278131553651682e6
2085,6.350213484461999e6
2086,6.421517401225221e6
2087,6.493952176600894e6
2088,6.567529562169616e6
2089,6.642260498341935e6
2090,6.718154725085001e6
2091,6.79320384999889e6
2092,6.869327219128169e6
2093,6.946537070934193e6
2094,7.024851082160197e6
2095,7.104292350805273e6
2096,7.182378215202242e6
2097,7.2614932787775155e6
2098,7.341652128247896e6
2099,7.422867381231462e6
2100,7.505150140942089e6
