time,consumption_ede
2020,31.111922518421153
2021,31.493658009951318
2022,31.863275248819978
2023,32.22822435402828
2024,32.59215970295461
2025,32.95589626223035
2026,33.311085999677736
2027,33.6632728877955
2028,34.01491177173352
2029,34.3665046972711
2030,34.71832727969216
2031,35.06295455532509
2032,35.406575774782
2033,35.75359862471142
2034,36.10201156036595
2035,36.45364738145751
2036,36.80284271141458
2037,37.15462088313305
2038,37.51206367517727
2039,37.87561315944668
2040,38.24636853281259
2041,38.61861132994589
2042,38.99509967667033
2043,39.37829804331263
2044,39.76856082596
2045,40.16575787288367
2046,40.563794292154874
2047,40.96721661377126
2048,41.38014806750891
2049,41.804459517710406
2050,42.24092191641562
2051,42.67915915455348
2052,43.124549614069004
2053,43.58055220058477
2054,44.04702660585227
2055,44.52359698926612
2056,44.99843379304527
2057,45.481559264364
2058,45.97713632888235
2059,46.48496919204857
2060,47.00633018604076
2061,47.526317833114476
2062,48.05624277653395
2063,48.598863941958776
2064,49.154122119145676
2065,49.72214891953952
2066,50.283500303787534
2067,50.853090516960926
2068,51.43576928043263
2069,52.03307468593294
2070,52.645913434372545
2071,53.25546562263052
2072,53.87551143297649
2073,54.50912632326712
2074,55.156790212731146
2075,55.818642352079834
2076,56.47652279090133
2077,57.14396485651436
2078,57.82385729361934
2079,58.51640624177448
2080,59.2224980654961
2081,59.92715767725033
2082,60.64279389471637
2083,61.37295638614428
2084,62.117507783859644
2085,62.876623992688586
2086,63.63347066821647
2087,64.40088663963466
2088,65.18067970447828
2089,65.97251441941229
2090,66.77578364205318
2091,67.57350359701894
2092,68.38119193733341
2093,69.20274741667622
2094,70.04035124792595
2095,70.89295245858392
2096,71.74319895854681
2097,72.60397351296508
2098,73.4767105825644
2099,74.3610580710966
2100,75.25610364463954
