time,temp,e_gtco2_club,total_tax_revenue
2020,1.1730635369796556,35.91529312414241,0.0
2021,1.2119102787255247,36.661854023122295,0.0
2022,1.2632866578706956,37.11433935699451,0.0
2023,1.315423890428984,37.36863953215092,0.0
2024,1.359139122874682,37.76795406629869,0.0
2025,1.394657378669077,38.17074193578465,0.0
2026,1.4239407981424814,38.20791466933767,0.0
2027,1.4493359541093394,38.24842783104569,0.0
2028,1.4732899732236007,38.29305975914251,0.0
2029,1.4964528572671343,38.34254831948523,0.0
2030,1.5182372263530057,31.094153764073248,1.323998694485269e9
2031,1.5384238412182343,30.074804752698682,1.4826431095799775e9
2032,1.5573757727239286,29.06823607014809,1.6373862336953335e9
2033,1.5773082305830288,28.087273012885746,1.7839835826452425e9
2034,1.5998858071087505,27.142665427752142,1.9190500855753348e9
2035,1.6218886789143336,26.204169289315153,2.0492032001081846e9
2036,1.6417548999298957,25.238183074104896,2.1471542565636091e9
2037,1.6587122692318308,24.30132782515315,2.2345061616374006e9
2038,1.6726185766977206,23.391853677477858,2.3116881190016737e9
2039,1.684105519271332,22.485384425475846,2.3837153985768266e9
2040,1.6921902112458562,21.62714104308402,2.4414223425949907e9
2041,1.6983197506233065,20.57554990922969,2.515591679957516e9
2042,1.7038994500485798,19.568835114556673,2.572896579948727e9
2043,1.7101171332578402,18.58397265204034,2.617621597842489e9
2044,1.7174391585361382,17.620232537243364,2.649810575295622e9
2045,1.7275064136212461,16.686294278379613,2.66839884437991e9
2046,1.739563466480805,15.92278840888216,2.690606282070914e9
2047,1.7518463640088424,15.17449247083359,2.7016889024368086e9
2048,1.7626156553340913,14.423140185540664,2.7031500258188863e9
2049,1.768865450891447,13.703354893021634,2.692460434051289e9
2050,1.7700904799416994,12.9798509189744,2.672023997773245e9
2051,1.7691442510604087,12.506293343771514,2.670289039728715e9
2052,1.7682116451599228,12.034113892886483,2.663487863949015e9
2053,1.7672865595179041,11.571372034437404,2.6514714200785093e9
2054,1.7675984754057108,11.101986132759295,2.6341196785304675e9
2055,1.7707482996448085,10.641841377072764,2.6114081066707478e9
2056,1.776770385561152,10.203390468764804,2.583530352286464e9
2057,1.782593993908763,9.772449647505606,2.550762052524706e9
2058,1.7868361728541764,9.334007881749413,2.512160715048963e9
2059,1.7906833939622213,8.888514404103876,2.467257162326646e9
2060,1.7923379773059347,8.465143687751622,2.418518005164663e9
2061,1.7912156134861572,7.938072816741762,2.3547548816537876e9
2062,1.7890190015769167,7.419029081359897,2.28193105416515e9
2063,1.786929682521736,6.893942065291817,2.1979826225356174e9
2064,1.785569878705753,6.376654453866478,2.1047941459051452e9
2065,1.7852138616442474,5.8534562658338976,1.999778457069658e9
2066,1.7875538626307013,5.330540173439355,1.8827634471968222e9
2067,1.792550277287991,4.802863068073708,1.7534202435240965e9
2068,1.7977086387259544,4.283554110437998,1.6146991080361965e9
2069,1.800677255765104,3.759744090357806,1.4630691651618934e9
2070,1.8004306637387764,3.231727830682295,1.2979931857451315e9
2071,1.7973620510602348,2.876308339148568,1.1795111306399093e9
2072,1.7931715091465708,2.5117952327095097,1.0520104876996629e9
2073,1.7892759453386085,2.15060195754714,9.195503526293353e8
2074,1.785133791710209,1.7926780578470916,7.821958557090632e8
2075,1.7809115993602112,1.4379655587523477,6.400070147040726e8
2076,1.7770062674424438,1.0615166162940493,4.824095435142566e8
2077,1.773958889732453,0.7010520591435004,3.249485833514365e8
2078,1.772970385282473,0.33302315830966894,1.5748352947253335e8
2079,1.7738948093262474,0.0,0.0
2080,1.775447066051229,-6.264899813603123e-15,-3.013071361997399e-6
2081,1.7761386964707042,0.0,0.0
2082,1.775565059854382,0.0,0.0
2083,1.7733386771670894,-6.1913191813152796e-15,-2.9687590157901457e-6
2084,1.770001461452845,0.0,0.0
2085,1.7655717725906228,0.0,0.0
2086,1.7601646524415655,0.0,0.0
2087,1.7558321430867503,0.0,0.0
2088,1.7529428301207444,0.0,0.0
2089,1.7520767850615342,0.0,0.0
2090,1.7542489630495053,0.0,0.0
2091,1.7583247501989163,0.0,0.0
2092,1.7635936284259977,0.0,0.0
2093,1.76737859359886,2.9406793256896853e-15,1.3960285581704682e-6
2094,1.7670208218478611,0.0,0.0
2095,1.7644238739429703,0.0,0.0
2096,1.7608421239646417,0.0,0.0
2097,1.7574592213416145,0.0,0.0
2098,1.7550858473344557,0.0,0.0
2099,1.7543467712127379,-5.64726877248249e-15,-2.664882233628137e-6
2100,1.756551467455597,-5.607156772689306e-15,-2.643307880967159e-6
2101,1.7628799025432673,25.0579363677328,0.0
2102,1.772178645922482,24.859302757492472,0.0
2103,1.7821203845494964,24.6473035107477,0.0
2104,1.7915887785173377,24.422849718155785,0.0
2105,1.7992958357262676,24.186887111202154,0.0
2106,1.806118451966252,23.94039032843726,0.0
2107,1.8133080115530666,23.684294709092434,0.0
2108,1.8213813019213727,23.419484512480285,0.0
2109,1.8310303969990933,23.14681213688523,0.0
2110,1.8430527806195123,22.867091435692895,0.0
2111,1.859078005166515,22.58109398592446,0.0
2112,1.875603733773625,22.289527868188582,0.0
2113,1.889468651430408,21.993168119900893,0.0
2114,1.9002513855922392,21.692833666878908,0.0
2115,1.9088680287364668,21.38930891578166,0.0
2116,1.9166072808093935,21.083310377380016,0.0
2117,1.9233831377336774,20.775481483605436,0.0
