country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.0066,0.000225,38.6,1580.0,296.0,11100.0,7760.0,323000.0,0.0474,1.24,0.686,69100.0,2.86e6,107.0,0.0,0.0,42.34845264603794,112.74086599463341,205.859375,480.9448597174765,0.18956438603188838,0.3722323977655185,0.5774641209702325,1.0000000000000002,40401.53894120779,46063.983853158206,54360.79104931954,86865.63280780229,0.0005143347187280589,0.002148960925361397,0.004930248869971114,0.011472697233419557,0.04131879158514314,0.04642535974594225,0.048738749759722255,0.04889843708023882,22.199897724563886,24.557856937477837,28.955683918857158,49.47490007084792,4640.449027110236,5358.959252329574,6228.235981882056,9736.541182382036,0.0006264745287730724,0.0004479047665582201,0.00028377568850964546,-1.3408757105705203e-19,-0.0,-0.0,-0.0,0.0,1.0919783151685885,1.2170925053730133,1.273121743314623,1.2769745360342142,110.244,110.937,108.709,105.636
AFG,0.0073,0.00766,5.89,208.0,296.0,11100.0,652000.0,2.26e7,0.0225,1.94,0.686,8620.0,308000.0,67400.0,0.0,0.0,42.34845264603794,112.74086599463341,205.859375,480.9448597174765,0.18956438603188838,0.3722323977655185,0.5774641209702325,1.0000000000000002,2031.3158777663002,2803.0939114420994,3901.067614300839,11698.016198917787,0.0004918576154124095,0.0021822750049566462,0.005245427133387972,0.012948181852723051,0.019399237911862547,0.022029313731506364,0.02323553904774872,0.023319134354801173,1.2666065718245152,1.7636198748553409,2.515352667107656,8.088072243395276,99637.42646770453,163400.61807673235,259557.2368843618,932269.6268799034,0.012863509512665178,0.013868831891573745,0.01258216236761439,-1.4490007543578415e-17,-0.0,-0.0,-0.0,0.0,1.7112107740448892,1.907273962562199,1.9950759219009289,2.0011135330149448,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.00144,0.00657,5.7,217.0,296.0,11100.0,1.58e6,5.45e7,0.0582,1.89,0.686,11600.0,457000.0,106000.0,0.0,0.0,42.34845264603794,112.74086599463341,205.859375,480.9448597174765,0.18956438603188838,0.3722323977655185,0.5774641209702325,1.0000000000000002,6596.785308117638,6737.678430579131,7262.379949217853,13559.592238501453,0.0002115513699175898,0.0007817496226707663,0.0015609872381642362,0.002175083598778069,0.050473345162112805,0.056946072979159004,0.059894954493062307,0.06009888872532944,2.6288038490007812,2.8253300328620536,3.162122167620545,6.868156378985721,310758.9236307176,426063.56558838306,596864.0305065671,2.0473009107380677e6,0.01725587638402395,0.01295444431129571,0.008610255610311032,-5.345347197355039e-18,-0.0,-0.0,-0.0,0.0,1.6621545251882848,1.852597059188098,1.9378819500085895,1.9437464775038014,44834.707,59782.166,77420.355,142116.013
ALB,0.00631,0.00188,20.3,827.0,296.0,11100.0,57000.0,2.5e6,0.0285,1.9,0.686,29500.0,1.19e6,2070.0,0.0,0.0,42.34845264603794,112.74086599463341,205.859375,480.9448597174765,0.18956438603188838,0.3722323977655185,0.5774641209702325,1.0000000000000002,14986.6965446927,18000.200030382784,21683.942743540283,37989.68360541464,0.0004430753430522667,0.002063480546442594,0.005055180664861041,0.011062366402386727,0.02463861690510201,0.027887738939603217,0.029372761222086142,0.029475564597954588,11.375058128396294,13.082890007983448,15.263939647435738,25.478453314645378,42815.56768622723,48842.6642808957,54381.83536641039,65637.1926378143,0.004979398217468385,0.003919913064696418,0.0025405738678549988,-8.715981956430846e-19,-0.0,-0.0,-0.0,0.0,1.6755867297520524,1.8675682681197283,1.9535423632725124,1.9594542831923103,2786.972,2634.385,2424.052,1659.729
ARE,0.00868,0.0643,48.5,2010.0,296.0,11100.0,1.16e6,4.94e7,0.0746,1.75,0.686,94700.0,4.13e6,11200.0,0.0,0.0,42.34845264603794,112.74086599463341,205.859375,480.9448597174765,0.18956438603188838,0.3722323977655185,0.5774641209702325,1.0000000000000002,74453.97908220769,81392.5888537265,86907.79873489178,103530.61894485567,0.0008823259887851169,0.0036914224176572913,0.008203691546849119,0.014216562172080756,0.06469783402341805,0.07296986138521182,0.07673762668922036,0.07699817545176799,27.51640071849791,33.71522854832809,39.82288365953162,59.22975868766682,845860.3763847509,933381.8797980952,983635.1660455248,1.3121110199240504e6,0.19589588948390269,0.1340077209793307,0.07457352193564806,-2.2391513913018134e-17,-0.0,-0.0,-0.0,0.0,1.540023654231996,1.7164729570417758,1.7954913318209031,1.8009249488081667,10661.076,10648.314,10425.284,11600.276
ARG,0.00538,0.0579,29.0,1170.0,296.0,11100.0,2.83e6,1.14e8,0.031,1.45,0.686,48600.0,1.99e6,55200.0,0.0,0.0,42.34845264603794,112.74086599463341,205.859375,480.9448597174765,0.18956438603188838,0.3722323977655185,0.5774641209702325,1.0000000000000002,26170.12087608998,31642.032616566998,38033.78187920551,61475.63072318051,0.0004193795073379133,0.0017522250420800212,0.0040200384435548926,0.00935463607334749,0.02696945965800472,0.030356369088118427,0.03189398342109816,0.03200019419683711,14.710962377270082,17.518058900183537,21.28475851864257,37.8489313695,1.3189823891867516e6,1.7080026837301187e6,2.1620571454088665e6,3.710213683854897e6,0.14519236271727895,0.11640057941446724,0.08032276674819049,-4.166238285436918e-17,-0.0,-0.0,-0.0,0.0,1.278046809123701,1.4244799290361363,1.4900563125358866,1.494565604866228,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.00502,0.002,25.2,1020.0,296.0,11100.0,92000.0,3.78e6,0.00858,1.83,0.686,36800.0,1.46e6,2600.0,0.0,0.0,42.34845264603794,112.74086599463341,205.859375,480.9448597174765,0.18956438603188838,0.3722323977655185,0.5774641209702325,1.0000000000000002,16080.612513561899,19958.515695144957,25730.598203185586,49539.45490281806,0.0004018427353357219,0.0017557015457897336,0.004104256960772937,0.00864684592199707,0.007207198443046226,0.008350742232693567,0.008884457163463685,0.008921650362536367,12.794835383150643,14.962530990675857,18.4585374943879,32.88964368620724,48074.52161304226,58569.44872798862,73405.34262891636,118517.5970690875,0.005070708712103486,0.003999434038017081,0.002784219675218874,-1.2301521897397662e-18,-0.0,-0.0,-0.0,0.0,1.6141165140105156,1.7990550587973106,1.8818751267168956,1.8875701632092565,2967.01,2905.147,2816.114,2350.729
AUS,0.00733,0.11,42.1,1810.0,296.0,11100.0,2.73e6,1.13e8,0.0385,1.81,0.686,72200.0,3.11e6,35200.0,0.0,0.0,42.34845264603794,112.74086599463341,205.859375,480.9448597174765,0.18956438603188838,0.3722323977655185,0.5774641209702325,1.0000000000000002,54273.34135183405,58657.83575570891,62922.6008340812,81748.32374777338,0.0007417445928446952,0.0031601502206143064,0.0070869649013469895,0.011944048776246068,0.033355359788515816,0.03764138572064762,0.03959384980022457,0.03972886851392244,31.501730599096078,34.05064426896975,36.724972554111446,47.7614572221358,1.5814689209271397e6,1.8667181096376462e6,2.1618210006870944e6,3.346294530855421e6,0.30790207883421483,0.2294368539747131,0.14158632126100404,-4.79771027214028e-17,-0.0,-0.0,-0.0,0.0,1.5949299778056585,1.7776702115941916,1.8595058213177078,1.8651331625582697,28177.48,30572.49,32814.106,38899.744
AUT,6.7e-5,0.00706,59.3,2500.0,296.0,11100.0,822000.0,3.5e7,0.00651,1.81,0.686,91900.0,3.88e6,8940.0,0.0,0.0,42.34845264603794,112.74086599463341,205.859375,480.9448597174765,0.18956438603188838,0.3722323977655185,0.5774641209702325,1.0000000000000002,62258.72636144141,69185.21532057664,76749.67889036665,108285.68075672924,0.00023042491862317657,0.00023919381771243573,0.0,0.0,0.005399547920100086,0.006322581804737745,0.006756550556648849,0.006786861798232462,40.0102747732934,44.38021034013167,49.22674373494066,70.00081966032168,574483.6679603256,641502.4845996761,705512.9824737427,951685.1949537317,0.03474599076104248,0.005967947636079257,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.589879689204122,1.772041282593022,1.853617762791896,1.859227285258142,9175.689,9211.788,9130.698,8729.407
AZE,0.00718,0.0112,22.7,935.0,296.0,11100.0,322000.0,1.34e7,0.0231,1.81,0.686,30500.0,1.25e6,10400.0,0.0,0.0,42.34845264603794,112.74086599463341,205.859375,480.9448597174765,0.18956438603188838,0.3722323977655185,0.5774641209702325,1.0000000000000002,18808.116728612615,21027.678195785706,23182.2836029141,35357.879788527076,0.0005749179960349952,0.00251188916852679,0.005871976720268207,0.012371076772968625,0.01989951604002376,0.02254221695507737,0.02375098018980443,0.02383467864255956,14.272680830113902,15.817808284771893,17.339887431304934,26.284097331573964,206132.30448239937,238301.1089352579,264155.3742821242,367042.2762169177,0.031106384225205137,0.023281086644812547,0.014334582901770969,-5.450569448956481e-18,-0.0,-0.0,-0.0,0.0,1.5939609689688876,1.7765901778824489,1.8583760679128825,1.863999990230065,10739.736,11055.063,11064.995,10013.683
