time,co2_emissions
2020,0.40903837610676014
2021,0.4466008453132051
2022,0.42940241083877495
2023,0.398892702472396
2024,0.37573727399244045
2025,0.3526185206087877
2026,0.329534683480684
2027,0.3064839368038278
2028,0.283464375189314
2029,0.2604740443666669
2030,0.13431138563801734
2031,0.11403011919258901
2032,0.09536653842067894
2033,0.07847115198865691
2034,0.06342214125066813
2035,0.049883065057729575
2036,0.03848872302196616
2037,0.028634047273664743
2038,0.0202755465855542
2039,0.013271500006592949
2040,0.007835113593523828
2041,0.0047242577923295925
2042,0.0021891188274272095
2043,0.00015150860359035596
2044,-0.0013879639178208246
2045,-0.0024099978867348263
2046,-0.002881556663541802
2047,-0.0028723651492348007
2048,-0.0024003390994074033
2049,-0.001435222263431866
2050,0.0
2051,0.0
2052,0.0
2053,0.0
2054,0.0
2055,0.0
2056,0.0
2057,0.0
2058,0.0
2059,0.0
2060,0.0
2061,0.0
2062,0.0
2063,0.0
2064,0.0
2065,0.0
2066,0.0
2067,0.0
2068,0.0
2069,0.0
2070,0.0
2071,0.0
2072,0.0
2073,0.0
2074,0.0
2075,0.0
2076,0.0
2077,0.0
2078,0.0
2079,0.0
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,0.0
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
