country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.0066,0.000225,38.5,1580.0,296.0,11100.0,7760.0,323000.0,0.0474,1.24,0.686,69100.0,2.86e6,107.0,-176000.0,-8.91e6,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,40400.93844137558,46060.828916864004,54355.9429863392,86864.68356871347,0.0005188752357518758,0.002153601520456506,0.004930248869971114,0.01147269723341955,0.04131879158514314,0.0464253497561528,0.048738702657322955,0.04889830588578586,22.31894234360179,24.70874052133644,29.014576824570018,49.00115815040508,4640.449027110236,5358.936024406517,6228.141445821644,9736.433566842808,0.0006259783341152399,0.0004476823891385526,0.00028377138118479287,0.0,-45967.509862833125,-304132.9149316787,-437595.2942721774,0.0,1.0919783151685885,1.2170922625573581,1.2731206065900376,1.2769713714708602,110.244,110.937,108.709,105.636
AFG,0.0073,0.00765,5.88,208.0,296.0,11100.0,652000.0,2.26e7,0.0225,1.94,0.686,8620.0,308000.0,67400.0,1.95e7,9.56e8,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,2031.2874278033376,2803.5095471468917,3902.0373897227023,11698.26753089003,0.0004961997058736502,0.002186987540473074,0.005245427133387972,0.012948181852723043,0.019399237911862547,0.022029308542318483,0.023235514396240834,0.023319065657805605,1.2704900276866715,1.7713172961278776,2.5217524201748556,8.056624560893221,99637.42646770453,163403.0109360889,259570.5360833278,932289.5941142987,0.012853321062204688,0.013862209323067108,0.012582807052704885,0.0,-943858.8054842247,2.207112399926536e7,4.979285480114236e7,0.0,1.7112107740448892,1.9072735820521107,1.9950741405694403,2.001108573910143,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.00144,0.00657,5.7,217.0,296.0,11100.0,1.58e6,5.45e7,0.0582,1.89,0.686,11600.0,457000.0,106000.0,2.59e6,1.17e8,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,6596.744745236221,6737.649141634163,7262.462500730606,13559.616440067943,0.0002134189331240909,0.0007834377796873761,0.0015609872381642362,0.002175083598778068,0.050473345162112805,0.05694606026745224,0.05989489434655376,0.06009872115874783,2.637645211652547,2.8369765280566575,3.17073508162518,6.858070839183864,310758.9236307176,426063.12722741126,596864.2820287567,2.047304241210916e6,0.017242208990882302,0.012948055441182627,0.008610259238725937,0.0,-1.266148313208747e6,-660872.9813099944,6.122322554271598e6,0.0,1.6621545251882848,1.8525966895863077,1.9378802197435403,1.9437416605644664,44834.707,59782.166,77420.355,142116.013
ALB,0.00631,0.00188,20.2,825.0,296.0,11100.0,57000.0,2.5e6,0.0285,1.9,0.686,29500.0,1.19e6,2070.0,-1.11e6,-5.72e7,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,14986.50680237673,17999.21049614012,21682.535415487342,37989.37313398925,0.00044698678644643897,0.002067936550081219,0.005055180664861041,0.01106236640238672,0.02463861690510201,0.027887732544337435,0.029372730904153398,0.029475480122085385,11.391059752576266,13.107719543661004,15.27242581214691,25.337524902440578,42815.56768622723,48842.50020452247,54381.26921442819,65636.65083062621,0.004975454320819358,0.003917970712246048,0.0025405474187489407,0.0,-365362.8777545493,-2.236076300870521e6,-2.865767778413698e6,0.0,1.6755867297520524,1.867567895531112,1.9535406190248437,1.9594494273263212,2786.972,2634.385,2424.052,1659.729
ARE,0.00868,0.0643,48.3,2000.0,296.0,11100.0,1.16e6,4.94e7,0.0746,1.75,0.686,94700.0,4.13e6,11200.0,-5.79e7,-2.98e9,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,74452.05038450567,81380.29015587045,86890.37477492134,103527.98006478146,0.0008901151113676684,0.0036993938966000616,0.008203691546849119,0.014216562172080748,0.06469783402341805,0.07296984514252786,0.07673754984503824,0.07699796136756949,27.660090687417952,33.90734954007331,39.843974001315644,58.682148600723536,845860.3763847509,933370.4372703776,983602.7347056187,1.312077314863772e6,0.19574073154947932,0.13394012686673448,0.07457106317927033,0.0,-1.437384254005538e7,-1.134141868980262e8,-1.518414835665817e8,0.0,1.540023654231996,1.7164726145973817,1.795489728691312,1.8009204858052363,10661.076,10648.314,10425.284,11600.276
ARG,0.00538,0.0579,29.0,1170.0,296.0,11100.0,2.83e6,1.14e8,0.031,1.45,0.686,48600.0,1.99e6,55200.0,-4.27e7,-2.15e9,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,26169.80677793552,31640.367800318465,38031.351495799485,61475.1547064367,0.000423081765270679,0.001756008901916577,0.0040200384435548926,0.009354636073347484,0.02696945965800472,0.030356362452642772,0.03189395209386875,0.03200010693330721,14.758315256258623,17.58550667163954,21.309554644470143,37.618437149532326,1.3189823891867516e6,1.7079938439916312e6,2.162029007147994e6,3.710184641285792e6,0.14507736414761724,0.11634269056984532,0.08032172138129555,0.0,-1.0653476013277978e7,-7.223853791405334e7,-1.0625286431626004e8,0.0,1.278046809123701,1.4244796448457187,1.4900549821182318,1.494561901074641,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.00502,0.002,25.1,1010.0,296.0,11100.0,92000.0,3.78e6,0.00858,1.83,0.686,36800.0,1.46e6,2600.0,-1.19e6,-6.06e7,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,16080.430045645326,19957.617166375014,25729.265130909225,49539.148738993994,0.00040539017966380683,0.0017594929129968859,0.004104256960772937,0.008646845921997064,0.007207198443046226,0.008350739948746622,0.008884446199382865,0.008921619787154035,12.81336783453623,14.989992481602759,18.46752152783015,32.729285331397335,48074.52161304226,58569.20114744971,73404.52842958916,118516.86101477605,0.0050666924936320044,0.003997448813027692,0.0027841887931372004,0.0,-372062.7767446728,-2.1451720276630106e6,-2.951153901906544e6,0.0,1.6141165140105156,1.7990546998774004,1.881873446458323,1.8875654854845267,2967.01,2905.147,2816.114,2350.729
AUS,0.00733,0.11,41.9,1810.0,296.0,11100.0,2.73e6,1.13e8,0.0385,1.81,0.686,72200.0,3.11e6,35200.0,-9.96e7,-5.08e9,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,54272.18391675891,58650.98284406622,62912.922080409226,81746.8224390271,0.0007482926710290034,0.003166974438514464,0.0070869649013469895,0.01194404877624606,0.033355359788515816,0.03764137730383426,0.03959380997888869,0.03972875757353806,31.58478739584132,34.15383626062128,36.72969034422986,47.362277689745824,1.5814689209271397e6,1.866699875622574e6,2.161762522224427e6,3.346232719077108e6,0.30765820720075465,0.22932169627287013,0.14158249127211994,0.0,-2.2592286191292077e7,-1.797314348844965e8,-2.6182612832135415e8,0.0,1.5949299778056585,1.7776698569406586,1.859504161031883,1.865128540436301,28177.48,30572.49,32814.106,38899.744
AUT,6.73e-5,0.00706,59.3,2500.0,296.0,11100.0,822000.0,3.5e7,0.00651,1.81,0.686,91900.0,3.88e6,8940.0,-880000.0,-5.54e7,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,62258.32183490333,69184.68379085908,76749.57218946461,108285.65982030128,0.00023245909642145455,0.00023971034718682345,0.0,0.0,0.005399547920100086,0.00632257995171381,0.006756541622575607,0.006786836876696158,40.02724084146532,44.38517491785795,49.22667533840544,70.00080628575165,574483.6679603256,641501.6171067628,705511.9953766407,951684.9873931758,0.03471847044823664,0.00596500243571815,0.0,0.0,-2.549483817211205e6,-3.706403596917578e6,0.0,0.0,1.589879689204122,1.7720409290624866,1.8536161077633067,1.8592226777719567,9175.689,9211.788,9130.698,8729.407
AZE,0.00718,0.0112,22.7,934.0,296.0,11100.0,322000.0,1.34e7,0.0231,1.81,0.686,30500.0,1.25e6,10400.0,-6.92e6,-3.57e8,42.578125,112.890625,205.859375,480.94485971747645,0.19020628574799625,0.3725413544902927,0.5774641209702325,1.0,18807.808694263003,21026.125061901334,23180.20431232453,35357.5008041509,0.0005799933387121359,0.0025173134926349456,0.005871976720268207,0.012371076772968616,0.01989951604002376,0.02254221175069265,0.023750955506506105,0.02383460986462147,14.27798303460393,15.8234810519428,17.337023002081253,26.23601553414401,206132.30448239937,238299.02399621805,264150.2364155614,367038.3174080432,0.031081746636655028,0.023269425234521933,0.014334304091716913,0.0,-2.282428028589425e6,-1.3873206573896809e7,-1.802432575481944e7,0.0,1.5939609689688876,1.7765898234443875,1.8583744086357739,1.8639953709162929,10739.736,11055.063,11064.995,10013.683
