time,consumption_ede
2020,31.111922518421153
2021,31.493658009951318
2022,31.863275248819978
2023,32.22822435402828
2024,32.59215970295461
2025,32.95589626223035
2026,33.311085999677736
2027,33.6632728877955
2028,34.01491177173352
2029,34.3665046972711
2030,37.15754374730931
2031,37.8003538878034
2032,38.43429988718601
2033,39.05644393272158
2034,39.65942231492385
2035,40.25673846235254
2036,40.800924583470405
2037,41.33021521897373
2038,41.84840233795752
2039,42.364392612704705
2040,42.86415442798533
2041,43.385717132674976
2042,43.883278653364776
2043,44.36620782761817
2044,44.83495678864066
2045,45.28768379802701
2046,45.75106267153724
2047,46.20113690518997
2048,46.64420347906718
2049,47.07807904121686
2050,47.507257480910305
2051,47.96373492680982
2052,48.41781345441552
2053,48.872544775843096
2054,49.327558943235964
2055,49.78239979662558
2056,50.229306910282645
2057,50.67500686772235
2058,51.122076752960915
2059,51.569551043579
2060,52.022470358440955
2061,52.45171157625839
2062,52.874542014183476
2063,53.290360932615066
2064,53.701830767597215
2065,54.10504324652495
2066,54.48203088787095
2067,54.84495232469481
2068,55.20291814478703
2069,55.5520134069331
2070,55.89212725210564
2071,56.29663170886044
2072,56.695142800551466
2073,57.09675081776796
2074,57.50204697234303
2075,57.91127383624985
2076,58.29032595142287
2077,58.67561314921575
2078,59.05473958795464
2079,59.45832255889372
2080,60.113439606084675
2081,60.76936322212696
2082,61.438631839505064
2083,62.12474760627016
2084,62.827473276515704
2085,63.54689171302854
2086,64.2659087210232
2087,64.99743875907008
2088,65.74322174621406
2089,66.5028351724786
2090,67.2755863674189
2091,68.04429600226057
2092,68.82454061210659
2093,69.62016779010439
2094,70.43329340470667
2095,71.26278380188351
2096,72.0911310902975
2097,72.93123379355282
2098,73.78446913927768
2099,74.65042213815238
2100,75.5281189212963
