time,consumption_ede
2020,31.111922518421153
2021,31.493658009951318
2022,31.863275248819978
2023,32.22822435402828
2024,32.59215970295461
2025,32.95589626223035
2026,33.311085999677736
2027,33.6632728877955
2028,34.01491177173352
2029,34.3665046972711
2030,34.64103718469094
2031,34.981545702550726
2032,35.322759371193214
2033,35.66933838941238
2034,36.01943081980554
2035,36.37454111322357
2036,36.729600037341726
2037,37.08908918167131
2038,37.45603309113068
2039,37.83072717043582
2040,38.21444433644283
2041,38.58907227763997
2042,38.96852762704384
2043,39.35520494937461
2044,39.74944886260813
2045,40.151127712107304
2046,40.5543335318242
2047,40.963373659397085
2048,41.38234044419826
2049,41.81308990324916
2050,42.256364386743826
2051,42.69517356984392
2052,43.14107364626374
2053,43.59751998126191
2054,44.06437111944913
2055,44.5412509619575
2056,45.016355052795205
2057,45.49968494220653
2058,45.99539392999831
2059,46.50328241697713
2060,47.02464329736274
2061,47.544501045526374
2062,48.07419698197503
2063,48.61647188416962
2064,49.171282003573914
2065,49.73873799824631
2066,50.29940722686984
2067,50.86818787583005
2068,51.44995265944938
2069,52.04621158866314
2070,52.6578672517437
2071,53.26658812015683
2072,53.8857080518116
2073,54.51833456935159
2074,55.164948816352755
2075,55.82569125682927
2076,56.482321036643256
2077,57.14849017410761
2078,57.82700873697021
2079,58.51824024892582
2080,59.22423159845182
2081,59.92879528800031
2082,60.644340364963675
2083,61.37441638412234
2084,62.11888576448719
2085,62.87792421293179
2086,63.63469686548295
2087,64.40204268406396
2088,65.18176932191282
2089,65.97354115551204
2090,66.77675086647496
2091,67.57441429205589
2092,68.38204919131476
2093,69.20355421200091
2094,70.04111043443741
2095,70.89366672012181
2096,71.74387067259505
2097,72.60460508267984
2098,73.47730429627649
2099,74.36161609188245
2100,75.25662801327132
