country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.00387,0.000383,38.5,1580.0,164.0,7260.0,7760.0,323000.0,0.0483,1.26,0.41,69100.0,2.85e6,107.0,-1.29e7,-6.59e8,41.24282168962252,112.88216888846115,206.2011774930931,0.0,0.18645584995046316,0.37252391340798174,0.5780631867013044,0.0,40322.50969142998,45863.460071467765,54048.92627437321,87821.33143561737,0.0004926924762024909,0.0021533393876521536,0.004943558072042235,0.0,0.04128974066864233,0.0463905031699001,0.04870293717071965,0.04907607037996792,22.268187028674934,24.579134651358896,28.804200457901867,49.59566260648825,4640.4627536791395,5357.183232901841,6222.037994995607,9732.37749382031,0.0006288793173146868,0.0004475484018408731,0.00028309135804854764,0.0006036184960479639,-8.946386622979492e6,-2.069968332183642e7,-2.8144342507276785e7,0.0,1.091260821185243,1.216245222275571,1.2722574285984987,1.2812580842294092,110.244,110.937,108.709,105.636
AFG,0.00425,0.0307,6.07,216.0,164.0,7270.0,658000.0,2.29e7,0.023,1.98,0.41,8860.0,319000.0,67400.0,7.27e9,3.79e11,41.36960699886594,112.90899792999141,206.20880776457858,0.0,0.18681388582861913,0.3725792477352543,0.5780765557703531,0.0,2175.291636572239,3099.988260829489,4239.469261692765,11939.73346420807,0.0004735170858646784,0.00218756595914477,0.005259903429528829,0.0,0.019384406175909086,0.02201120854766661,0.0232167972473648,0.023412174412044257,1.3997244269989093,2.018601868995099,2.7915808518225136,8.216165498258155,99681.59046510234,166671.0014126284,266304.2001884432,939297.974457179,0.012912887450410847,0.014138593688820951,0.012890513695710872,0.06574916422894544,6.877791368301334e9,1.3701924903003849e10,1.5328684435169794e10,0.0,1.7100864079127436,1.905946207290076,1.9937214768228058,2.007826169814538,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.001,0.0144,5.84,224.0,164.0,7260.0,1.59e6,5.48e7,0.0594,1.92,0.41,11800.0,466000.0,106000.0,9.98e9,5.0e11,41.2631838680817,112.887395025766,206.20399213904798,0.0,0.18651337959674807,0.3725346925917101,0.5780681182900377,0.0,6735.733194026923,7017.798007712562,7590.591270072245,13657.378275800946,0.00020281229222752698,0.0007834013550553264,0.0015652358399726976,0.0,0.050436666887802115,0.05690172020672309,0.05984922552535758,0.06032579917986912,2.78751162242526,3.111555480539644,3.47297942557914,6.9055512124919165,310781.8197510727,428316.02239228814,602861.9149228248,2.058020431607216e6,0.017322114885188693,0.013016659109337286,0.008684348354464274,0.024199349739091353,6.194982785320189e9,1.4600398811778816e10,1.9738041612080948e10,0.0,1.6610623918971317,1.8513073674286862,1.9365663335749694,1.9502666793407823,44834.707,59782.166,77420.355,142116.013
ALB,0.00392,0.00271,20.3,830.0,164.0,7260.0,57100.0,2.51e6,0.0291,1.94,0.41,29700.0,1.2e6,2070.0,8.74e7,5.06e9,41.24610101289237,112.88290085732471,206.2011773313642,0.0,0.18646511580369185,0.37252542314362413,0.5780631864179357,0.0,15067.598981951587,18112.8392440219,21768.602416272555,38437.81489296211,0.00042448640300576696,0.0020677066316972833,0.005068827113731647,0.0,0.02462024867512285,0.027865425369350234,0.029349711045060133,0.029589965883770573,11.474786283591998,13.221475399362083,15.35665010138621,25.638218954460992,42816.1819902806,48873.90922877448,54438.074666231725,65684.08807423389,0.004998512162613057,0.003920589774176678,0.002539595502448428,0.0039281338171026714,2.233480065659238e8,2.655714162537529e8,1.504045502817322e8,0.0,1.6744857707124172,1.8662681541021726,1.952216115078249,1.9660271760899264,2786.972,2634.385,2424.052,1659.729
ARE,0.00575,0.088,48.0,1980.0,164.0,7260.0,1.16e6,4.94e7,0.0761,1.78,0.41,94200.0,4.1e6,11200.0,-5.63e9,-3.01e11,41.24515085906422,112.88991536318558,206.2055959408958,0.0,0.18646243113616412,0.37253989085363315,0.5780709283270629,0.0,73854.17390938538,80100.6579098479,85424.33073833674,104801.29005065188,0.0008452769284810771,0.0036993561079525774,0.008226123831948335,0.0,0.06465095137706581,0.07291318852454089,0.07667920254655501,0.07728807654530505,27.29301773942642,33.103296931184545,38.90535097841668,59.44131629573469,845869.7211459568,931696.8765249195,980280.3598344199,1.3096848507920762e6,0.1966478565132771,0.13370028013980736,0.07421244955263853,0.1006559502620406,-6.46772747887502e9,-1.223108072132601e10,-1.240399488135536e10,0.0,1.5390117681068118,1.7152780285402052,1.794272383523998,1.8069660628605322,10661.076,10648.314,10425.284,11600.276
ARG,0.00316,0.108,29.1,1170.0,164.0,7260.0,2.83e6,1.14e8,0.0316,1.48,0.41,48700.0,1.99e6,55200.0,-3.83e8,-1.24e10,41.247667066114516,112.88495481604062,206.20193065929305,0.0,0.1864695406494562,0.3725296595537865,0.5780645063390024,0.0,26203.1550078413,31666.49801688794,38013.97769037491,62059.13282390555,0.0004018095007286919,0.0017558655800243611,0.004030914458600673,0.0,0.026950220908996517,0.030333216680907667,0.031870165142170226,0.032118352162139145,14.812639522182844,17.647736888431908,21.33246021878538,37.99383232765133,1.3190084876587053e6,1.708340048557154e6,2.1622345714530153e6,3.7108172360995505e6,0.14574969891237732,0.11636844174083548,0.08021521754610231,0.18766121437892386,1.5485073534107459e9,9.214550249721454e8,-1.2832350767126286e9,0.0,1.2772070571952585,1.4234882724765978,1.4890447222417602,1.4995790515863228,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.00311,0.00332,25.3,1020.0,164.0,7260.0,92100.0,3.78e6,0.00881,1.87,0.41,37000.0,1.46e6,2600.0,1.12e8,6.41e9,41.24527117518991,112.88148934403009,206.19969744573035,0.0,0.18646277109165832,0.3725225117980163,0.5780605934751866,0.0,16164.526028370112,20090.652474589577,25839.742852715626,50000.94364735219,0.00038497109628451905,0.0017592615404840959,0.004115288398374588,0.0,0.007200832134084368,0.008342774137794577,0.008876122160255776,0.00896307642889743,12.90920633604622,15.131553558948848,18.57864462468419,33.04449668802364,48075.07281234737,58624.37960597446,73505.17506641413,118592.17632615457,0.005090173162210678,0.004001334994996728,0.0027840705711504247,0.0055435991556438925,2.4731831895637143e8,3.292448077822379e8,2.090208904446203e8,0.0,1.6130559445183072,1.797802640484029,1.8805975329797133,1.8939019243663973,2967.01,2905.147,2816.114,2350.729
AUS,0.00492,0.16,41.8,1800.0,164.0,7260.0,2.73e6,1.12e8,0.0393,1.84,0.41,72000.0,3.1e6,35200.0,-8.77e9,-4.63e11,41.245062422730285,112.88708721407154,206.20315044922063,0.0,0.18646218125738878,0.372534057719048,0.5780666435537158,0.0,53978.58313154423,58008.82393963074,62157.68945912341,82633.19794129719,0.0007105961000409986,0.003166813163405875,0.007106206643481514,0.0,0.0333310719685207,0.03761201836510853,0.03956357389416495,0.03987909793003352,31.347882025127458,33.65644107552061,36.15849951036163,47.910961559916295,1.5814859066721895e6,1.8643832285617292e6,2.1564144457729e6,3.342598026798058e6,0.30908399343267406,0.22903976263177278,0.1410308316990714,0.21583097930763395,-8.405586402960815e9,-1.7637557473136314e10,-1.9956166853448196e10,0.0,1.593882014996291,1.7764326804152046,1.8582434139678035,1.87138965990166,28177.48,30572.49,32814.106,38899.744
AUT,6.65e-5,0.00706,59.4,2510.0,30.1,1780.0,823000.0,3.5e7,0.00669,1.84,0.0974,92000.0,3.89e6,8940.0,3.73e8,2.18e10,41.24415896974669,112.88105020120237,0.0,0.0,0.18645962851992193,0.3725216060322133,0.0,0.0,62257.45467884405,69394.08829039783,77078.73315002843,108347.79031695043,0.00022074069953621607,0.00023967731020120502,0.0,0.0,0.005394437447945261,0.006316117305531836,0.006749759005981721,0.006820632984615486,40.030172558381764,44.557136343804885,49.48991032389806,70.04075359327186,574488.0355525862,641620.8599843385,705976.8264933993,952262.9954736688,0.0348793669106089,0.005966298991267354,0.0,0.0,-2.4449116603815343e7,1.8027034281917431e9,0.0,0.0,1.5888350447314241,1.7708076700121518,1.8523593528096116,1.86546397162697,9175.689,9211.788,9130.698,8729.407
AZE,0.00445,0.0178,22.8,938.0,164.0,7260.0,322000.0,1.34e7,0.0236,1.84,0.41,30600.0,1.26e6,10400.0,1.24e8,7.01e9,41.25536785738039,112.88936718853944,206.20318062782374,0.0,0.186491298133723,0.372538760232775,0.5780666964301004,0.0,18843.88350557829,21068.035464308727,23202.84175323886,35817.22823944819,0.0005509987885331905,0.0025172679155204027,0.005887921061361433,0.0,0.019884584388073157,0.022524058522313005,0.023732213986098226,0.023927822566781283,14.306464387962741,15.856860749178697,17.35548747997704,26.56464277272283,206141.89635269533,238403.24906344246,264261.2120908393,367244.3790679412,0.031225789361280388,0.023279698855442604,0.014319875628269276,0.02456069884488373,3.6693437167437696e8,3.4363875962539953e8,1.2411226253379095e8,0.0,1.5929136428553228,1.7753533985726129,1.8571144275457891,1.8702526864026845,10739.736,11055.063,11064.995,10013.683
