time,co2_emissions
2020,0.3043056717566514
2021,0.3084160278104475
2022,0.3099720079944631
2023,0.3098220227466939
2024,0.3108267768523366
2025,0.3118034566378758
2026,0.3100696386166593
2027,0.3063375044834193
2028,0.28333328058644164
2029,0.2603575214818752
2030,0.23740832365460038
2031,0.21886480696796282
2032,0.20034007389905897
2033,0.18183243135891541
2034,0.16334017490605857
2035,0.14486164517913072
2036,0.12639539772336544
2037,0.10793998696689065
2038,0.08949417251089743
2039,0.07105677440768611
2040,0.05262666927492457
2041,0.04735768985448498
2042,0.04209088053864459
2043,0.03682590414107143
2044,0.03156245007531632
2045,0.026300235253764827
2046,0.02103900049710332
2047,0.015778535674926816
2048,0.010518652164709265
2049,0.005259188663406982
2050,0.0
2051,0.0
2052,0.0
2053,0.0
2054,0.0
2055,0.0
2056,0.0
2057,0.0
2058,0.0
2059,0.0
2060,0.0
2061,0.0
2062,0.0
2063,0.0
2064,0.0
2065,0.0
2066,0.0
2067,0.0
2068,0.0
2069,0.0
2070,0.0
2071,0.0
2072,0.0
2073,0.0
2074,0.0
2075,0.0
2076,0.0
2077,0.0
2078,0.0
2079,0.0
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,0.0
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
