time,co2_emissions
2020,2.369364539891809
2021,2.4415972808354183
2022,2.516680443603106
2023,2.5947576823028307
2024,2.676006928267321
2025,2.7606400964253774
2026,2.839240559671867
2027,2.920850705596382
2028,3.005646389398677
2029,3.093801887878305
2030,3.185495315235545
2031,3.2715019880198613
2032,3.3606285226669974
2033,3.453006842998196
2034,3.548758226019514
2035,3.647995931828676
2036,3.738448790001056
2037,3.831625229472638
2038,3.9276369967527134
2039,4.026601510855534
2040,4.128642126874755
2041,4.22084764589174
2042,4.315375840524333
2043,4.4123038427687735
2044,4.511708061530546
2045,4.613664222985958
2046,4.705274666089695
2047,4.798633335797684
2048,4.8938113289613
2049,4.99089459171692
2050,5.089993062479593
2051,5.178187768433255
2052,5.267740271488729
2053,5.358723332392738
2054,5.451209772893611
2055,5.545260211472155
2056,5.627534438784094
2057,5.710600712359074
2058,5.794535619605984
2059,5.879424431322744
2060,5.965339014380321
2061,6.038696997093372
2062,6.11242853455729
2063,6.186616441061898
2064,6.261325712773252
2065,6.3366157478034015
2066,6.398766022443695
2067,6.460827008369276
2068,6.522847422626292
2069,6.584902889020611
2070,6.647256530147684
2071,6.696846064345391
2072,6.746264974045883
2073,6.7955955374764665
2074,6.844899552695785
2075,6.894240812158978
2076,6.9316937342684675
2077,6.968744846072202
2078,7.005458792639045
2079,7.041882052215239
2080,7.078045282310277
2081,7.103154227671168
2082,7.127624257166016
2083,7.151543415540363
2084,7.175003290049586
2085,7.19808478317837
2086,7.21134055012433
2087,7.224005635139754
2088,7.236144847541946
2089,7.2478139564339825
2090,7.25905784481455
2091,7.261201503539739
2092,7.26269358433623
2093,7.263602449547068
2094,7.264034036639566
2095,7.264121352072861
2096,7.256217477150761
2097,7.247858472634186
2098,7.239105622356767
2099,7.2300087861148
2100,7.22060750982785
