time,country,cons_EDE_country
2020,IND,3.271205006259469
2021,IND,3.3662072536027106
2022,IND,3.4618610316059555
2023,IND,3.561311099499042
2024,IND,3.6669367999357676
2025,IND,3.7793392332208553
2026,IND,3.890320283537901
2027,IND,4.006705767995461
2028,IND,4.129185887971273
2029,IND,4.2581031233493
2030,IND,4.5064862574231235
2031,IND,4.655317237452433
2032,IND,4.8099072263993
2033,IND,4.971604069467302
2034,IND,5.136704493635817
2035,IND,5.306861219609654
2036,IND,5.472177120737451
2037,IND,5.641230420094272
2038,IND,5.81552800356076
2039,IND,5.995493532856865
2040,IND,6.181149746337533
2041,IND,6.36455399769556
2042,IND,6.550129463319235
2043,IND,6.739231404271763
2044,IND,6.931746733366367
2045,IND,7.126957834422514
2046,IND,7.313908825672169
2047,IND,7.502200894316543
2048,IND,7.694316443508008
2049,IND,7.892037732948641
2050,IND,8.09606190144475
2051,IND,8.295709224227414
2052,IND,8.497070554605541
2053,IND,8.701770894115581
2054,IND,8.909006361608943
2055,IND,9.117911129809258
2056,IND,9.315918944350637
2057,IND,9.514288682687331
2058,IND,9.715536636995427
2059,IND,9.918942218152157
2060,IND,10.12639724955738
2061,IND,10.322585362693955
2062,IND,10.518151980151496
2063,IND,10.714150902671266
2064,IND,10.910402894100628
2065,IND,11.10628049243193
2066,IND,11.289429572869404
2067,IND,11.4695340141997
2068,IND,11.648336755974514
2069,IND,11.827576355013116
2070,IND,12.008302487700746
2071,IND,12.181995632923138
2072,IND,12.351482925160338
2073,IND,12.518895351114796
2074,IND,12.684667661458022
2075,IND,12.848581936343496
2076,IND,12.994338783655566
2077,IND,13.132368206465593
2078,IND,13.263810960799242
2079,IND,13.292535645075011
2080,IND,13.421475561020623
2081,IND,13.528341410771485
2082,IND,13.625369823517406
2083,IND,13.717853045939462
2084,IND,13.805341876911067
2085,IND,13.887864868720804
2086,IND,13.949939112722728
2087,IND,13.99886987829716
2088,IND,14.038166199105452
2089,IND,14.066726175343394
2090,IND,14.082801505454052
2091,IND,14.072745119597709
2092,IND,14.046982076956533
2093,IND,14.127073745209847
2094,IND,13.98510380819288
2095,IND,13.948633949129105
2096,IND,13.887789672443281
2097,IND,13.811298192295046
2098,IND,13.722545456711813
2099,IND,13.620467836066616
2100,IND,13.502701300709155
2101,IND,14.000534446810473
2102,IND,14.195130082310374
2103,IND,14.383841190492365
2104,IND,14.566619777526554
2105,IND,14.745253130365658
2106,IND,14.91812263877146
2107,IND,15.082955499619539
2108,IND,15.23879985272469
2109,IND,15.384340433437165
2110,IND,15.518002399390344
2111,IND,15.63649583620357
2112,IND,15.746650016936327
2113,IND,15.855015452624814
2114,IND,15.962882964236092
2115,IND,16.068814899267856
2116,IND,16.170496921926944
2117,IND,16.26836580038842
2118,IND,16.359822487311
2119,IND,16.4441691368271
2120,IND,16.518381649970404
2121,IND,16.58026590268469
2122,IND,16.631442613482946
2123,IND,16.683044421803757
2124,IND,16.736733006492592
2125,IND,16.790451515910227
2126,IND,16.847269937028397
2127,IND,16.901550375668755
2128,IND,16.95122740144893
2129,IND,16.995171055740105
2130,IND,17.030011391722784
2131,IND,17.050505828040244
2132,IND,17.06457644281141
2133,IND,17.08081721316966
2134,IND,17.1004200343228
2135,IND,17.12640475542008
2136,IND,17.156854780711978
2137,IND,17.18607111740122
2138,IND,17.210738097090555
2139,IND,17.23215356661075
2140,IND,17.249281874860237
2141,IND,17.25921981749155
2142,IND,17.26168726455948
2143,IND,17.262792460379316
2144,IND,17.265019965310454
2145,IND,17.26788072200413
2146,IND,17.274529925090395
2147,IND,17.282120224955424
2148,IND,17.28881764458992
2149,IND,17.295815104820655
2150,IND,17.301056378641157
2151,IND,17.304003329083994
2152,IND,17.301683959632925
2153,IND,17.290131433976452
2154,IND,17.27204714913918
2155,IND,17.256574314567818
2156,IND,17.247061758423204
2157,IND,17.2425105134723
2158,IND,17.24362599255817
2159,IND,17.248124033087656
2160,IND,17.25217463136586
2161,IND,17.25264908698117
2162,IND,17.24645301879442
2163,IND,17.23062040902663
2164,IND,17.20666792242861
2165,IND,17.186901521728885
2166,IND,17.173554186945154
2167,IND,17.166898817955172
2168,IND,17.16886795975154
2169,IND,17.172108555666625
2170,IND,17.174022027066677
2171,IND,17.173218046706946
2172,IND,17.167788697817816
2173,IND,17.153991877544026
2174,IND,17.134605552352518
2175,IND,17.114803656075928
2176,IND,17.097314474593308
2177,IND,17.086416614347947
2178,IND,17.082831468328425
2179,IND,17.08241205862044
2180,IND,17.08256503678465
2181,IND,17.082705423041556
2182,IND,17.08195350605571
2183,IND,17.08002459952711
2184,IND,17.07552134225637
2185,IND,17.066640971833248
2186,IND,17.050106573037365
2187,IND,17.031324161621708
2188,IND,17.01524346697544
2189,IND,16.999488250367254
2190,IND,16.989686092011933
2191,IND,16.98753281996874
2192,IND,16.987310954853132
2193,IND,16.98567363227547
2194,IND,16.98185951361079
2195,IND,16.97494797376759
2196,IND,16.960723658664204
2197,IND,16.938682405960925
2198,IND,16.914765773684888
2199,IND,16.896475047001893
2200,IND,16.88621878369
2201,IND,16.882933207134837
2202,IND,16.88243807348618
2203,IND,16.880653531209727
2204,IND,16.87958975709066
2205,IND,16.878677430543505
2206,IND,16.876739222388426
2207,IND,16.872499886992067
2208,IND,16.862710971993668
2209,IND,16.84759065759652
2210,IND,16.83019605570712
2211,IND,16.81502848283211
2212,IND,16.803653530497094
2213,IND,16.796747425937276
2214,IND,16.793221425572632
2215,IND,16.793003453781623
2216,IND,16.79561508196653
2217,IND,16.795898655863148
2218,IND,16.792701597714927
2219,IND,16.784547531336504
2220,IND,16.76926969977027
2221,IND,16.74982063849817
2222,IND,16.727326754323087
2223,IND,16.709076269496993
2224,IND,16.70210157435152
2225,IND,16.70135902996809
2226,IND,16.704227145527415
2227,IND,16.706967130329048
2228,IND,16.70776016674461
2229,IND,16.705055898009178
2230,IND,16.69436064027658
2231,IND,16.678766399112373
2232,IND,16.66446419560286
2233,IND,16.651499290734638
2234,IND,16.6418200843425
2235,IND,16.637325464770704
2236,IND,16.637503960411866
2237,IND,16.639978728179333
2238,IND,16.640720219106335
2239,IND,16.639144222670176
2240,IND,16.633236069635903
2241,IND,16.61977434364223
2242,IND,16.599733340900826
2243,IND,16.581213627386756
2244,IND,16.568562566278317
2245,IND,16.562765481437456
2246,IND,16.56346998197217
2247,IND,16.56537127575364
2248,IND,16.567176961939275
2249,IND,16.569473650532263
2250,IND,16.570976235524377
2251,IND,16.57097906390309
2252,IND,16.56738374446451
2253,IND,16.55806295361059
2254,IND,16.5432481297066
2255,IND,16.52861682807161
2256,IND,16.516776699882843
2257,IND,16.507295445330218
2258,IND,16.502827519462397
2259,IND,16.501958496445777
2260,IND,16.504145081332897
2261,IND,16.50806421281618
2262,IND,16.509093889556397
2263,IND,16.506489105685976
2264,IND,16.498444027812198
2265,IND,16.48283502073598
2266,IND,16.46300264183889
2267,IND,16.442079296385913
2268,IND,16.42863539155316
2269,IND,16.42554446914588
2270,IND,16.42736266869582
2271,IND,16.431379530835333
2272,IND,16.43520510461365
2273,IND,16.436909207584552
2274,IND,16.432383742293837
2275,IND,16.420626408869442
2276,IND,16.40513528284854
2277,IND,16.391937794688207
2278,IND,16.383160914213857
2279,IND,16.37849928369432
2280,IND,16.379498414217917
2281,IND,16.38324578178827
2282,IND,16.385263557199508
2283,IND,16.385168940110734
2284,IND,16.381296018116515
2285,IND,16.369851999751685
2286,IND,16.351173002867203
2287,IND,16.33210004075186
2288,IND,16.317932457084677
2289,IND,16.31385874614962
2290,IND,16.315656268340522
2291,IND,16.317610033310388
2292,IND,16.321767359290305
2293,IND,16.325642283603365
2294,IND,16.3256783546915
2295,IND,16.317591740429894
2296,IND,16.302540133137246
2297,IND,16.284000748298155
2298,IND,16.26745633994967
2299,IND,16.259612678532154
2300,IND,16.255839927547513
