time,country,country_carbon_tax
2020,IND,0.0
2021,IND,0.0
2022,IND,0.0
2023,IND,0.0
2024,IND,0.0
2025,IND,0.0
2026,IND,0.0
2027,IND,0.0
2028,IND,0.0
2029,IND,0.0
2030,IND,59.60937499999999
2031,IND,69.015625
2032,IND,78.859375
2033,IND,88.921875
2034,IND,98.984375
2035,IND,109.484375
2036,IND,119.10937499999999
2037,IND,128.734375
2038,IND,138.359375
2039,IND,148.421875
2040,IND,158.046875
2041,IND,171.171875
2042,IND,184.078125
2043,IND,197.203125
2044,IND,210.546875
2045,IND,223.890625
2046,IND,236.57812499999997
2047,IND,249.26562499999997
2048,IND,262.390625
2049,IND,275.078125
2050,IND,288.203125
2051,IND,298.921875
2052,IND,309.859375
2053,IND,320.796875
2054,IND,332.171875
2055,IND,343.546875
2056,IND,354.484375
2057,IND,365.421875
2058,IND,376.796875
2059,IND,388.609375
2060,IND,399.984375
2061,IND,415.296875
2062,IND,430.609375
2063,IND,446.359375
2064,IND,462.10937499999994
2065,IND,478.29687499999994
2066,IND,494.48437499999994
2067,IND,511.10937499999994
2068,IND,527.734375
2069,IND,544.796875
2070,IND,562.296875
2071,IND,574.109375
2072,IND,586.359375
2073,IND,598.609375
2074,IND,610.859375
2075,IND,623.109375
2076,IND,636.234375
2077,IND,648.921875
2078,IND,662.046875
2079,IND,673.9968004048719
2080,IND,673.322803604467
2081,IND,672.6494808008625
2082,IND,671.9768313200616
2083,IND,671.3048544887416
2084,IND,670.6335496342529
2085,IND,669.9629160846187
2086,IND,669.292953168534
2087,IND,668.6236602153655
2088,IND,667.9550365551502
2089,IND,667.287081518595
2090,IND,666.6197944370764
2091,IND,665.9531746426393
2092,IND,665.2872214679967
2093,IND,664.6219342465287
2094,IND,663.9573123122822
2095,IND,663.2933549999698
2096,IND,662.6300616449699
2097,IND,661.9674315833248
2098,IND,661.3054641517416
2099,IND,660.6441586875899
2100,IND,659.9835145289022
2101,IND,0.0
2102,IND,0.0
2103,IND,0.0
2104,IND,0.0
2105,IND,0.0
2106,IND,0.0
2107,IND,0.0
2108,IND,0.0
2109,IND,0.0
2110,IND,0.0
2111,IND,0.0
2112,IND,0.0
2113,IND,0.0
2114,IND,0.0
2115,IND,0.0
2116,IND,0.0
2117,IND,0.0
2118,IND,0.0
2119,IND,0.0
2120,IND,0.0
2121,IND,0.0
2122,IND,0.0
2123,IND,0.0
2124,IND,0.0
2125,IND,0.0
2126,IND,0.0
