country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.00645,0.000229,38.6,1580.0,292.0,11000.0,7760.0,323000.0,0.0474,1.24,0.68,69100.0,2.86e6,107.0,0.0,0.0,42.200478594030905,111.39006862663824,201.8830620916405,480.9448597174765,0.18915012919698884,0.3694386771847651,0.5704673283810225,1.0000000000000002,40401.656862946846,46065.99983664858,54370.13939165991,86879.59108408372,0.0005114174761946093,0.002107277909635529,0.00477643471981157,0.011472697233419557,0.04131879158514314,0.04642536576536702,0.04873878406788168,0.048895341972528705,22.199906603790172,24.558053173293082,28.956922555122432,49.482890988558225,4640.449027110236,5358.969958129044,6228.34449177775,9738.076993626582,0.0006267947532930243,0.00044989895196096156,0.00028847977009769244,-1.341087216068752e-19,-0.0,-0.0,-0.0,0.0,1.0919783151685885,1.2170926516834575,1.2731225712750662,1.2768998780819198,110.244,110.937,108.709,105.636
AFG,0.00714,0.00791,5.89,208.0,292.0,11000.0,652000.0,2.26e7,0.0225,1.94,0.68,8620.0,308000.0,67400.0,0.0,0.0,42.200478594030905,111.39006862663824,201.8830620916405,480.9448597174765,0.18915012919698884,0.3694386771847651,0.5704673283810225,1.0000000000000002,2031.3215474289996,2803.2249056536366,3901.8103454511042,11700.238128510939,0.0004890678602124676,0.0021399458019096067,0.005081780036045681,0.012948181852723051,0.019399237911862547,0.022029316858291674,0.02323555700326661,0.02331751367962289,1.2666080864469924,1.7636610644532262,2.5156215990955677,8.089609031939956,99637.42646770453,163401.32284110037,259563.95812781373,932445.2260854336,0.012870084737944735,0.013930611696254223,0.012790842229366526,-1.44927368331953e-17,-0.0,-0.0,-0.0,0.0,1.7112107740448892,1.9072741918414853,1.995077219376173,2.0009965384825814,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.0014,0.0067,5.7,217.0,292.0,11000.0,1.58e6,5.45e7,0.0582,1.89,0.68,11600.0,457000.0,106000.0,0.0,0.0,42.200478594030905,111.39006862663824,201.8830620916405,480.9448597174765,0.18915012919698884,0.3694386771847651,0.5704673283810225,1.0000000000000002,6596.793225229357,6737.788429702073,7262.783314066087,13560.135688457132,0.00021035147686767217,0.0007665861632374604,0.0015122874804480435,0.002175083598778069,0.050473345162112805,0.05694608063869616,0.05989499830221349,0.06009493554401467,2.6288042316599216,2.825338834063023,3.1621650020465064,6.868440110393778,310758.9236307176,426064.05891662376,596868.0932385385,2.0473753289339463e6,0.01726469678210501,0.01301210984825317,0.008752892839000843,-5.3455414976128495e-18,-0.0,-0.0,-0.0,0.0,1.6621545251882848,1.852597281894505,1.9378832102883758,1.943632836919988,44834.707,59782.166,77420.355,142116.013
ALB,0.00616,0.00191,20.3,827.0,292.0,11000.0,57000.0,2.5e6,0.0285,1.9,0.68,29600.0,1.19e6,2070.0,0.0,0.0,42.200478594030905,111.39006862663824,201.8830620916405,480.9448597174765,0.18915012919698884,0.3694386771847651,0.5704673283810225,1.0000000000000002,14986.734223978276,18000.95298008375,21687.699664851738,37995.443632063296,0.0004405622748318841,0.0020234555785372684,0.0048974688863330906,0.011062366402386727,0.02463861690510201,0.02788774279312007,0.02937278330487989,0.02947357167057791,11.375072730232475,13.083176888023823,15.265375938709697,25.48232127963353,42815.56768622723,48842.74858453408,54382.63827313601,65647.01751809679,0.0049819434532770305,0.003937364440106968,0.002582681487387405,-8.717286605149429e-19,-0.0,-0.0,-0.0,0.0,1.6755867297520524,1.8675684926258704,1.9535436337368728,1.9593397242561144,2786.972,2634.385,2424.052,1659.729
ARE,0.00846,0.0651,48.5,2010.0,292.0,11000.0,1.16e6,4.94e7,0.0746,1.75,0.68,94700.0,4.13e6,11200.0,0.0,0.0,42.200478594030905,111.39006862663824,201.8830620916405,480.9448597174765,0.18915012919698884,0.3694386771847651,0.5704673283810225,1.0000000000000002,74454.35201196512,81398.80421188886,86932.53531080829,103551.70114595053,0.0008773215455516962,0.0036198205486469674,0.007947752368781416,0.014216562172080756,0.06469783402341805,0.07296987117236654,0.07673768266052222,0.07699312484021041,27.51643218223521,33.715948148274165,39.826636536349866,59.24186134347069,845860.3763847509,933386.0840687192,983661.3494711799,1.3123720539684019e6,0.19599602231339436,0.13460469467465833,0.07581040653276253,-2.2395968526497567e-17,-0.0,-0.0,-0.0,0.0,1.540023654231996,1.7164731633842845,1.7954924994985482,1.8008196582443226,10661.076,10648.314,10425.284,11600.276
ARG,0.00526,0.059,29.0,1170.0,292.0,11000.0,2.83e6,1.14e8,0.031,1.45,0.68,48600.0,1.99e6,55200.0,0.0,0.0,42.200478594030905,111.39006862663824,201.8830620916405,480.9448597174765,0.18915012919698884,0.3694386771847651,0.5704673283810225,1.0000000000000002,26170.18315224657,31643.18887615906,38039.189005023385,61483.59828493443,0.00041700083894957496,0.001718237442248722,0.0038946210836787545,0.00935463607334749,0.02696945965800472,0.030356373086375527,0.03189400623903571,0.03199813549849341,14.710970904005757,17.51825068775842,21.28582938882782,37.85384923520564,1.3189823891867516e6,1.708006951046073e6,2.1620923067056267e6,3.710687144537007e6,0.14526657827196857,0.11691888279902014,0.08165416333984525,-4.1667699394570187e-17,-0.0,-0.0,-0.0,0.0,1.278046809123701,1.4244801002772622,1.4900572815772934,1.4944782255141107,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.0049,0.00204,25.2,1020.0,292.0,11000.0,92000.0,3.78e6,0.00858,1.83,0.68,36800.0,1.46e6,2600.0,0.0,0.0,42.200478594030905,111.39006862663824,201.8830620916405,480.9448597174765,0.18915012919698884,0.3694386771847651,0.5704673283810225,1.0000000000000002,16080.649179259935,19959.243106109803,25734.35636076881,49545.75518177584,0.0003995635333363349,0.001721646512829664,0.003976212147395923,0.00864684592199707,0.007207198443046226,0.00835074360890352,0.008884465149416734,0.00892092904365119,12.794849329789633,14.962807209890183,18.459980605606734,32.89382943514149,48074.52161304226,58569.58534135013,73406.62656742943,118532.58503701737,0.005073300621572381,0.0040172418755887946,0.002830373212398203,-1.230307757199997e-18,-0.0,-0.0,-0.0,0.0,1.6141165140105156,1.7990552750672686,1.8818763505732725,1.8874598069576474,2967.01,2905.147,2816.114,2350.729
AUS,0.00714,0.112,42.1,1810.0,292.0,11000.0,2.73e6,1.13e8,0.0385,1.81,0.68,72200.0,3.11e6,35200.0,0.0,0.0,42.200478594030905,111.39006862663824,201.8830620916405,480.9448597174765,0.18915012919698884,0.3694386771847651,0.5704673283810225,1.0000000000000002,54273.56985377839,58661.67426155129,62938.19478558882,81763.17401420348,0.0007375375097985535,0.0030988533446276857,0.006865865416866485,0.011944048776246068,0.033355359788515816,0.03764139079226356,0.039593878805048985,0.039726251240954455,31.50178094276153,34.05155864900325,36.72895245022935,47.770156140716196,1.5814689209271397e6,1.8667254876070581e6,2.1618754185194788e6,3.3468939881922808e6,0.30805946399651335,0.23045881538930227,0.14393447924007088,-4.798569737018892e-17,-0.0,-0.0,-0.0,0.0,1.5949299778056585,1.777670425293411,1.8595070306264578,1.8650241180795089,28177.48,30572.49,32814.106,38899.744
AUT,6.59e-5,0.00706,59.3,2500.0,292.0,11000.0,822000.0,3.5e7,0.00651,1.81,0.68,91900.0,3.88e6,8940.0,0.0,0.0,42.200478594030905,111.39006862663824,201.8830620916405,480.9448597174765,0.18915012919698884,0.3694386771847651,0.5704673283810225,1.0000000000000002,62258.80774870641,69185.57685570877,76749.7604836418,108285.76206842382,0.00022911797715316154,0.00023455421745373809,0.0,0.0,0.005399547920100086,0.006322582921291714,0.006756557063997335,0.006786273863585639,40.01030411485881,44.380349136852224,49.22679603867033,70.00087599136113,574483.6679603256,641502.8605259865,705513.7370711635,951685.3538166701,0.034763751288726656,0.005994509987052354,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.589879689204122,1.7720414956155706,1.8536189682714133,1.859118586064814,9175.689,9211.788,9130.698,8729.407
AZE,0.00701,0.0114,22.7,935.0,292.0,11000.0,322000.0,1.34e7,0.0231,1.81,0.68,30500.0,1.25e6,10400.0,0.0,0.0,42.200478594030905,111.39006862663824,201.8830620916405,480.9448597174765,0.18915012919698884,0.3694386771847651,0.5704673283810225,1.0000000000000002,18808.178094591443,21028.796899030105,23187.13641081078,35364.16043068423,0.0005716571326901552,0.00246316649773382,0.005688782497662976,0.012371076772968625,0.01989951604002376,0.022542220091019635,0.023750998168477137,0.02383305605614075,14.272718607378458,15.818501514187716,17.34290212340642,26.288765439963086,206132.30448239937,238302.14767839256,264161.9964632962,367106.89236784575,0.031122284356014062,0.023384795152155025,0.014572315279476037,-5.451528997327279e-18,-0.0,-0.0,-0.0,0.0,1.5939609689688876,1.7765903914518342,1.8583772764869102,1.8638910120019012,10739.736,11055.063,11064.995,10013.683
