time,gross_output
2020,8.946950000000007e6
2021,9.370312238245599e6
2022,9.815863918352917e6
2023,1.0284926829468334e7
2024,1.0779015590970373e7
2025,1.129984917846795e7
2026,1.1809174968124358e7
2027,1.2344251485853873e7
2028,1.2906688998004513e7
2029,1.3498159128320992e7
2030,1.4120420262733987e7
2031,1.4724115407909442e7
2032,1.5356245157770451e7
2033,1.6018366934391776e7
2034,1.6712080958481083e7
2035,1.7439037550924093e7
2036,1.8140801076383837e7
2037,1.887271063782282e7
2038,1.9636332298829053e7
2039,2.0433316268419966e7
2040,2.126535713583665e7
2041,2.206616018713131e7
2042,2.2898083470933538e7
2043,2.3762580745575003e7
2044,2.4661103043289047e7
2045,2.559514438068583e7
2046,2.649321411256761e7
2047,2.7422263259013362e7
2048,2.8383607891756523e7
2049,2.937866863924277e7
2050,3.040910970715532e7
2051,3.1397605908971928e7
2052,3.241697967103578e7
2053,3.346845697711682e7
2054,3.4553313928390466e7
2055,3.567277564633765e7
2056,3.674062885161397e7
2057,3.7837147294609666e7
2058,3.8963471131279334e7
2059,4.012083602877091e7
2060,4.131043362346245e7
2061,4.243754878767024e7
2062,4.359085675057504e7
2063,4.4771485950962216e7
2064,4.598047826993161e7
2065,4.721886402459552e7
2066,4.83835211249416e7
2067,4.9570606597190626e7
2068,5.078085505365355e7
2069,5.201522494770079e7
2070,5.327486843669304e7
2071,5.4453955226358704e7
2072,5.565237264082796e7
2073,5.687106664910697e7
2074,5.811085761061791e7
2075,5.937261370325687e7
2076,6.055250106229548e7
2077,6.1748143266551465e7
2078,6.296025803143466e7
2079,6.418941778974151e7
2080,6.543621057368591e7
2081,6.659996362481827e7
2082,6.777578040327291e7
2083,6.896452625851947e7
2084,7.016708848483087e7
2085,7.13842736964072e7
2086,7.252109983115044e7
2087,7.366774106846763e7
2088,7.482474160012133e7
2089,7.599258131740475e7
2090,7.717165174887215e7
2091,7.826837593225262e7
2092,7.937109466402487e7
2093,8.04803399186881e7
2094,8.159695881148833e7
2095,8.272210931081939e7
2096,8.376747725230151e7
2097,8.48176559105127e7
2098,8.587322670028415e7
2099,8.693463298433062e7
2100,8.800220966941251e7
