time,consumption_ede
2020,3.271205006259469
2021,3.366202881190855
2022,3.461840424705924
2023,3.561263743320475
2024,3.666858743326619
2025,3.7792270771932723
2026,3.890172533160474
2027,4.00652945875721
2028,4.128996243167439
2029,4.257919786173279
2030,4.362627098602446
2031,4.491378270053308
2032,4.625990850481987
2033,4.76839269686968
2034,4.915185185491849
2035,5.067351747996305
2036,5.217171933675312
2037,5.371662686248659
2038,5.532385777588511
2039,5.699238977577168
2040,5.873345472794284
2041,6.042736691141259
2042,6.216044215764736
2043,6.394245099967879
2044,6.577280002148534
2045,6.764619155928898
2046,6.945904073936729
2047,7.129986331451186
2048,7.319241956849223
2049,7.5158323266655715
2050,7.720165161487794
2051,7.919528071012429
2052,8.121381161740223
2053,8.32742438610181
2054,8.5368378849082
2055,8.748759162833938
2056,8.950689145369418
2057,9.153710389631758
2058,9.360492419455312
2059,9.57035689469986
2060,9.784945961505832
2061,9.990846577027556
2062,10.197297893886573
2063,10.405613202501913
2064,10.615388443245049
2065,10.826279071008022
2066,11.023520858677774
2067,11.215904469068622
2068,11.40829259222021
2069,11.602751922012201
2070,11.800437967307461
2071,11.987793599225078
2072,12.171948144613255
2073,12.354714709524616
2074,12.536527768594096
2075,12.717167626690125
2076,12.881357142282612
2077,13.038075387079273
2078,13.189480463138526
2079,13.33537360921811
2080,13.476025518125466
2081,13.598351857764404
2082,13.712739877071568
2083,13.82381125731875
2084,13.930870602568643
2085,14.033834893155145
2086,14.116991864238473
2087,14.187726559548732
2088,14.249519069435792
2089,14.301246190659263
2090,14.341154582856587
2091,14.355291301126638
2092,14.354229368298206
2093,14.3461770577853
2094,14.337349539781014
2095,14.322780832870798
2096,14.285856443948058
2097,14.234262275161505
2098,14.170961736579137
2099,14.094741992109938
2100,14.00322346315873
