country,quantile,conso_npv,tax_npv,conso_2030,conso_2040,conso_2050,conso_2080,tax_2030,tax_2040,tax_2050,tax_2080
ABW,First,505.0,1.23,6.207245154936148,7.185296587838935,8.797483447984838,16.72039859537373,0.02124262278893781,0.023506658493438366,0.025727985576711444,0.032565684218051956
ABW,Second,857.0,1.96,11.201573731873763,12.60044089683888,15.150037730692038,27.82115430458852,0.036146543513607375,0.03888711260394401,0.041532943872724874,0.049333807877320134
ABW,Third,1060.0,2.37,14.378981398220525,15.954268426815442,18.959569814850887,33.81542693350514,0.045238961435884656,0.04800184437724186,0.05059466180993213,0.057887807582507986
ABW,Fourth,1350.0,2.91,18.96407420799655,20.978287287945847,24.699457797920818,42.2110309044707,0.057305976991444,0.06002615959211355,0.0625502933696019,0.06945439592456501
ABW,Fifth,1620.0,3.4,23.453616396740628,25.922815854554752,30.271982629533547,49.541309153233215,0.06854057834076763,0.07104344852419522,0.07331078855321374,0.07923881540588831
ABW,Sixth,1990.0,4.07,29.42383714201031,32.14800498617259,37.22379301801613,60.027694953483135,0.08418677368441457,0.08628585889319182,0.08815812982013602,0.09282980234611547
ABW,Seventh,2360.0,4.71,35.97140996214301,39.1842787844123,44.995786399979586,69.85256240542562,0.10001349060845192,0.10145533240301495,0.10265489006962149,0.10520802278493784
ABW,Eighth,3010.0,5.81,47.1845902730192,51.04585117245929,58.05920324398834,87.17338143973566,0.12690349772959428,0.127066140134262,0.12709221333991266,0.12636141504487886
ABW,Ninth,3740.0,7.0,60.92675050345777,65.64395701026376,73.79592788088813,104.86889537351462,0.158003171276204,0.15602556854366856,0.15396425765801022,0.14726608855001727
ABW,Tenth,7150.0,12.4,126.99326709478166,133.74131243725685,145.96539478216525,188.67165557401438,0.3024183836306938,0.2877018764349296,0.27441383593013546,0.2398541602657171
AFG,First,107.0,1.34,0.5368669865008054,0.7769781593566023,1.167273845707276,4.30601779459682,0.017141603648621044,0.020152252726520537,0.024846577550713157,0.0429780426620499
AFG,Second,148.0,2.12,0.8053886722126586,1.1429757766846178,1.6778253575298763,5.863710825103751,0.03236889754521828,0.03631457065219595,0.042127132988348116,0.0612626699238167
AFG,Third,162.0,2.46,0.9257982072447702,1.299930424222228,1.8828116971491198,6.37503516458643,0.04036043349095718,0.04437418828930707,0.05005196681123009,0.06744047241561452
AFG,Fourth,187.0,3.01,1.1100019372993077,1.5519643714642886,2.2251524945898526,7.2735751060282325,0.053179386016325526,0.05726938334917069,0.06287006808308962,0.0784796794000192
AFG,Fifth,204.0,3.45,1.2591096094008634,1.7554214466806979,2.494660681482031,7.882506862686572,0.06427652158561173,0.06812610814542326,0.0731909528267487,0.0860831601010152
AFG,Sixth,230.0,4.14,1.4644426960298074,2.023382821860663,2.8475091216760373,8.837506784472641,0.08167658557405111,0.08502342849083651,0.08921724898510418,0.0981898426916204
