country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.00399,0.00038,38.5,1580.0,167.0,7410.0,7760.0,323000.0,0.0484,1.27,0.415,69100.0,2.85e6,107.0,-1.3e7,-6.66e8,43.187858065591605,114.75339478934994,209.78966425402902,0.0,0.1919041307096426,0.3763715432225903,0.5843302968451412,0.0,40312.63104938392,45851.32882158676,54029.22051695422,87800.5648104029,0.0005310036844291451,0.002211644422722655,0.005084118669994825,0.0,0.041318858645653114,0.04643119612813808,0.04875623545458828,0.049199495740171593,22.263727376881803,24.57018732837716,28.78896192023069,49.582223539810606,4640.449027110236,5357.034980520416,6221.641681760007,9731.220890196138,0.000624665883620784,0.00044479176391791123,0.0002788687829487255,0.0006035467615369887,-9.726992559931537e6,-2.1406973268464677e7,-2.8776621991464775e7,0.0,1.0919799713405893,1.217234365431526,1.2735437150591562,1.284233050827705,110.244,110.937,108.709,105.636
AFG,0.00438,0.0305,6.06,216.0,167.0,7410.0,658000.0,2.29e7,0.0231,1.98,0.415,8860.0,318000.0,67400.0,7.02e9,3.68e11,43.187858065591605,114.75339478934994,209.78966425402902,0.0,0.1919041307096426,0.3763715432225903,0.5843302968451412,0.0,2176.2454483838437,3097.195546657507,4232.7288503436475,11931.847448153498,0.0005077981254005411,0.002245930247776724,0.005409133438148624,0.0,0.019399272150853974,0.022032345464508527,0.02324469061646512,0.023476852711838418,1.4009834455659438,2.016495076083911,2.7863507702791326,8.210713877294058,99637.42646770453,166635.53260906294,266215.6680255092,938736.9053256218,0.012826372289916371,0.014050145712723283,0.012695228852186432,0.06570989040160023,6.971742646831395e9,1.3590495459917994e10,1.5024642726835554e10,0.0,1.7112133693888922,1.907496267764749,1.9957371828303427,2.0124881624793294,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.00103,0.0143,5.83,224.0,167.0,7410.0,1.59e6,5.48e7,0.0595,1.93,0.415,11800.0,465000.0,106000.0,9.54e9,4.82e11,43.187858065591605,114.75339478934994,209.78966425402902,0.0,0.1919041307096426,0.3763715432225903,0.5843302968451412,0.0,6736.645556719843,7014.979057367031,7584.119099453847,13648.959831778015,0.00021840749376218405,0.0008045526433453309,0.0016097046154225777,0.0,0.05047342983134825,0.05695349963298325,0.05991728281213937,0.06048349966840379,2.7894029104190654,3.1093488857106877,3.4674298412785456,6.900952433736563,310758.9236307176,428289.86172136717,602779.3594331834,2.0570577596561217e6,0.01720605830565518,0.012936274138081311,0.008554286444691533,0.024188030106462463,6.272645335928527e9,1.448501589873398e10,1.9376486814355167e10,0.0,1.6621570461300907,1.8528129914414448,1.9385242541962597,1.954795024020299,44834.707,59782.166,77420.355,142116.013
ALB,0.00404,0.00268,20.3,830.0,167.0,7410.0,57100.0,2.51e6,0.0292,1.94,0.415,29700.0,1.2e6,2070.0,8.18e7,4.78e9,43.187858065591605,114.75339478934994,209.78966425402902,0.0,0.1919041307096426,0.3763715432225903,0.5843302968451412,0.0,15066.021033640702,18107.392838656935,21758.088184042324,38427.90461088608,0.0004574348786375753,0.0021236706484874645,0.005212949503412684,0.0,0.02463865930746215,0.02789147530200448,0.029384016294099816,0.029669483263809488,11.474277271552566,13.21717490879587,15.348224572168293,25.63139680525541,42815.56768622723,48872.361893757676,54434.19466140512,65672.22459575413,0.004965022589994789,0.0038964350635489926,0.0025016960733440187,0.003927424340388126,2.21676885853901e8,2.565891462564953e8,1.380424328851878e8,0.0,1.6755892710660953,1.8677859453649848,1.9541898580493309,1.9705921152323216,2786.972,2634.385,2424.052,1659.729
ARE,0.00593,0.0872,48.0,1980.0,167.0,7410.0,1.16e6,4.93e7,0.0762,1.78,0.415,94100.0,4.1e6,11200.0,-5.62e9,-3.02e11,43.187858065591605,114.75339478934994,209.78966425402902,0.0,0.1919041307096426,0.3763715432225903,0.5843302968451412,0.0,73817.04044857144,80065.3603040653,85379.71624025647,104767.13276731486,0.0009109211061448929,0.0037990983016837052,0.00845972332355277,0.0,0.06469794224861256,0.0729793509661902,0.07676615370973618,0.07748955344911884,27.27813416964004,33.086373130510246,38.88143372244973,59.42014012866949,845860.3763847509,931628.2665507105,980173.9171048963,1.3095028531740883e6,0.19533033392721916,0.13287403951872231,0.0731035602024442,0.10064196281828806,-6.767652806882097e9,-1.2403283074914803e10,-1.2485511240087484e10,0.0,1.5400259899414341,1.7166730231444316,1.7960864411366946,1.8111616763340634,10661.076,10648.314,10425.284,11600.276
ARG,0.00325,0.107,29.0,1170.0,167.0,7410.0,2.83e6,1.14e8,0.0317,1.48,0.415,48700.0,1.99e6,55200.0,-4.89e8,-1.82e10,43.187858065591605,114.75339478934994,209.78966425402902,0.0,0.1919041307096426,0.3763715432225903,0.5843302968451412,0.0,26198.78915998132,31658.510548138634,38000.218211765525,62046.17397087776,0.00043297108956833684,0.0018033360662523578,0.004145501179354078,0.0,0.02696950406870682,0.03036024577004271,0.031905612999225764,0.032200458954384344,14.811397873476778,17.64217028720838,21.322126307571097,37.98537567479347,1.3189823891867516e6,1.7082649493543888e6,2.162076057231122e6,3.7103375035396526e6,0.14477318930971486,0.11565085523835439,0.07901821907950878,0.1876369536328295,1.423867766910659e9,6.98615715960807e8,-1.5734082769425998e9,0.0,1.2780487475004174,1.424645961449606,1.4905501864838853,1.5030609399309776,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.00321,0.00329,25.3,1020.0,167.0,7410.0,92100.0,3.78e6,0.00882,1.87,0.415,37000.0,1.46e6,2600.0,1.05e8,6.08e9,43.187858065591605,114.75339478934994,209.78966425402902,0.0,0.1919041307096426,0.3763715432225903,0.5843302968451412,0.0,16163.2865939122,20085.57747685414,25829.39462312977,49992.49176846985,0.00041486597201145445,0.001806913976836687,0.004232348100684044,0.0,0.007207213140747317,0.008352076624748938,0.008888527600868962,0.008991893434722932,12.909061564805326,15.127315247550195,18.569956393480485,33.03878680470762,48074.52161304226,58622.456062683756,73499.66642187028,118575.51671022002,0.005056069469309729,0.003976659783477917,0.002742495824647465,0.0055428204007910075,2.4591712519662166e8,3.1971122978116e8,1.947369774081589e8,0.0,1.6141189620944563,1.7992647503817891,1.8824988676390697,1.898299395129539,2967.01,2905.147,2816.114,2350.729
AUS,0.00508,0.159,41.7,1800.0,167.0,7410.0,2.73e6,1.12e8,0.0393,1.85,0.415,72000.0,3.1e6,35200.0,-8.77e9,-4.66e11,43.187858065591605,114.75339478934994,209.78966425402902,0.0,0.1919041307096426,0.3763715432225903,0.5843302968451412,0.0,53957.95120700571,57988.04272077284,62129.83194308039,82614.59308041814,0.0007657836373168839,0.003252329313159576,0.0073081443794839026,0.0,0.03335541585525223,0.0376463031368946,0.0396086327554495,0.03998350513168672,31.335761590632902,33.64313063818024,36.13997701020897,47.89921389256525,1.5814689209271397e6,1.864272845979039e6,2.1562149641783205e6,3.342180973016163e6,0.30701315905106946,0.22762551297557237,0.13892435886970286,0.21580405021671464,-8.850026663048784e9,-1.7954028751635025e10,-2.017166894806575e10,0.0,1.5949323967899334,1.7778774106354476,1.8601221480119237,1.8757348592015743,28177.48,30572.49,32814.106,38899.744
AUT,6.91e-5,0.00704,59.4,2510.0,167.0,7410.0,823000.0,3.5e7,0.00671,1.84,0.415,92000.0,3.89e6,8940.0,9.57e8,4.82e10,43.187858065591605,114.75339478934994,209.78966425402902,0.0,0.1919041307096426,0.3763715432225903,0.5843302968451412,0.0,62251.67141867943,69389.67126151115,77071.90492139738,108339.76323021328,0.00023789271133743066,0.00024617091295156166,0.0,0.0,0.00539955971887312,0.006323664436886399,0.006759867402386631,0.006844131432451872,40.02677270302253,44.55395638446035,49.4846219184617,70.03541387787186,574483.6679603256,641611.4488957288,705963.6182528583,952214.6692995295,0.0346456783542883,0.00592960537533029,0.0,0.0,-6.046017207720098e7,1.7802852111378653e9,2.4968473482110386e9,0.0,1.5898821005287698,1.7722478255459413,1.854232137909728,1.8697954120090627,9175.689,9211.788,9130.698,8729.407
AZE,0.00459,0.0176,22.8,937.0,167.0,7410.0,322000.0,1.34e7,0.0236,1.85,0.415,30600.0,1.25e6,10400.0,9.58e7,5.59e9,43.187858065591605,114.75339478934994,209.78966425402902,0.0,0.1919041307096426,0.3763715432225903,0.5843302968451412,0.0,18839.518095905776,21060.456522798173,23190.483028734405,35807.88712904987,0.0005935503924257035,0.002585158996846559,0.006055237222429601,0.0,0.019899550509287413,0.022545257560314266,0.023760143504324392,0.023992566301939352,14.303406486777229,15.85125706995147,17.346294902010627,26.55774020262466,206132.30448239937,238385.0919566868,264231.33204296493,367171.8170523069,0.031016579439136143,0.02313573500683903,0.014105701942979384,0.024555846016861976,3.410150225678158e8,2.982139996123033e8,6.656267099980366e7,0.0,1.5939633864834946,1.7767972510387413,1.8589920201542875,1.874595245751894,10739.736,11055.063,11064.995,10013.683
