country,abatement_cost_share_mean,co2_emissions_mean,consumption_ede_mean,consumption_ede_npv,country_carbon_tax_mean,country_carbon_tax_npv,gross_output_mean,gross_output_npv,local_damage_cost_kw_mean,local_temp_anomaly_mean,mu_mean,net_output_per_capita_mean,net_output_per_capita_npv,population_mean,transfer_mean,transfer_npv,country_carbon_tax_2030,country_carbon_tax_2040,country_carbon_tax_2050,country_carbon_tax_2080,mu_2030,mu_2040,mu_2050,mu_2080,net_output_per_capita_2030,net_output_per_capita_2040,net_output_per_capita_2050,net_output_per_capita_2080,abatement_cost_share_2030,abatement_cost_share_2040,abatement_cost_share_2050,abatement_cost_share_2080,local_damage_cost_kw_2030,local_damage_cost_kw_2040,local_damage_cost_kw_2050,local_damage_cost_kw_2080,consumption_ede_2030,consumption_ede_2040,consumption_ede_2050,consumption_ede_2080,gross_output_2030,gross_output_2040,gross_output_2050,gross_output_2080,co2_emissions_2030,co2_emissions_2040,co2_emissions_2050,co2_emissions_2080,transfer_2030,transfer_2040,transfer_2050,transfer_2080,local_temp_anomaly_2030,local_temp_anomaly_2040,local_temp_anomaly_2050,local_temp_anomaly_2080,population_2030,population_2040,population_2050,population_2080
ABW,0.00669,0.000223,38.6,1580.0,298.0,11200.0,7760.0,323000.0,0.0474,1.24,0.69,69100.0,2.86e6,107.0,0.0,0.0,43.0042601771931,114.19286252929398,208.60791521980534,480.9448597174765,0.19139384069943335,0.37522145716897876,0.5822709038421117,1.0000000000000002,40401.0132242168,46061.751589680556,54354.092883188176,86858.32180984442,0.0005273403271842198,0.002194116118803391,0.0050376623823592,0.011472697233419557,0.04131879158514314,0.046425352338917904,0.048738721689911536,0.048900435638404974,22.19985813834439,24.55761856261947,28.954728199771875,49.47070964738156,4640.449027110236,5358.942024103002,6228.1406925827005,9735.740262100957,0.0006250603427094193,0.0004457706749037634,0.0002805431541427285,-1.3407654111807385e-19,-0.0,-0.0,-0.0,0.0,1.0919783151685885,1.2170923253350385,1.2731210659044805,1.2770227434318349,110.244,110.937,108.709,105.636
AFG,0.0074,0.00751,5.89,208.0,298.0,11200.0,652000.0,2.26e7,0.0226,1.94,0.69,8620.0,308000.0,67400.0,0.0,0.0,43.0042601771931,114.19286252929398,208.60791521980534,480.9448597174765,0.19139384069943335,0.37522145716897876,0.5822709038421117,1.0000000000000002,2031.2906013580819,2802.94531588723,3900.530406053469,11696.865505113898,0.0005042948616828035,0.0022281302128524683,0.005359707318269648,0.012948181852723051,0.019399237911862547,0.02202930988393367,0.023235524357134406,0.02332018085795526,1.2665998192843877,1.763571042732143,2.515152881064534,8.087276302511475,99637.42646770453,163399.4644914559,259551.30802805023,932178.8760055208,0.012834471786393834,0.01380269924066052,0.012438743115777067,-1.4488597027975983e-17,-0.0,-0.0,-0.0,0.0,1.7112107740448892,1.9072736804293784,1.9950748603491397,2.0011890775720587,48093.576,56912.0080000001,64682.976,76870.229
AGO,0.00146,0.0065,5.7,217.0,298.0,11200.0,1.58e6,5.45e7,0.0582,1.89,0.69,11600.0,457000.0,106000.0,0.0,0.0,43.0042601771931,114.19286252929398,208.60791521980534,480.9448597174765,0.19139384069943335,0.37522145716897876,0.5822709038421117,1.0000000000000002,6596.750012164718,6737.55465845133,7262.087964512925,13559.300958163334,0.00021690071575276244,0.0007981761919109527,0.0015949958909658097,0.002175083598778069,0.050473345162112805,0.05694606355394318,0.059894918649853475,0.06010144136448562,2.6288021430154775,2.8253185664190523,3.162087773618359,6.868003374985755,310758.9236307176,426062.7391643503,596860.3434966663,2.0472618612921673e6,0.01721692345173762,0.012892737873276848,0.008512252459605995,-5.3452452422173715e-18,-0.0,-0.0,-0.0,0.0,1.6621545251882848,1.8525967851433387,1.9378809188889072,1.9438198563822917,44834.707,59782.166,77420.355,142116.013
ALB,0.0064,0.00186,20.3,827.0,298.0,11200.0,57000.0,2.5e6,0.0285,1.9,0.69,29500.0,1.19e6,2070.0,0.0,0.0,43.0042601771931,114.19286252929398,208.60791521980534,480.9448597174765,0.19139384069943335,0.37522145716897876,0.5822709038421117,1.0000000000000002,14986.528563446878,17999.36715504281,21681.25822625341,37986.64522315352,0.00045427906743347783,0.002106839577376456,0.005165316020152393,0.011062366402386727,0.02463861690510201,0.027887734197772598,0.02937274315466994,0.029476851469088756,11.37499303018246,13.082566711044972,15.262893585471684,25.476412405750448,42815.56768622723,48842.52623260755,54381.12154239951,65632.02507315997,0.004968157863326111,0.0039012377220904886,0.0025116392424947127,-8.715295754013044e-19,-0.0,-0.0,-0.0,0.0,1.6755867297520524,1.8675679918603583,1.953541323820145,1.959528255060256,2786.972,2634.385,2424.052,1659.729
ARE,0.00881,0.0638,48.5,2010.0,298.0,11200.0,1.16e6,4.94e7,0.0746,1.75,0.69,94700.0,4.13e6,11200.0,0.0,0.0,43.0042601771931,114.19286252929398,208.60791521980534,480.9448597174765,0.19139384069943335,0.37522145716897876,0.5822709038421117,1.0000000000000002,74452.3164921586,81385.62921760057,86889.99132673178,103519.31123018931,0.0009046367252044125,0.003768988692305768,0.008382422346619208,0.014216562172080756,0.06469783402341805,0.07296984934191936,0.07673758089533919,0.07700143672065822,27.51626044243808,33.71435503581549,39.8200174330615,59.22326273430282,845860.3763847509,933374.7252812892,983610.833074067,1.3119716826676687e6,0.1954536795869135,0.13336863287834344,0.07372334715493259,-2.238913608670047e-17,-0.0,-0.0,-0.0,0.0,1.540023654231996,1.7164727031331257,1.7954903764652625,1.8009929359940051,10661.076,10648.314,10425.284,11600.276
ARG,0.00545,0.0572,29.0,1170.0,298.0,11200.0,2.83e6,1.14e8,0.031,1.45,0.69,48600.0,1.99e6,55200.0,0.0,0.0,43.0042601771931,114.19286252929398,208.60791521980534,480.9448597174765,0.19139384069943335,0.37522145716897876,0.5822709038421117,1.0000000000000002,26169.843237429675,31640.73475211394,38029.88332095798,61471.44564655839,0.0004299840523323926,0.001789043794713098,0.004107621537338938,0.00935463607334749,0.02696945965800472,0.03035636416818193,0.03189396475221042,0.03200152353156865,14.710924362977012,17.517826051294744,21.283941956547302,37.84634669197016,1.3189823891867516e6,1.7079956149082442e6,2.1620256111914413e6,3.7099658824871737e6,0.14486460954221247,0.11584586899825179,0.07940785395395822,-4.165960026653634e-17,-0.0,-0.0,-0.0,0.0,1.278046809123701,1.4244797183204507,1.4900555196979164,1.4946220266008443,49056.162,52296.7939999999,54867.248,57934.113
ARM,0.00509,0.00198,25.2,1020.0,298.0,11200.0,92000.0,3.78e6,0.00859,1.83,0.69,36800.0,1.46e6,2600.0,0.0,0.0,43.0042601771931,114.19286252929398,208.60791521980534,480.9448597174765,0.19139384069943335,0.37522145716897876,0.5822709038421117,1.0000000000000002,16080.44905107739,19957.703219423183,25727.893066459095,49536.15330751088,0.00041200384071405103,0.0017925933487029067,0.004193674892306777,0.00864684592199707,0.007207198443046226,0.008350740539239378,0.008884450629620394,0.008922116138129956,12.794773205972344,14.962213403521389,18.457471701759488,32.88744983049717,48074.52161304226,58569.228896116736,73404.21552776171,118509.7530829325,0.005059262236206779,0.003980376150018189,0.0027525040313235325,-1.2300707731654896e-18,-0.0,-0.0,-0.0,0.0,1.6141165140105156,1.7990547926727327,1.8818741253976548,1.8876414213611046,2967.01,2905.147,2816.114,2350.729
AUS,0.00745,0.109,42.1,1810.0,298.0,11200.0,2.73e6,1.13e8,0.0385,1.81,0.69,72200.0,3.11e6,35200.0,0.0,0.0,43.0042601771931,114.19286252929398,208.60791521980534,480.9448597174765,0.19139384069943335,0.37522145716897876,0.5822709038421117,1.0000000000000002,54272.32264777175,58653.53965249237,62911.37348178414,81740.42813820034,0.0007605005496132156,0.0032265531006450826,0.00724136598987241,0.011944048776246068,0.033355359788515816,0.03764137947992134,0.03959382606942969,0.039730558533212876,31.501506153545822,34.04957359869901,36.721995398222866,47.75682959050091,1.5814689209271397e6,1.8667057274647534e6,2.161771377355231e6,3.3459767698213933e6,0.30720702930090027,0.2283428962372455,0.1399724172821106,-4.797254686009716e-17,-0.0,-0.0,-0.0,0.0,1.5949299778056585,1.7776699486329597,1.8595048319008591,1.8652035736850743,28177.48,30572.49,32814.106,38899.744
AUT,6.85e-5,0.00705,59.3,2500.0,298.0,11200.0,822000.0,3.5e7,0.00652,1.81,0.69,91900.0,3.88e6,8940.0,0.0,0.0,43.0042601771931,114.19286252929398,208.60791521980534,480.9448597174765,0.19139384069943335,0.37522145716897876,0.5822709038421117,1.0000000000000002,62258.36352191406,69184.79157619599,76749.57886172776,108285.61712944167,0.00023625150617605817,0.00024421989472550083,0.0,0.0,0.005399547920100086,0.006322580430795518,0.006756545232551326,0.006787241445675312,40.010143962688915,44.38003939455585,49.22667960149476,70.00077609598284,574483.6679603256,641501.7796695342,705512.0592404741,951684.9946246697,0.03466755613418172,0.00593952525931483,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.589879689204122,1.7720410204644472,1.8536167765080003,1.8592974734306376,9175.689,9211.788,9130.698,8729.407
AZE,0.00728,0.0111,22.7,935.0,298.0,11200.0,322000.0,1.34e7,0.0231,1.81,0.69,30500.0,1.25e6,10400.0,0.0,0.0,43.0042601771931,114.19286252929398,208.60791521980534,480.9448597174765,0.19139384069943335,0.37522145716897876,0.5822709038421117,1.0000000000000002,18807.843147693624,21026.412796170745,23178.775045935312,35354.56933946095,0.0005894555298210144,0.0025646704173485206,0.005999907309741427,0.012371076772968625,0.01989951604002376,0.022542213096236836,0.023750965480245283,0.02383572637798384,14.2725124115528,15.817017044302922,17.337692532408504,26.28163691827789,206132.30448239937,238299.37700941318,264149.3838905598,367008.286757837,0.031036165544250816,0.02317006743208308,0.014171190812672464,-5.450064706262639e-18,-0.0,-0.0,-0.0,0.0,1.5939609689688876,1.7765899150809803,1.8583750790971596,1.8640703585781866,10739.736,11055.063,11064.995,10013.683
